LICENCE,TRADE_NAME,LICENCEE_NAME,CIVIC_ADDRESS,LICENCE_DESCRIPTION,YEAR_OPENED,APPROVED_DATE,SIC,SIC_GROUP,NWID,TYPE
130794,BERAR BROS. CONSTRUCTION LTD,BERAR BROS. CONSTRUCTION LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/general,2016,20170403,238,Construction / Specialty trade contractors,,NON-RESIDENT
130785,WEST SHORE CONSTRUCTORS LTD.,WEST SHORE CONSTRUCTORS LTD.,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2017,20170329,238,Construction / Specialty trade contractors,,NON-RESIDENT
130784,CEEG WEST,COMPREHENSIVE ENERGY EFFICIENCY GROUP INC.,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT/ELECTRICAL,2017,20170329,238,Construction / Specialty trade contractors,,NON-RESIDENT
130781,REACH ENTERPRISES INC.,REACH ENTERPRISES INC.,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT/PLUMBING & HEATING,2017,20170328,238,Construction / Specialty trade contractors,,NON-RESIDENT
130778,5 STAR FINISHES LTD.,5 STAR FINISHES LTD.,BUSINESS - OUT OF TOWN,CONTRACTOR -  NON RESIDENT,2017,20170327,238,Construction / Specialty trade contractors,,NON-RESIDENT
130777,ACCESS COMMUNITY THERAPISTS LTD,ACCESS COMMUNITY THERAPISTS LTD,BUSINESS - OUT OF TOWN,Mobile/physiotherapy/rehabilitation,2017,20170324,62,Health care & social assistance,,NON-RESIDENT
130774,K. JAMES PLUMBING AND HEATING,"MUNROE, BEN",BUSINESS - OUT OF TOWN,Contractor non-resident/plumbing & heating,2017,20170323,238,Construction / Specialty trade contractors,,NON-RESIDENT
130770,STYLUX DESIGN & CONSTRUCTION,STYLUX DESIGN & CONSTRUCTION,BUSINESS - OUT OF TOWN,Contractor non-resident/interior design & construction,2017,20170321,238,Construction / Specialty trade contractors,,NON-RESIDENT
130767,BASI BROS. PLUMBING & HEATING LTD,BASI BROS. PLUMBING & HEATING LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/plumbing & heating,2017,20170320,238,Construction / Specialty trade contractors,,NON-RESIDENT
130769,GOLD KEY FIRE PROTECTION LTD,GOLD KEY FIRE PROTECTION LTD,BUSINESS - OUT OF TOWN,Contractor non-resident,2017,20170320,238,Construction / Specialty trade contractors,,NON-RESIDENT
130761,MDE ELECTRICAL MECHANICAL CONTRACTORS,MDE ENTERPRISES LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2017,20170315,238,Construction / Specialty trade contractors,,NON-RESIDENT
130760,GORMLEY PLUMBING & HEATING,"GORMLEY, BOB",BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT/PLUMBING & HEATING,2017,20170315,238,Construction / Specialty trade contractors,,NON-RESIDENT
