LICENCE,TRADE_NAME,LICENCEE_NAME,CIVIC_ADDRESS,LICENCE_DESCRIPTION,YEAR_OPENED,APPROVED_DATE,SIC,SIC_GROUP,TYPE,NWID
129630,DR SUE SIDHU INC,DR. SUE SIDHU INC,403-223 NELSON'S CRESNEW WESTMINSTER BC  V3L 0E4,Pre/Post Op - Doctors Office,,20161115,62,Health care & social assistance,RESIDENT,02601100
128649,TANYA ELEZ THERAPY SUPERVISION AND CONSULTATION,"ELEZ, TATJANA",209-552 COLUMBIA STNEW WESTMINSTER BC  V3L 1B1,PROFESSIONAL PRACTICE,1,20161115,,See BL desk for Business NAICS,RESIDENT,00252000
125412,GLORIA MCARTER COUNSELLING & CONSULTING,"MCARTER, GLORIA",380-522 SEVENTH STNEW WESTMINSTER BC  V3M 5T5,CONSULTING SERVICES,1,20161115,,See BL desk for Business NAICS,RESIDENT,08613000
128631,542272 BC LTD DBA HOME HIGHLIGHTS,"NAZARALI, ADIL",102-78 TENTH STNEW WESTMINSTER BC  V3M 3X3,home furnishings and decor,1,20161115,442,Retail trade / Furniture & home furnishings stores,RESIDENT,00555000
128660,FLYING HELMET GAMES LTD,"REYNOLDS, LUCAS",302-76 COBURG STNEW WESTMINSTER BC  V3L 5G7,video game production company,1,20161115,,See BL desk for Business NAICS,RESIDENT,01335000
110788,FRASER RIVER PILE & DREDGE (GP) INC,FRASER RIVER PILE & DREDGE (GP) INC,447 TWENTIETH STNEW WESTMINSTER BC,PILE DRIVING & DREDGING,1981,20161115,,See BL desk for Business NAICS,RESIDENT,07552000
110838,WESTMINSTER WEST END PHARMACY LTD.,WESTMINSTER WEST END PHARMACY LTD.,2004 EIGHTH AVENEW WESTMINSTER BC  V3M 2T8,RETAIL,1981,20161115,446,Retail trade / Health & personal care stores,RESIDENT,15442000
110785,GASTALDO TAILORS,"GASTALDO, C.",920 TWELFTH STNEW WESTMINSTER BC  V3M 4K6,TAILOR / DRESSMAKER,1981,20161115,315,Manufacturing / Clothing mfg.,RESIDENT,09517000
110882,ARMY & NAVY DEPT. STORES LIMITED,ARMY & NAVY DEPT. STORES LIMITED,502 COLUMBIA STNEW WESTMINSTER BC  V3L 1B1,RETAIL,1981,20161115,452,Retail trade / General merchandise stores,RESIDENT,00260000
110898,BANK OF NOVA SCOTIA,BANK OF NOVA SCOTIA,728 COLUMBIA STNEW WESTMINSTER BC  V3M 1A9,BANK,1981,20161115,522,Finance & insurance / Credit intermediation & related activities,RESIDENT,00230000
110903,THE SALVATION ARMY THRIFT STORE,GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA,774 COLUMBIA STNEW WESTMINSTER BC  V3M 1B5,NON PROFIT SOCIETY,1981,20161115,452,Retail trade / General merchandise stores,RESIDENT,00226000
110721,ACCURATE LOCK SAFE & ALARM CO,ACCURATE LOCK SAFE & ALARM CO,439 SIXTH STNEW WESTMINSTER BC  V3L 3B1,LOCKSMITHS SALES & SERVICE,1981,20161115,561,"Admin., support, waste mgmt & remed. services / Administrative & support services",RESIDENT,07077000
110790,CLASSIC BEAUTY SALON (1991) LTD,CLASSIC BEAUTY SALON (1991) LTD,540 SIXTH STNEW WESTMINSTER BC  V3L 3B5,2 OPERATORS,1981,20161115,812,Other services (exc. Public administration) / Personal & laundry services,RESIDENT,08598000
110724,HSBC BANK CANADA,HSBC BANK CANADA,504 SIXTH STNEW WESTMINSTER BC  V3L 3B4,BANK,1981,20161115,522,Finance & insurance / Credit intermediation & related activities,RESIDENT,08569000
110723,KASTELEIN STOUT INSURANCE AGENCIES,KASTELEIN STOUT INSURANCE AGENCIES,B-450 SIXTH STNEW WESTMINSTER BC  V3L 3B3,INSURANCE AGENT / ADJUSTER,1981,20161115,524,Finance & insurance / Insurance carriers & related activities,RESIDENT,07065000
110700,GULF & FRASER FISHERMEN'S CREDIT UNION,GULF & FRASER FISHERMEN'S CREDIT UNION,760 SIXTH STNEW WESTMINSTER BC  V3M 7A7,CREDIT UNION,1981,20161115,522,Finance & insurance / Credit intermediation & related activities,RESIDENT,10928000
110884,ROYAL CITY JEWELLERS & LOANS LTD.,ROYAL CITY JEWELLERS & LOANS LTD.,515 COLUMBIA STNEW WESTMINSTER BC  V3L 1B2,PAWN BROKER/RETAIL,1981,20161115,522,Finance & insurance / Credit intermediation & related activities,RESIDENT,00403000
110764,MCLAREN TREFANENKO INC.,MCLAREN TREFANENKO INC.,350-522 SEVENTH STNEW WESTMINSTER BC  V3M 5T5,PROFESSIONAL PRACTICE,1981,20161115,541,"Professional, scientific & technical services / Professional, scientific & technical services",RESIDENT,08613000
110829,HELEN'S ELECTROLYSIS,"GRAHAM, HELEN FRANCES",2-602 SEVENTH AVENEW WESTMINSTER BC  V3M 2J3,ELECTROLYSIS,1981,20161115,812,Other services (exc. Public administration) / Personal & laundry services,RESIDENT,10955000
111007,KING AUTO BODY,"DAVIS, RONALD",822 AGNES STNEW WESTMINSTER BC  V3M IH5,AUTOMOBILE,1981,20161115,811,Other services (exc. Public administration) / Repair & maintenance,RESIDENT,00581001
110797,"MATHEWS, DR. R.","MATHEWS, DR. R.",603-625 FIFTH AVENEW WESTMINSTER BC  V3M 1X4,PODIATRIST,1981,20161115,621,Health care & social assistance / Ambulatory health care services,RESIDENT,08575000
110730,CIBC,BROOKFIELD JOHNSON CONTROLS C/O CIBC LEASE ADMINISTRATION,554 SIXTH STNEW WESTMINSTER BC  V3L 3B5,BANK,1981,20161115,522,Finance & insurance / Credit intermediation & related activities,RESIDENT,08598000
