BLDG_ID,MAPREF,UNITNUM,STRNUM,STRNAM,NUM_B_GRND,NUM_A_GRND,NUM_MEZZ,SQM_SITCVR,SQM_FTPRNT,NUM_RES,SQM_B_GRND,SQM_A_GRND
11837,,,TEMP,,0,0,0,0,0,0,0,0
11832,,,TEMP,,0,0,0,0,0,0,0,0
11831,,,TEMP,,0,0,0,0,0,0,0,0
11830,,,TEMP,,0,0,0,0,0,0,0,0
11835,,,TEMP,,0,0,0,0,0,0,0,0
11839,,,TEMP,,0,0,0,0,0,0,0,0
11836,,,TEMP,,0,0,0,0,0,0,0,0
11834,,,TEMP,,0,0,0,0,0,0,0,0
11829,,,TEMP,,0,0,0,0,0,0,0,0
11833,,,TEMP,,0,0,0,0,0,0,0,0
11828,,,TEMP,,0,0,0,0,0,0,0,0
11934,,,TEMP,,0,0,0,0,0,0,0,0
11933,,,TEMP,,0,0,0,0,0,0,0,0
11680,,,TEMP,,0,0,0,0,0,0,0,0
11838,,,TEMP,,0,0,0,0,0,0,0,0
11840,,,TEMP,,0,0,0,0,0,0,0,0
11847,5404000,,101,,0,2,1,226.78,226.78,1,0,393.18
11808,13972014,,200,,0,0,0,0,0,0,0,0
11811,13972017,,275,,0,0,0,0,0,0,0,0
253,791000,,37,AGNES ST,0,4,0,585.29,353.03,24,0,1842.17
125,500000,,38,AGNES ST,1,2,0,158.77,158.77,2,158.77,317.54
127,503000,,44,AGNES ST,1,2,0,77.3,77.3,2,77.3,98.2
431,1333000,,47,AGNES ST,3,10,0,467.12,467.12,42,0,4222.16
430,1332000,,57,AGNES ST,0,3,0,406.08,406.08,18,0,1218.24
245,778501,,101,AGNES ST,1,2,0,90.3,90.3,2,83.89,156.73
122,472000,,102,AGNES ST,0,16,0,401.53,353.4,80,0,5286.37
8748,778502,,107/109,AGNES ST,1,2,0,113.53,113.53,2,47.94,227.06
247,779000,,111,AGNES ST,0,4,0,426.61,239.41,17,0,1357.69
248,780000,,117,AGNES ST,1,2,0,133.41,133.41,5,133.41,266.82
249,781000,,119,AGNES ST,1,3,0,648.83,645.49,21,0,1936.47
123,472000,,120,AGNES ST,0,16,0,401.53,353.4,80,0,5286.37
250,783000,,125,AGNES ST,0,4,0,411.19,327.95,17,0,1395.31
251,784000,,129,AGNES ST,0,4,0,426.61,252.79,17,0,1270.45
199,656000,,204,AGNES ST,1,3,0,308.53,308.53,14,0,925.59
198,654000,,210,AGNES ST,1,3,0,439.9,439.9,18,439.9,1033.08
197,653000,,212,AGNES ST,1,3,0,439.9,439.9,16,439.9,1033.08
196,652000,,214,AGNES ST,1,3,0,392.79,392.79,18,392.79,899.86
194,650000,,250,AGNES ST,1,2,0,255.48,255.48,9,122.07,510.97
230,744000,,307,AGNES ST,0,4,0,426.61,238.39,21,0,1518.22
231,745000,,309,AGNES ST,0,4,0,426.61,265.33,21,0,1435.54
184,642000,,314,AGNES ST,1,1,0,827.77,827.77,0,827.77,827.77
9338,746000,,315,AGNES ST,1,4,0,874.59,610.65,42,136.1,2996.4
233,748000,,321,AGNES ST,1,3,0,437.94,264.59,16,416.3,1066.9
234,749000,,325,AGNES ST,0,3,0,164.25,164.25,12,0,394.84
235,750000,,327,AGNES ST,1,3,0,426.61,426.61,18,108.7,1186.84
236,751000,,331,AGNES ST,0,3,0,401.34,401.34,16,0,1204.02
106,424000,,336,AGNES ST,0,2,0,646.51,646.51,0,0,764.03
105,423000,,338,AGNES ST,0,2,0,335.38,335.38,11,0,670.76
400,1262000,,403,AGNES ST,1,3,0,434.6,434.6,18,382.67,991.28
399,1261000,,407,AGNES ST,0,4,0,353.03,353.03,22,0,1185.81
429,1329000,,410,AGNES ST,1,3,0,1120.32,1120.32,36,0,3360.95
398,1260000,,411,AGNES ST,0,4,0,349.32,412.49,22,0,1211.08
