BLDG_ID,MAPREF,UNITNUM,STRNUM,STRNAM
11837,,,TEMP,
11832,,,TEMP,
11831,,,TEMP,
11830,,,TEMP,
11835,,,TEMP,
11839,,,TEMP,
11836,,,TEMP,
11834,,,TEMP,
11829,,,TEMP,
11833,,,TEMP,
11828,,,TEMP,
11934,,,TEMP,
11933,,,TEMP,
11680,,,TEMP,
11838,,,TEMP,
11840,,,TEMP,
11847,5404000,,101,
11808,13972014,,200,
11811,13972017,,275,
253,791000,,37,AGNES ST
125,500000,,38,AGNES ST
127,503000,,44,AGNES ST
431,1333000,,47,AGNES ST
430,1332000,,57,AGNES ST
245,778501,,101,AGNES ST
122,472000,,102,AGNES ST
8748,778502,,107/109,AGNES ST
247,779000,,111,AGNES ST
248,780000,,117,AGNES ST
249,781000,,119,AGNES ST
123,472000,,120,AGNES ST
250,783000,,125,AGNES ST
251,784000,,129,AGNES ST
199,656000,,204,AGNES ST
198,654000,,210,AGNES ST
197,653000,,212,AGNES ST
196,652000,,214,AGNES ST
194,650000,,250,AGNES ST
230,744000,,307,AGNES ST
231,745000,,309,AGNES ST
184,642000,,314,AGNES ST
9338,746000,,315,AGNES ST
233,748000,,321,AGNES ST
234,749000,,325,AGNES ST
235,750000,,327,AGNES ST
236,751000,,331,AGNES ST
106,424000,,336,AGNES ST
105,423000,,338,AGNES ST
400,1262000,,403,AGNES ST
399,1261000,,407,AGNES ST
429,1329000,,410,AGNES ST
398,1260000,,411,AGNES ST
397,1259000,,423,AGNES ST
428,1328000,,428,AGNES ST
396,1255000,,503,AGNES ST
426,1325000,,508,AGNES ST
427,1325000,,514,AGNES ST
425,1322000,,518,AGNES ST
395,1254000,,525,AGNES ST
223,729000,,611,AGNES ST
174,626000,100/201-404,624,AGNES ST
176,626000,101-108,624,AGNES ST
175,626000,109-113,624,AGNES ST
224,730001,,625,AGNES ST
213,684000,,805,AGNES ST
215,694000,,813,AGNES ST
156,581001,,820,AGNES ST
216,694000,,823,AGNES ST
149,569000,,828,AGNES ST
217,694000,,833,AGNES ST
148,569000,,838,AGNES ST
153,574000,,920,AGNES ST
1301,3388000,,306,ALBERTA ST
1327,3414000,,307,ALBERTA ST
1302,3389000,,310,ALBERTA ST
1326,3413000,,311,ALBERTA ST
1303,3390000,,312,ALBERTA ST
1325,3412000,,313,ALBERTA ST
1304,3391000,,314,ALBERTA ST
1324,3411000,,315,ALBERTA ST
1305,3392000,,316,ALBERTA ST
1323,3410000,,317,ALBERTA ST
1306,3393000,,318,ALBERTA ST
1322,3409000,,319,ALBERTA ST
1307,3394000,,320,ALBERTA ST
1321,3408000,,321,ALBERTA ST
1308,3395000,,322,ALBERTA ST
1320,3407000,,323,ALBERTA ST
1309,3396000,,324,ALBERTA ST
1319,3406000,,325,ALBERTA ST
1310,3397000,,326,ALBERTA ST
1318,3405000,,327,ALBERTA ST
1311,3398000,,328,ALBERTA ST
1317,3404000,,329,ALBERTA ST
1312,3399000,,330,ALBERTA ST
1316,3403000,,331,ALBERTA ST
1313,3400000,,332,ALBERTA ST
1315,3402000,,333,ALBERTA ST
1314,3401000,,335,ALBERTA ST
1551,3803000,,338,ALBERTA ST
1581,3834000,,339,ALBERTA ST
1552,3804000,,340,ALBERTA ST
1580,3833000,,341,ALBERTA ST
11781,3832000,,343,ALBERTA ST
1553,3805000,,344,ALBERTA ST
1554,3806000,,346,ALBERTA ST
1577,3830000,,347,ALBERTA ST
1555,3807000,,348,ALBERTA ST
1576,3829000,,349,ALBERTA ST
1556,3808000,,350,ALBERTA ST
1575,3828000,,351,ALBERTA ST
1557,3809000,,352,ALBERTA ST
1574,3827000,,353,ALBERTA ST
1573,3826000,,355,ALBERTA ST
1572,3825000,,357,ALBERTA ST
1558,3810000,,358,ALBERTA ST
1571,3824000,,359,ALBERTA ST
1570,3823000,,361,ALBERTA ST
1559,3811000,,362,ALBERTA ST
1569,3822000,,363,ALBERTA ST
1568,3821000,,365,ALBERTA ST
1567,3820000,,367,ALBERTA ST
1560,3813000,,368,ALBERTA ST
1566,3819000,,369,ALBERTA ST
1561,3814000,,370,ALBERTA ST
1562,3815000,,372,ALBERTA ST
