OBJECTID_1,OBJECTID,BUSSTOPNUM,ONSTREET,ATSTREET,DIRECTION,POSITION,STATUS,ACCESSIBLE,CITY_NAME,RuleID,Override,X,Y
1,1,53500,5 St,7 Av,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.920914782193,49.215417103307
2,2,53502,8th Ave,4th St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.920924223565,49.2175640399245
3,3,53503,8th Ave,Park Cres,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.91351903794,49.2214664962382
4,4,53504,E 8th Ave,Cumberland St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.908060207891,49.2244371238781
5,5,53505,E 8th Ave,York St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.906324730153,49.2253806732748
6,6,53507,E 8th Ave,Sherbrooke St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.900864483857,49.2282571193183
7,7,53508,E 8th Ave,Richmond St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.897834655079,49.2298347037521
8,8,53509,E 8th Ave,Buchanan Ave,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.895894123757,49.2308616599575
9,9,53575,E 8th Ave,Buchanan Ave,SB,AT,ACTIVE,NO,NEW WESTMINSTER,1,,-122.896330536292,49.2307926180333
10,10,53576,E 8th Ave,Richmond St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.899271455928,49.2292548987687
11,11,53577,E 8th Ave,Cherry St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.90168528827,49.2279672648643
12,12,53578,E 8th Ave,William St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.905033513747,49.2261972435699
13,13,53579,E 8th Ave,York St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.907001622337,49.2251624553418
14,14,53581,8th Ave,Mcbride Blvd,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.912975602189,49.2219961794193
15,15,53582,5 St,7 Av,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.92054606762,49.21494775538
16,16,52167,6 Av,16 St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.936731555824,49.2042243417953
17,17,52168,6 Av,14 St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.933282338816,49.2060747123306
18,18,53498,6 Av,12 St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.930157992542,49.2077539957938
19,19,53499,6 Av,10 St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.926487114015,49.2097430233163
20,20,52487,6th Ave,6th St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.919878644855,49.2132958774483
21,21,52488,6 Av,4 St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.917400115011,49.2146682150799
22,22,53589,6th Ave,2nd St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.91367919377,49.2166710190897
23,23,53590,6th Ave,1st St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.911384115815,49.2179107554688
24,24,53594,Richmond St,Cumberland St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.898670674085,49.2209241183254
25,25,53595,Richmond St,Alberta St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.898615543174,49.2240292641885
26,26,53596,Hospital St,Richmond St,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.898043192424,49.226459632082
27,27,53597,Hospital St,E Columbia St,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.893957059666,49.2264126141845
28,28,53511,Braid St,Fader St,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.889717616768,49.2315129871766
29,29,53572,Braid St,Rousseau St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.886830840839,49.2316492708982
30,30,53573,Braid St,Fader St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.890634229135,49.231655848706
31,31,53614,Hospital St,Blair Av,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.897791210555,49.2265653916051
32,32,53615,Richmond St,Keary St,SB,AT,ACTIVE,YES,NEW WESTMINSTER,2,,-122.898737779397,49.2253499665057
33,33,53616,Richmond St,Alberta St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.89880977612,49.2230549590733
34,34,53617,Cumberland St,Glenbrook Dr,WB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.899974981438,49.2206134339703
35,35,53620,6 Av,Mcbride Blvd,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.908993741198,49.2193542218805
