Name,Description,Category,Hours,Location,PC,Phone,Email,Website,X,Y
Centennial Community Centre Tiny Tot Playtime,Offers socialization through play for pre-school aged children.,"Child Care, Child Development and Early Learning Programs","Mon-Fri, 9:15am-11:15am, 12:30pm-2:30pm",65 E Sixth Ave,V3L 4G6,(604)777-5100,,https://onlineca.activecommunities.com/NWPR/Start/Start.asp?SCheck=595071779&SDT=40560.4876920486,-122.908238799969,49.2202072626486
Century House Tiny Tot Playtime,Offers socialization through play for pre-school aged children.,"Child Care, Child Development and Early Learning Programs","Mon-Fri, 9:15am-11:15am",620 Eighth St,V3M 3S2,(604)519-1066,,https://onlineca.activecommunities.com/NWPR/Start/Start.asp?SCheck=595071779&SDT=40560.4876920486,-122.927268282171,49.2118039424
Connaught Heights Elementary School Strong Start Centre,Provides learning activities to help pre-school aged children get ready for Kindergarten. Pre-registration is required.,"Child Care, Child Development and Early Learning Programs","Mon-Fri, 12:30pm-3:30pm",2201 London St,V3M 3G1,(604)517-6010,,http://sd40.bc.ca/services/school-district-40-strong-start-early-learning-centres,-122.955309990992,49.202699172876
Connaught Heights Elementary School Tiny Tot Playtime,Offers socialization through play for pre-school aged children.,"Child Care, Child Development and Early Learning Programs","Mon-Wed, 9:15am-11:15am",2201 London St,V3M 3G1,(604)525-7388,,https://onlineca.activecommunities.com/NWPR/Start/Start.asp?SCheck=595071779&SDT=40560.4876920486,-122.955309990992,49.202699172876
Douglas College ECE Centre,Offers group child care for children aged 30 to 60 months.,"Child Care, Child Development and Early Learning Programs",,2814 - 700 Royal Ave,V3M 5Z5,(604)527-5632,,http://www.douglascollege.ca/student-services/daycare,-122.91274781516,49.2035020141153
Frog Hollow Montessori House,Offers group child care for children aged 30 to 60 months and school age.,"Child Care, Child Development and Early Learning Programs",,529 Queens Ave,V3L 1K2,(604)521-1355,,http://www.froghollowmontessori.com/,-122.912492843019,49.2076533302657
Glenbrook Daycare,Offers group multi-age child care.,"Child Care, Child Development and Early Learning Programs",,320 Eighth Ave,V3L 1Y2,(604)522-0666,,,-122.920917946945,49.2173926306214
Glenbrook Daycare (Afterschool),Offers group child care for school age children.,"Child Care, Child Development and Early Learning Programs",,701 Sixth St,V3L 3C6,(604)861-8667,,,-122.922028594043,49.2148942937948
Golden Sunshine Daycare,Offers group multi-age child care.,"Child Care, Child Development and Early Learning Programs",,320 Eighth St,V3M 3R4,(778)223-6676,,http://goldensunshinedaycare.com/,-122.919826159412,49.2073659463366
Griffin's Alley Out-of-School Care,Offers group child care for school age children.,"Child Care, Child Development and Early Learning Programs",,701 Park Cres,V3L 5V4,(604)517-5938,,http://wcass.com/home.html,-122.911326140912,49.220700898542
