,"Cash 
Awarded","City Services 
Awarded","Total amount
Awarded","Term 
(years)",Notes,2017 Application,,,,
City Partnership Grants,,,,,,,,,,
Arts Council of New Westminster,"$28,000 ","$4,010 ","$32,010 ",2nd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2016.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,, ,,
Massey Theatre,"$66,000 ",,"$66,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Tourism New Westminster,"$100,000 ",,"$100,000 ",1 year,,Tourism New Westminster 2017 Application,,,,
Fraser River Discovery Centre,"$55,000 ",,"$55,000 ",1 year,,Fraser River Discovery Centre 2017 Application,,,,
Communities Empracing Restorative Action Society (CERA),"$17,500 ",,"$17,500 ",1 year, ,CERA 2017 Application,,,,
New Westminster Homelessness Society,"$15,000 ",,"$15,000 ",3 year,,New Westminster Homelessness Society 2017 Application,,,, 
Fraserside Community Services Society,"$16,000 ",,"$16,000 ",1 year,,Fraserside Community Services Society 2017 Application,,,,
Senior Services Society of BC,"$75,000 ",,"$75,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
New Westminster Victim Assistance Association,"$25,000 ",,"$25,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,, ,
Family Services of New Westminster,"$15,000 ",,"$15,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
ACORN Canada,"$7,000 ",,"$7,000 ",1 year,,ACORN Canada 2017 Application,`,,,
Downtown New Westminster BIA,"$5,000 ",,"$5,000 ",1 year,,Downtown New Westminster BIA 2017 Application,,,,
Elizabeth Fry Society ,"$5,000 ",,"$5,000 ",1 year,,Elizabeth Fry Society 2017 Application,,,,
Royal City Musical Theatre Society,"$5,000 ",,"$5,000 ",3 year,,Royal City Musical Theatre Society 2017 Application,,,,
New Westminster Symphony Society ,"$2,000 ",,"$2,000 ",3 year,,New Westminster Symphony Society 2017 Application,,,,
Canadian Mental Health Association,"$7,000 ",,"$7,000 ",1 year,,Canadian Mental Health Association 2017 Application,,,,
Total Awarded,"$443,500 ","$4,010 ","$447,510 ",,,,,,,
,,,,,,,,,,
Festivals Grants,,,,,,,,,,
Queensborough Special Program ,"$1,400 ",,"$1,400 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Downtown BIA Food Truck Festival,,"$18,040 ","$18,040 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Hyack Festival - Canada Day on the River - Fireworks,"$10,000 ",,"$10,000 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Hyack Festival Parade and Street Fair,"$5,000 ","$20,000 ","$25,000 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
NW Pride Festival - Annual pride festival,"$17,100 ","$16,000 ","$33,100 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Sapperton Merchants Association - Sapperton Days,"$5,000 ","$7,100 ","$12,100 ", 3 of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
