NWID,FULLADDR1
13129000,
13972240,
13972600,
12676508,
12676507,
12676506,
12676505,
14451000,
790000,205 AGNES ST
580000,824 AGNES ST
485000,37 ALBERT CRES
1397006,ALEXANDER ST
13928000,226 BLACKLEY ST
13892000,313 BLACKLEY ST
12701000,BOUNDARY RD
12699000,480 BOUNDARY RD
13833000,425 BOYD ST
13315501,734 BOYD ST
13519000,1130 BOYD ST
13028000,230A BOYNE ST
13012000,233 BOYNE ST
13254000,329 BOYNE ST
13277000,332 BOYNE ST
13739000,420 BOYNE ST
13750000,448 BOYNE ST
14600583,BROOKES ST
3066000,425 BRUNETTE AVE
2500001,501 BRUNETTE AVE
12943000,233 CAMPBELL ST
2083001,CANFOR AVE
2083002,CANFOR AVE
2083000,435 CANFOR AVE
2083000,435 CANFOR AVE
2083000,435 CANFOR AVE
2083000,435 CANFOR AVE
3641000,313 CEDAR ST
4645001,927 CHILLIWACK ST
11110000,35 CLUTE ST
1961000,571 COLBY ST
359000,COLUMBIA ST
274000,362 COLUMBIA ST
259000,440 COLUMBIA ST
1397003,777 COLUMBIA ST
1403000,801 COLUMBIA ST
1403000,801 COLUMBIA ST
1403000,801 COLUMBIA ST
1403000,801 COLUMBIA ST
1403000,801 COLUMBIA ST
1403000,801 COLUMBIA ST
4316000,622 CUMBERLAND ST
4311000,640 CUMBERLAND ST
4310000,700 CUMBERLAND ST
13912000,62 DUNCAN ST
3415000,E COLUMBIA ST
1612501,9 E COLUMBIA ST
14301000,60 E COLUMBIA ST
14430000,60 E COLUMBIA ST
14300000,60 E COLUMBIA ST
14430000,60 E COLUMBIA ST
7250000,90 E COLUMBIA ST
3500000,351 E COLUMBIA ST
3576001,409 E COLUMBIA ST
3694000,505 E COLUMBIA ST
1977000,653 E COLUMBIA ST
1978000,657 E COLUMBIA ST
2570000,660 E COLUMBIA ST
1615503,12 E ROYAL AVE
4495002,E SIXTH AVE
4495002,E SIXTH AVE
10300000,1 E SIXTH AVE
4317000,75 E SIXTH AVE
5089000,200 E TENTH AVE
10490001,EIGHTH AVE
11858000,701 EIGHTH AVE
996000,105 EIGHTH ST
9206000,600 EIGHTH ST
9206000,600 EIGHTH ST
9206000,600 EIGHTH ST
6520000,111 EMORY ST
13972024,180 EWEN AVE
13955000,223 EWEN AVE
13949000,225 EWEN AVE
13951000,231 EWEN AVE
13982000,500 EWEN AVE
13982000,500 EWEN AVE
13982000,500 EWEN AVE
13982000,500 EWEN AVE
12977000,630 EWEN AVE
13330002,703 EWEN AVE
12902000,830 EWEN AVE
12900000,838 EWEN AVE
12845000,900 EWEN AVE
13454000,1011 EWEN AVE
13090000,200 FENTON ST
13093000,201 FENTON ST
13199000,340 FENTON ST
13159002,341 FENTON ST
13198000,344 FENTON ST
13197000,348 FENTON ST
13196000,352 FENTON ST
13195000,356 FENTON ST
13194000,360 FENTON ST
13193000,366 FENTON ST
13192000,370 FENTON ST
13191000,378 FENTON ST
8121000,1409 FIFTH AVE
8239000,1412 FIFTH AVE
11750000,FIFTH ST
484000,40 FIRST ST
11320000,901 FIRST ST
8236000,422 FOURTEENTH ST
8237000,426 FOURTEENTH ST
6925001,500 FOURTEENTH ST
6925000,1401 FOURTH AVE
14205000,2 FRONT ST
14202000,2 FRONT ST
14206000,2 FRONT ST
14206000,2 FRONT ST
14200000,2 FRONT ST
14201000,2 FRONT ST
14171000,160 FRONT ST
14171000,160 FRONT ST
14592000,FURNESS ST
14593000,FURNESS ST
14594000,FURNESS ST
2470000,524 GARRETT ST
6220001,308 GILLEY ST
6220001,308 GILLEY ST
6230000,325 GILLEY ST
12775000,218 HAMPTON ST
12775000,218 HAMPTON ST
502000,43 HASTINGS ST
14591000,HOLLY AVE
14590000,250 HOLLY AVE
3173000,78 JAMIESON CRT
14600582,JENSEN ST
13098001,329 JOHNSTON ST
75000,14 K DE K CRT
8287000,4 LAGUNA CRT
12875000,232 LAWRENCE ST
15673001,2035 LONDON ST
15775006,1901 MARINE WAY
15780000,2001 MARINE WAY
15758000,2112 MARINE WAY
10363000,MCBRIDE BLVD
11101000,940 MCBRIDE BLVD
3710000,517 MCDONALD ST
986000,125 MCINNES ST
4429001,MCKAY ST
13911000,325 MERCER ST
13910000,327 MERCER ST
13909000,329 MERCER ST
13908000,331 MERCER ST
13907000,333 MERCER ST
13906000,335 MERCER ST
13905000,337 MERCER ST
13898000,338 MERCER ST
11200000,88A MOTT CRES
9075001,NANAIMO ST
8908000,NANAIMO ST
9079001,NANAIMO ST
9065000,NANAIMO ST
15654001,2038 NINTH AVE
15689000,2138 NINTH AVE
6027000,315 OLIVER ST
13089001,229 PEMBINA ST
12993000,234 PEMBINA ST
13231001,336 PEMBINA ST
14410000,788 QUAYSIDE DR
57000,1260 QUAYSIDE DR
1161000,1264 QUAYSIDE DR
8285000,1400 QUAYSIDE DR
3796000,100 RICHMOND ST
3794000,100 RICHMOND ST
3802000,100 RICHMOND ST
3795000,100 RICHMOND ST
3797000,100 RICHMOND ST
4200000,101 RICHMOND ST
4085000,410 RICHMOND ST
4593000,415 RICHMOND ST
4855000,509 RICHMOND ST
7661001,1817 RIVER DR
7662001,1821 RIVER DR
7614000,1823 RIVER DR
7613000,1827 RIVER DR
7612000,1835 RIVER DR
853000,301 ROYAL AVE
853000,301 ROYAL AVE
740000,302 ROYAL AVE
880000,511 ROYAL AVE
880000,511 ROYAL AVE
988000,801 ROYAL AVE
290000,1102 ROYAL AVE
14599000,SALTER ST
13971500,160 SALTER ST
14600632,215 SALTER ST
14596000,224 SALTER ST
12330000,840 SALTER ST
11198000,827 SANGSTER PL
7503000,1900 SEVENTH AVE
8117000,504 SHARPE ST
8120000,505 SHARPE ST
8066000,521 SHARPE ST
2677000,220 SHERBROOKE ST
3580000,309 SHERBROOKE ST
11391000,110 SINCLAIR AVE
11392000,114 SINCLAIR AVE
8140000,521 SIXTEENTH ST
8624000,716 SIXTH AVE
8764000,1050 SIXTH AVE
8062001,1416R SIXTH AVE
10904001,SIXTH ST
120000,1 SIXTH ST
628001,60 SIXTH ST
10969000,610 SIXTH ST
11857000,830 SIXTH ST
12440093,SOUTH DYKE RD
12440093,SOUTH DYKE RD
12289200,36 SOUTH DYKE RD
12295200,42 SOUTH DYKE RD
14000000,500 SOUTH DYKE RD
12331000,840 SOUTH DYKE RD
12698002,1400 SOUTH DYKE RD
12341000,0 SPRICE ST
13830000,415 STANLEY ST
13968000,STAR CRES
13966000,80 STAR CRES
13965000,86 STAR CRES
8238000,1509 STEWARDSON WAY
8390000,1609 STEWARDSON WAY
95000,10 TENTH ST
664000,81 TENTH ST
5873000,51 THIRD AVE
5873000,51 THIRD AVE
5873000,51 THIRD AVE
5873000,51 THIRD AVE
5873000,51 THIRD AVE
5873000,51 THIRD AVE
5691000,1110 THIRD AVE
6059000,318 THIRD ST
6353000,380 THIRTEENTH ST
9563000,820 THIRTEENTH ST
9020000,TWELFTH ST
1157000,110 TWELFTH ST
13302000,WOOD ST
13046000,231 WOOD ST
12965000,234 WOOD ST
13330003,304 WOOD ST
13330001,306 WOOD ST
13670000,420 WOOD ST
13758000,435 WOOD ST
5029000,808 YORK ST
