Name,Description,Category,Hours,Location,PC,Phone,Email,Website,X,Y
Aunt Leah's House,"Aunt Leah’s House provides supported housing for pregnant and parenting teen moms under the age of 19 who are in the care of the Ministry. Aunt Leah's House is managed by Aunt Leah's Place. For the safety of the women and children living in these residences, the addresses of the residences are not provided; the address provided is the address for the organizational headquarters.","Emergency, Transitional and Supported Housing",,816 Twentieth Street,V3M 4W6,(604)525-1204,auntleahs@auntleahs.org,http://auntleahs.org/find-help/housing/,-122.949260111273,49.2032358968529
Barnabas House,Provides transitional housing for mental health clients. Managed by CMHA (Canadian Mental Health Association) - Vancouver Fraser Branch. Address refers to residence address. The administrative address for the CMHA in New Westminster is located at 435 Sixth Street.,"Emergency, Transitional and Supported Housing",,1002 Fifth Avenue,V3M 1Y5,(604)516-8080,info.vf@cmha.bc.ca,http://vancouver-fraser.cmha.bc.ca/how-we-can-help/housing-programs/new-westminster-office,-122.925134800237,49.2078392792705
Bluebird House,Provides transitional housing for mental health clients. Managed by CMHA (Canadian Mental Health Association) - Vancouver Fraser Branch. Address refers to residence address. The administrative address for the CMHA in New Westminster is located at 435 Sixth Street.,"Emergency, Transitional and Supported Housing",,1002 Fifth Avenue,V3M 1Y5,(604)516-8080,info.vf@cmha.bc.ca,http://vancouver-fraser.cmha.bc.ca/how-we-can-help/housing-programs/new-westminster-office,-122.925134800237,49.2078392792705
Cliff Block Housing Centre,Provides transitional housing units and supportive permanent housing units for persons in need. Managed by Lookout Society,"Emergency, Transitional and Supported Housing",,606 Clarkson Street,V3M 1C8,(604)523-9126,lookoutnewwest@lookoutsociety.ca,http://lookoutsociety.ca/solutions/our-facilities/locations#V3,-122.908435779149,49.2034173794746
Columbia House,"Provides community living housing for persons with developmental disabilities. Managed by Posabilities Association of British Columbia. Address refers to residence address. The head office for posAbilities Association of BC is at Suite 240-4664 Lougheed Highway, Burnaby, BC.","Emergency, Transitional and Supported Housing",,319 Keary Street,V3L 3L2,(604)522-8405,info@posAbilities.ca,http://www.fraserhealth.ca/media/201014_Public-List-Residential-Facilities.pdf,-122.894001943603,49.225847491898
Columbia Place,"Provides second stage housing for women who have been involved in the criminal justice system. Supports include GED completion, career assistance and various recreational programs. Managed by Elizabeth Fry Society of Greater Vancouver.","Emergency, Transitional and Supported Housing",,402 East Columbia Street,V3L 3X1,(604)520-1166,info@elizabethfry.com,http://halfwayhouses.ca/en/region/bcyhha/facility/columbia_place/,-122.89242926129,49.228055049918
Elizabeth Barnett Terrace,Supported independent living units. Managed by Pioneer Community Living Association.,"Emergency, Transitional and Supported Housing",,222 Sherbrooke Street,V3L 3M2,(604)525-2084,info@pclaservices.ca,http://www.pclaservices.ca/services.html,-122.888174896495,49.2270431024417
Elizabeth Gurney House,"Shelter for homeless women and their children - shelter provides daily necessities, crisis intervention, addiction and debt counseling and support in accessing low income housing. Managed by Elizabeth Fry Society of Greater Vancouver.","Emergency, Transitional and Supported Housing",,402 East Columbia Street,V3L 3X1,(604)520-1166,info@elizabethfry.com,https://www.elizabethfry.com/programs/atrisk-children.htm,-122.89242926129,49.228055049918
Extreme Weather Response Shelter,"Provides shelter beds for homeless men and women during extreme weather (very hot, very cold, very wet, very snowy etc.).","Emergency, Transitional and Supported Housing",,606 Clarkson Street,V3M 1C8,(604)529-9126 ext 101,lookoutnewwest@lookoutsociety.ca,http://lookoutsociety.ca/solutions/our-facilities/extreme-weather-shelters,-122.908435779149,49.2034173794746
Fraserside Community Shelter,"Provides shelter beds for homeless families with children, as well as single adult women. Fraserside Community Shelter is operated by Fraserside Community Services Society. For the safety of the families with children, the address of the actual shelter location is not included in the listing. The address included in the listing refers to the community services office for Fraserside Community Services.","Emergency, Transitional and Supported Housing",,2/F - 519 Seventh Street,V3L 3B7,(604)525-3929,,http://www.fraserside.bc.ca/social-housing/emergency-family-shelter/,-122.920455471798,49.2122174509471
