FTYPE,NAME,ADDRESS,CONSTR_YR,UNITS,X,Y
CIVIC FACILITIES,Queen's Park Arenex, ,2015, ,-122.903762582697,49.2144570812403
CIVIC FACILITIES,Queen's Park Arena, ,2015, ,-122.90571264788,49.214426881255
CIVIC FACILITIES,CNW Greenhouse, ,2015, ,-122.907321121253,49.214541322961
CIVIC FACILITIES,Spray Pool Concession, ,2015, ,-122.907905583738,49.2160140579639
CIVIC FACILITIES,Centennial Lodge, ,2015, ,-122.907910371179,49.2173640984152
CIVIC FACILITIES,Fire Hall #1, ,2015, ,-122.908134266113,49.2201013528653
CIVIC FACILITIES,Canada Games Pool, ,2015, ,-122.907162601572,49.2215052849734
CIVIC FACILITIES,Centennial Community Center, ,2015, ,-122.906234951159,49.2213716404701
CIVIC FACILITIES,Engineering Operations Work's Yard, ,2015, ,-122.916903479321,49.2222131303788
CIVIC FACILITIES,CNW Electrical Office, ,2015, ,-122.916518494969,49.2228200415781
CIVIC FACILITIES,Moody Park Ice Arena, ,2015, ,-122.925864645408,49.2152296124873
CIVIC FACILITIES,Massey Theatre, ,2015, ,-122.927019733174,49.2151522942025
CIVIC FACILITIES,Moody Park Pool, ,2015, ,-122.928046436859,49.211015291261
CIVIC FACILITIES,Century House/Parks Admin, ,2015, ,-122.926502832843,49.211724351541
CIVIC FACILITIES,Century House/Parks Admin, ,2015, ,-122.925633415607,49.2119832622879
CIVIC FACILITIES,New Westminster Library, ,2015, ,-122.922420530369,49.2115251843436
CIVIC FACILITIES,CNW Police Station, ,2015, ,-122.908115368033,49.2036714212386
CIVIC FACILITIES,New Westminster Museum and Archives, ,2015, ,-122.90614623371,49.207564089726
CIVIC FACILITIES,Anvil Center, ,2015, ,-122.911485692399,49.2013802829563
CIVIC FACILITIES,Co-Location Room, ,2015, ,-122.91089097215,49.2065456718603
SCHOOLS,Justice Institute of BC, ,2017, ,-122.910568313162,49.2222778204228
SCHOOLS,New Westminster Secondary, ,2017, ,-122.928676080385,49.2157323576924
SCHOOLS,Douglas College, ,2017, ,-122.912796813069,49.2034129607695
HOSPITAL,Royal Columbian Hospital, ,2017, ,-122.890984792422,49.2260459089528
BUSINESS,Degelder, ,2016, ,-122.913008602558,49.2008926334204
BUSINESS,River Market, ,2017, ,-122.911511702749,49.2001832402657
BUSINESS,Sixth St and Sixth Ave, ,2017, ,-122.918618926863,49.2126054344899
BUSINESS,Royal City Mall, ,2017, ,-122.922706798064,49.2123994598644
CIVIC FACILITIES,Fire Hall #2, ,2018, ,-122.936783374107,49.2101320988928
CIVIC FACILITIES,Fire Hall #3, ,2017, ,-122.948105186782,49.1863476633075
SCHOOLS,Queensborough Middle School, ,2018, ,-122.940826201737,49.1863704394992
MULTIPLE DWELLING,THE MARINUS,888 CARNARVON ST,2016,240,-122.913085584418,49.2014200787906
MULTIPLE DWELLING,AZURE 2,898 CARNARVON ST,2016,204,-122.913680019664,49.2010778035302
MULTIPLE DWELLING,AZURE 1,898 CARNARVON ST,2016,204,-122.914236254321,49.2007676262583
MULTIPLE DWELLING,THE VICEROY,608 BELMONT,2016,168,-122.919994271594,49.2120599856814
MULTIPLE DWELLING,THE FRASER,55 TENTH ST,2016,100,-122.914998427623,49.2010859208815
