Name,Description,Category,Hours,Location,PC,Phone,Email,Website,X,Y
British Columbia Provincial Government - Ministry of Children and Family Development,Provides child and youth mental health services.,"Health, Mental Health & Addictions Services",,201 - 1065 Columbia Street,V3M 6H7,(604)660-9495,,http://www.mcf.gov.bc.ca/sda/contacts.htm,-122.919059067005,49.2007529676227
Canadian Mental Health Association (Vancouver - Fraser Branch),"Offers education, housing and outreach services for mental health clients.","Health, Mental Health & Addictions Services",,435 Sixth Street,V3L 3B1,(604)516-8080,info.vf@cmha.bc.ca,http://vancouver-fraser.cmha.bc.ca/,-122.917930312436,49.2115459529873
Community Mental Health Centre - New Westminster Mental Health Office ,Provides a variety of mental health services.,"Health, Mental Health & Addictions Services",,2/F - 403 Sixth Street,V3L 3B1,(604)777-6800,,http://www.fraserhealth.ca/find-us/services/our-services?program_id=8715,-122.91645291714,49.2105154155817
DEWY (Pacific Community Resources),DEWY assists youth aged 13 to 18 years old who have problems with alcohol and/or drug use. ,"Health, Mental Health & Addictions Services",,102 - 332 Columbia Street,V3L 1A6,(604)523-5652,,http://www.pcrs.ca/dewy,-122.904203878924,49.2048999974751
Douglas College Dental Assisting Clinic,Provides reduced cost preventative dental services for patients between the ages of 4 and 25 years old.,"Health, Mental Health & Addictions Services",By appointment,700 Royal Avenue,V3M 5Z5,(604)527-5464,,http://www.douglascollege.ca/programs-courses/faculties/health-sciences/dental-assisting/dental-clinic-preventative-services,-122.91274781516,49.2035020141153
Family Services of Greater Vancouver - Counselling Services,"Provides counselling services to families, children and adults.","Health, Mental Health & Addictions Services",,321 Sixth Street,V3L 3A7,(604)874-2938,,http://www.fsgv.ca/find-the-support-you-need/counselling/,-122.915243009316,49.2094571459841
Fraser Health Authority - New Westminster Public Health Unit,"Provides a variety of public health services, including vaccines.","Health, Mental Health & Addictions Services",,610 Sixth Street,V3L 3C2,(604)777-6740,,http://www.fraserhealth.ca/find-us/locations/our-locations?site_id=2505,-122.922525725356,49.2124900065366
Fraser Health Authority - Royal Columbian Hospital,"Hospital that provides a variety of services including trauma care, birth services, emergency services etc.","Health, Mental Health & Addictions Services","Facility is open 7 days a week, 24 hours a day",330 East Columbia Street,V3L 3W7,"(604)520-4253 (non-emergency), 911 (emergency)",,http://www.fraserhealth.ca/find-us/locations/our-locations?site_id=1789,-122.891346222975,49.2267606074921
Fraserside Community Services - Children Who Witness Abuse,Fraserside’s Children Who Witness Abuse (CWWA) program provides group and individual counselling to children who have been affected by witnessing the abuse of a parent or caregiver.,"Health, Mental Health & Addictions Services",,2/F - 519 Seventh Street,V3M 6A7,(604)522-3722 ext 118,,http://www.fraserside.bc.ca/mental-health-and-counselling/children-who-witness-abuse/,-122.920455471798,49.2122174509471
Inpatient Psychiatry Unit at Sherbrooke Centre (Royal Columbian Hospital),Provides services to admitted inpatients requiring further support managing mental health issues.,"Health, Mental Health & Addictions Services",,260 Sherbrooke Street,V3L 3M2,(604)520-4253,,http://www.fraserhealth.ca/find-us/services/our-services?program_id=8962,-122.89127334917,49.227544487801
