CATEGORY,ADDRESS,NAME,OBJECTID,ID,DESC2,BLDG_ID,PHOTO,AGE,COMPLETED,ARCHITECT,DEVELOPER,SOS,x,y
Cemetery Markers,100 Richmond St,Church of England Cemetery Grave Markers,1,HERP0098,The southern half of this property is a portion of the Church of England (Anglican) Cemetery while the northern half was a portion of the Oddfellows Cemetery. A section was set aside as the “Soldiers’ Plot” to be only used for the burial of returned soldiers. The Canadian Legion approved utilizing its funds for burials of former veterans of World War I. Later this area would also be used for the burial of veterans of World War II.,,HERP0098,1869,20080714,,,HERP0098,-122.897581961152,49.2210510709508
Cemetery Markers,100 Richmond St,Church of England Cemetery Grave Markers,2,HERP0099,The Church of England (Anglican) Cemetery was established as the first cemetery on the south-east corner of the site in 1869. A second section of the cemetery was opened by the Anglican Church at this site. This second section is commonly identified on plans as the C of E Cemetery. The cemetery was transferred to the ownership of the City in 1930 by bylaw. ,,HERP0099,1869,20080714,,,HERP0099,-122.89655528692,49.2217382944153
Cemetery Markers,100 Richmond St,Church of England Cemetery Grave Markers,3,HERP0100,The Church of England (Anglican) Cemetery was established as the first cemetery on the south-east corner of the site in 1869. A second section of the cemetery was opened by the Anglican Church at this site. This second section is commonly identified on plans as the C of E Cemetery. The cemetery was transferred to the ownership of the City in 1930 by bylaw. ,,HERP0100,1869,20080714,,,HERP0100,-122.896564575701,49.2212975344187
Cemetery Markers,101 Richmond St,Old Fraser Cemetery Grave Markers,4,HERP0101,The City of New Westminster purchased the land in anticipation of the closure of the old public cemetery also known as the Douglas Road Cemetery and the Chinese Cemetery (now the High School site). The majority of plots were available for sale but some areas were set aside for “Orientals” and indigent burials. City Council strictly controlled the type and quality of monuments which is reflected in the generally good condition of the majority of monuments erected.,,HERP0101,1869,20080714,,,HERP0101,-122.899518989193,49.2215520097191
Cemetery Markers,100 Richmond St,Oddfellows Cemetery Grave Markers,5,HERP0102,"Being a champion of the less fortunate, the lodge members opened their own cemetery on privately owned lands. Plots were sold to the public and their members, and they also provided for charitable burials. The Oddfellows operated a funeral and death benefit plan at a time that few options were available to working class families. In 1932, title was conveyed to the City under provision that it would forever retain the Oddfellows Cemetery name and be used in perpetuity as a public cemetery.",,HERP0102,1882,20080714,,,HERP0102,-122.897945316799,49.2217417796541
Cemetery Markers,100 Richmond St,Church of England and Lawn Section Cemetery Grave Markers,6,HERP0103,"The Church of England (Anglican) Cemetery was established as the first cemetery on the south-east corner of the site in 1869. This pioneer section is often referred to as the ""Old Church of England"" Cemetery. The lawn sections of the cemetery was cleared and leveled by a $10,000 project for the unemployed during the Depression. The oldest monument is that erected for James Digby R.E. in 1860. It was relocated from the old Anglican Cemetery on Dufferin Street in 1908.",,HERP0103,1870,20080714,,,HERP0103,-122.897233372687,49.2228678061003
Cemetery Markers,100 Richmond St,Church of England Cemetery Grave Markers,7,HERP0104,The Church of England (Anglican) Cemetery was established as the first cemetery on the south-east corner of the site in 1869. A second section of the cemetery was opened by the Anglican Church at this site. This second section is commonly identified on plans as the C of E Cemetery. The cemetery was transferred to the ownership of the City in 1930 by bylaw. ,,HERP0104,1869,20080714,,,HERP0104,-122.898255069172,49.2208492721516
Cemetery Markers,100 Richmond St,Masonic Cemetery Grave Markers,8,HERP0222,"The Masonic Cemetery was established by members of the Union Lodge of New Westminster by purchasing privately-owned lands to create this unique fraternal cemetery. They enforced a long list of rules and regulations including the type of monuments. However, operations were frustrated by a lack of funds for perpetual maintenance. In 1931, when there were only a few vacant graves but quite a number of old timers buried there, the City took over the maintenance. ",,HERP0222,1870,20080714,,,HERP0222,-122.896540400803,49.2221880446349
Churches,1105 Sixth Ave,Sixth Ave United Church,9,HERP0011,"The United Church was established on this site in 1890 as the first 'West Side Church'. Upon completion of the present church building in 1911, the original church was used as a meeting hall until its demolition in 1927. The church, as it now stands, was designed in the style of the English Arts and Crafts tradition, and built at a cost of $30,000. The church features a side-steeple with a bold art glass window treatment on the gable facade.",4866,HERP0011,1911,19970526,"Hooper, Thomas","Van der Voort, M D",HERP0011,-122.929913372146,49.2082524386524
Churches,321 Carnarvon St,Emmanuel Pentecostal Church,10,HERP0032,"The  Late Gothic Revival brick St. Andrew's featured gothic stained glass windows, a front gable and a dominant steepled corner tower. In 1930, repairs were done after a fire and the steeple was removed.  Beginning in 1977, the Church began a series of renovations to the roof, front doors, and the interior. The stucco exterior was removed later to expose the original brick facade. The next project is to restore the pipe organ, which is one of the oldest and largest west of Chicago.  ",190,HERP0032,1888,19970526,"Grant, George William","Ackerman, O B & Ackerman, Theron",HERP0032,-122.905749596276,49.206132599247
Churches,514 Carnarvon St,Holy Trinity Cathedral,11,HERP0033,"The one storey, concrete structure was built over the stone of the earlier 1867 church which burned in 1898. The tower was rebuilt in 1910. The Victorian Gothic architecture was styled after St. Paul's in London and features steep pitched roof, rusticated concrete, gables, and a corner tower. The altar windows were designed in 1899 by James Bloomfield of Henry Bloomfield and Sons of New Westminster. The chapel windows were done in 1961 by McCausland of Toronto. ",409,HERP0033,1899,20040419,"Grant, George William","Bloomfield, Henry and Sons",HERP0033,-122.907340553889,49.2046766484474
Churches,47 Merivale St,Nidarose Lutheran Church,12,HERP0084,"The Korean Catholic Church features an asymmetrical facade with a corner tower, a metal steeple with a wooden cross spire, stained glass stars in the steeple, white exterior stucco walls, arched entrance, side wall buttress, and gothic windows. The church was originally a Norwegian Lutheran Church called Nidarose. In 1960, the Lutherans moved to Mount Zion Lutheran Church and the church was sold to the French Catholic Church. In 1980 the Korean Catholic Church took over the church.  ",114,HERP0084,1924,20040419,,,HERP0084,-122.903773337081,49.20645030273
Churches,330 Royal Ave,Saint Peter's Church,13,HERP0107,"Marked by clean lines and geometric patterning, this church incorporates many fine details of the Art Deco style. It follows a traditional plan, with a front entry with vestibule, a long nave with transepts, and a raised altar in the apse, but uses a modern expression of form, including set-back massing on the bell tower. A pointed-arch motif is used throughout the design, but rather than the traditional Gothic rounded arch, a geometric straight-line arch is used. ",225,HERP0107,1939,20040419,Twizell and Twizell,,HERP0107,-122.90772007188,49.2069505133084
Churches,628 Royal Ave,Saint Paul's Reformed Episcopal Church,14,HERP0108,"The present structure was built to replace the one destroyed in the 1898 fire. The Victorian Gothic style church with its fir clapboard exterior has been stuccoed over but the facade retains decorative woodwork, arched windows with coloured glass panes, and original doors. The design features a corner tower, a gable and steeply pitched roof. The stained glass altar windows were done by Henry Bloomfield and Sons in 1899. The Church's pews were built at the B.C. Penitentiary.",220,HERP0108,1899,19970526,"Clow, Charles Henry & Welsh, Daniel","Bloomfield, Henry and Sons",HERP0108,-122.911892454105,49.2047319333152
Churches,1111 Sixth Ave,Sixth Ave United Church Annex,15,HERP0112,"The British Arts and Crafts-influenced structure is notable for the extensive use of precast concrete blocks of contrasting smooth and rough-dressed textures. Other exterior features include shingled wall treatment and open, front porch with square columns, while the interior features include a cross-vaulted roof with massive roof trusses, a square floor plan with a curved balcony supported on cast iron columns, large stainedglass windows and tongue-and-groove cedar wainscoting. ",4867,HERP0112,1953,19970526,,,ComingSoon,-122.930103992395,49.2081626012448
Facades,668 Columbia St,Trapp Block/Army & Navy Facade,16,HERP0009,"The Trapp Block is a wood-frame and masonry warehouse and commercial structure with a distinctive tan terra cotta front facade, located in New Westminster’s historic downtown core. It was one of the tallest structures built on the south side of Columbia Street during the Edwardian-era and remains a landmark in the area. The front of the structure was six storeys high on Columbia Street; the rear facade, which faces Front Street, had seven exposed storeys. Subject to an HRA, the façade was retained and restored to its 1913 appearance and a new residential tower built in behind. ",11668,HERP0009,1902,20040419,"Gardiner, Mercer and Gardiner","Van Der Voort, M D",HERP0009,-122.90936333248,49.2022112925464
