DESCRIPTN,OBJECTID,BLDG_ID,HERITAGE,BINDER,SHAPE.area,SHAPE.len,MAPREF,UNITNUM,STRNUM,STRNAM,BLDGNAM,BLDGAGE,DEVELOPER,ARCHITECT,STRATA,M_BLDGHGT,NUM_B_GRND,NUM_A_GRND,NUM_MEZZ,SQM_SITCVR,SQM_FTPRNT,NUM_RES,SQM_B_GRND,SQM_A_GRND,SQM_RES,SQM_NRES,SQM_XRES,SQM_XNRES,SS_REGDATE,SS_CODE,SS_STATDEC,MOVED,DEMOLISH,SIGNIFICANT
Supporting Listing,1848,125,Y,Sup,225.842,75.9938186088782,500000,,38,AGNES ST,,1926,DAN SCHNOTER,,N,0,1,2,0,158.77,158.77,2,158.77,317.54,476.31,0,0,0,20120601080000,Authorized (Within Existing Home),,0,0,
Supporting Listing,1849,127,Y,Sup,130.945543,58.6706828400773,503000,,44,AGNES ST,,1931,John G. Russel,,N,0,1,2,0,77.3,77.3,2,77.3,98.2,175.49,0,0,0,19980701080000,Registered Unauthorized (Pre-1998),,0,0,
"The homes at 126 and 128 Agnes Street complement the architectural features of 132 Agnes Street. All three homes are two storey structures with rear lean-to additions and without extensive exterior decoration. The first two houses are good examples of the Pioneer Tent style which became population in the late 19th Century. With the advent of the lumber mill industry and railroad transportation, early British Columbian settlers could then afford the lumber necessary for building these balloon frame vernacular structures. These two houses, along with 132 Agnes Street, have been assembled for an apartment project. The developers applied for the required rezoning in May 1989, and upon completion of their requirements will demolish all three houses. This action could occur sometime in 1991.",1850,711,Y,Sup,99.99958685,39.999917370417,466001,,126,AGNES ST,,1888,,W HANDCOCK,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1992,
"The homes at 126 and 128 Agnes Street complement the architectural features of 132 Agnes Street. All three homes are two storey structures with rear lean-to additions and without extensive exterior decoration. The first two houses are good examples of the Pioneer Tent style which became population in the late 19th Century. With the advent of the lumber mill industry and railroad transportation, early British Columbian settlers could then afford the lumber necessary for building these balloon frame vernacular structures. These two houses, along with 132 Agnes Street, -have been assembled for an apartment project. The developers applied for the required rezoning in May 1989, and upon completion of their requirements will demolish all three houses. This action could occur sometime in 1991.",1851,11311,Y,Sup,99.99958685,39.999917370417,466001,,128,AGNES ST,,1894,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2005,
"The house at 132 Agnes Street (readdressed as 188) is a vernacular version of the Classic Box or American Foursquare. This unpretentious square home with a hipped roof, lean-to addition and brown shingled exterior was designed by E. G. W. Sait for Mr. Handcock in 1911. In July 1989, this house along with 126 & 128 Agnes Street was proposed for an apartment project, which will result in demolition for this house within the ·next few years.",1852,11315,Y,Sup,100.000358475,40.0000716956835,466001,,188,AGNES ST,,1911,,WILLIAM  HANDCOCK,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2013,
"Across the street from these homes are two early 20th Century homes (207 and 205 Agnes) and one late 19th Century home (201 Agnes). The home at 201 Agnes built in 1892, is a simplified version of the Victorian Italianate style, and was the home of Joseph McDonald in 1912, manager of the Glen Rose Cannery. This early Albert Crescent home features a pyramidal roof decorated with a plain cornice, frieze and brackets, white shiplap siding, a narrow transom over the door and an open verandah supported by piers. This simplified version of the Italianate style was popular in Western North America between the years 1860 and 1890.",1853,232,Y,Sup,100.000358475,40.0000716956835,790000,,201,AGNES ST,,1886,,EA JENNS,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1992,
"Built by Morgan for N. H. McQuarrie around 1911, the Late Victorian home at 207 Agnes Street has many features common to the Eastern Shingle style, such as, the front gabled pedimented roof and the sweeping side roof line with a piercing shed dormer. Its exterior is covered with stucco and it has asphalt shingles in the gable. It does have the shingled exterior most typical of the Eastern style, but the shingles have been covered in stucco.",1854,11703,Y,Sup,131.90113047,46.6846867707711,,,207,AGNES ST,,1911,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unknown,,0,2007,
Supporting Listing,1855,234,Y,Sup,206.11925,58.3311236631483,749000,,325,AGNES ST,LYNWOOD APARTMENT/HERRING HOME,1902,A.M. HERRING,,N,0,0,3,0,164.25,164.25,12,0,394.84,394.84,0,0,0,,Unknown,,0,0,
"Dontenwill Hall at 336 Agnes Street was designed for St. Peter's Catholic Church in 1940 by Twizell and Twizell at a cost of $10,000.00. The hall also contains a meeting space and gym. Distinguishing features on this modern earth-toned stucco structure include the parapeted corner tower, stepped parapeted frontispiece, and the hipped roof with a gabled cap.",1856,106,Y,Sup,694.8087,111.398896954019,424000,,336,AGNES ST,Pacific Hall (Formerly Dontenwill Hall),1940,R.C. CHURCH,TWIZELL & TWIZELL,N,7.62,0,2,0,646.51,646.51,0,0,764.03,0,764.03,0,0,,Unknown,,0,0,Church
"On Agnes near Sixth Street is the Freemason's Hall, built in 1911. Gardiner, Mercer and Gardiner designed this Masonic lodge in a Georgian Classical revival style. The history of Masonic lodges in British Columbia extends as far back as 1848. The first Masonic lodge in New Westminster (and on the mainland) was built in 1862. The architectural features of the lodge include the pedimented windows, accentuated cornice, portico and the symmetrical brick with white stone facade. Additional features include a 1911 date stone and a front iron fence. Although the lodge does not maintain the dominant architectural character of the area, its function complements the institutional precinct of the Law Courts and Douglas College.",1857,426,Y,Sup,570.866776655,96.8658123703849,1325000,,508,AGNES ST,MASONIC HALL,1911,MASONIC LODGE,GARDINER & MERCER,N,15.85,1,3,0,529.92,529.92,1,542.09,1087.71,0,1629.8,0,0,,Unknown,,0,0,
