OBJECTID,Location,POINT_X,POINT_Y,INTID,X,Y
1,"NANAIMO ST, EIGHTEENTH ST",504276.0412,5450020.043,INT738,-122.941299348186,49.2029609441343
2,"LONDON ST, TWENTY-FIRST ST",503455.5706,5450109.938,INT720,-122.952561829039,49.2037747511595
3,"SIXTH AVE, EIGHTEENTH ST",504343.3424,5449950.6951,INT737,-122.940376201048,49.2023366661348
4,"FIRST ST, COLLEGE CRT",506882.9047,5451062.0471,INT481,-122.90549501803,49.2123103307421
5,ROUSSEAU ST,508283.57,5453313.87,INT612,-122.88621687476,49.232548706091
6,"E TENTH AVE, LEE ST",507351.4337,5453514.8189,INT707,-122.899016993105,49.2343681906182
7,"E COLUMBIA ST, CEDAR ST",507808.076,5453058.2596,INT519,-122.892753225763,49.2302556780717
8,"CHURCHILL AVE, CHESTNUT ST",507102.5195,5453033.2623,INT514,-122.902444729119,49.2300394117868
9,"PRINCESS ST, EIGHTH ST",505474.8492,5451007.3389,INT317,-122.924828898936,49.2118324150127
10,"SALTER ST, WOOD ST",504594.0072,5448235.5125,INT93,-122.936954780165,49.1869062458387
11,FOURTH AVE,505043.1087,5449977.2731,INT945,-122.930769741066,49.2025703848
12,"AGNES ST, HASTINGS ST",507191.568,5450750.7231,INT699,-122.90126253352,49.2095063412666
13,"FIFTH AVE, ELEVENTH ST",505284.5174,5450466.3924,INT394,-122.927449322163,49.2069681201852
14,CARROL ST,507216.2675,5452186.9372,INT956,-122.900897594639,49.2224251770428
15,"DUNCAN ST, BLACKLEY ST",505163.4976,5449125.3327,INT86,-122.929128030994,49.1949059243248
16,"RICHMOND ST, LEE ST",507394.9578,5453467.3381,INT752,-122.898420000846,49.233940565466
17,RIALTO CT,505323.4885,5449694.9541,INT663,-122.926924517705,49.2000284712984
18,"THIRD AVE, FOURTH ST",506398.3975,5450811.5282,INT186,-122.912151476477,49.2100620955128
19,"EIGHTH AVE, FIFTEENTH ST",504447.13,5450571.06,INT953,-122.938944573855,49.2079162841403
20,"DUBLIN ST, TWENTY-FIRST ST",503513.7868,5450039.7181,INT781,-122.951763250076,49.2031427714696
21,"QUEENS AVE, SHAW ST",505752.3027,5449992.4822,INT403,-122.921033933289,49.2027009494686
22,"CARNARVON ST, BLACKWOOD ST",506868.2309,5450336.2623,INT469,-122.905708911035,49.2057818601507
23,"NAPANEE ST, ELEVENTH ST",505319.2972,5450424.1971,INT408,-122.926972392719,49.2065882605184
24,"FIFTH AVE, SHARPE ST",504878.6661,5450133.7147,INT272,-122.933025256872,49.2039789536597
25,"FOURTH ST, LANCASTER ST",506433.3767,5450769.7857,INT205,-122.91167188964,49.2096862439051
26,"EWEN AVE, HOLLY AVE",505248.6152,5449030.515,INT27,-122.927960982602,49.1940522874234
27,"SALTER ST, GIFFORD ST",503698.6657,5447658.0488,INT52,-122.949247181904,49.1817178262086
28,"SALTER ST, SPRICE ST",504141.3566,5447945.3515,INT98,-122.943169653639,49.1842993782505
29,"FIRST ST, QUEENS AVE",506953.0554,5450976.4957,INT434,-122.904533304663,49.211539980557
30,"E COLUMBIA ST, ALBERTA ST, NELSON CR",507796.2841,5452324.1998,INT345,-122.892929460336,49.2236527803221
31,"SIXTH AVE, EIGHTH ST",505534.3305,5450933.2601,INT828,-122.9240132273,49.2111655212851
32,"CARNEGIE ST, CHERRY ST",507183.4912,5452935.53,INT619,-122.901334310531,49.2291593413754
33,"ST. ANDREWS ST, ELEVENTH ST",505354.2621,5450381.8796,INT395,-122.926492931031,49.2062072980196
34,"CLARKSON ST, BLACKWOOD ST",506907.3033,5450288.2407,INT644,-122.905173329092,49.2053494531711
35,"FOURTH ST, ST. GEORGE ST",506468.6019,5450726.7705,INT204,-122.91118895311,49.2092989393988
36,CANIL AVE,503154.4279,5447466.0408,INT12,-122.95671667671,49.1799936911399
37,"LONDON ST, LONDON PL",503042.8848,5449768.4147,INT267,-122.958229777189,49.2007048353711
38,"VANCOUVER ST, FIRST ST, PARK ROW",506984.0627,5450940.2403,INT437,-122.904108200283,49.2112135006919
39,"EDINBURGH ST, TWENTY-FIRST ST",503571.8388,5449968.864,INT780,-122.950966951189,49.2025050823354
40,"BELLEVILLE ST, ELEVENTH ST",505390.7897,5450337.6429,INT396,-122.925992048814,49.2058090560106
41,"LIVERPOOL ST, FOURTH ST",506504.0676,5450684.359,INT203,-122.910702712415,49.2089170607485
42,"CAPILANO WAY, EDWORTHY WAY",508420.7997,5452417.2494,INT281,-122.884350717925,49.2244815163535
43,MEAD ST,503822.5136,5449708.7317,INT975,-122.947528245693,49.2001636028323
