StrName,StrNum,OBJECTID,Name,Category,Neighbourhood,Zoning,Zone_Category,Owner,Surveyed,Site_Area,Relationship,SHAPE_Length,SHAPE_Area
DUNCAN ST,62,53,Queensborough Off Leash Dog Area,Off Leash Dog Area,North Arm South,M-1,Industrial,City of New Westminster,Y,4186.210022,P,418.107150955335,4186.1684310132
RICHMOND ST,100,71,Fraser/Church of England Lawn Section,Cemetery,Sapperton,P-1,Institutional,City of New Westminster,Y,5059.040039,P,301.041028624656,5054.44814409708
RICHMOND ST,100,72,Fraser/Church of England,Cemetery,Sapperton,P-1,Institutional,City of New Westminster,Y,20396.960938,P,603.54848791737,20253.9773140582
RICHMOND ST,115,73,St. Peters Catholic,Cemetery,Victory Heights,RS-1,Single Detached,Roman Catholic Archibishop of Vancouver,Y,18709.189453,P,587.49942289828,18446.0724148984
RICHMOND ST,100,74,Fraser/Oddfellows,Cemetery,Sapperton,P-1,Institutional,City of New Westminster,Y,15147.650391,P,601.875903041063,15081.3467197258
RICHMOND ST,100,75,Fraser/Masonic,Cemetery,Sapperton,P-1,Institutional,City of New Westminster,Y,5059.040039,P,301.042078011378,5054.46984749984
MCBRIDE ST,,76,Woodlands Memorial Garden,Cemetery,Glenbrooke South,P-3,Institutional,BC Buildings Corp,Y,10299.969727,P,483.584574057951,10260.3934375156
EIGHTH ST,935,77,NWSS Memorial Grounds,Cemetery,Kelvin,P-2,Institutional,New Westminster School District #40,Y,22966.099609,P,754.804673850019,22816.388648112
MARINE DR,2345,78,Schara Tzedeck Cemetery,Cemetery,Connaught Heights,P-1,Institutional,Congregation ScharaTzedeck,Y,58880.828125,P,1131.87505026522,58846.8885394646
RICHMOND ST,101,79,Old Fraser,Cemetery,Victory Heights,P-1,Institutional,City of New Westminster,Y,18200.080078,P,580.635948038262,17883.4546939657
RICHMOND ST,100,80,Fraser/Church of England Lawn Section,Cemetery,Sapperton,P-1,Institutional,City of New Westminster,Y,4921.974868,P,296.199472043319,4918.11943777161
RICHMOND ST,100,81,Fraser/Oddfellows,Cemetery,Sapperton,P-1,Institutional,City of New Westminster,Y,4047.815171,P,301.201230891538,4044.64447798906
CARNARVON ST,813,82,Downtown Off Leash Dog Area,Off Leash Dog Area,Downtown,C-4/RM-6B,Commercial/Apartment High Rise,City of New Westminster/Carnarvon Garden Dev Ltd,N,1817.506926,P,221.317148611703,1817.50692630585
QUAYSIDE DR,1400,83,Quayside Off Leash Dog Area,Off Leash Dog Area,North Arm North,RMW-2A_P-1,Mixed,City of New Westminster,N,1813.672547,C,166.026174947747,1813.67254661029
E TENTH AVE,200,84,Westburnco Off Leash Dog Area,Off Leash Dog Area,Victory Heights,RS-1,Single Detached,Greater Vancouver Water District,N,1336.684418,C,261.663196364208,1336.68441819434
THIRD AVE,51,85,Queen's Park Off Leash Dog Area,Off Leash Dog Area,Glenbrooke South,RS-1,Single Detached,City of New Westminster,N,2020.615126,C,243.662939624018,2285.30630013957
E COLUMBIA ST,660,86,Hume Park Off Leash Dog Area,Off Leash Dog Area,Brunette Creek,RS-1,Single Detached,City of New Westminster,N,4701.810795,C,737.54368586599,4701.81079506642
JAMIESON CRT,78,277,BC Penitentiary Cemetery,Cemetery,Glenbrooke South,P-1,Institutional,City of New Westminster,N,1193.89617,C,182.230077059853,1193.89616954202
,,281,West Side Off Leash Dog Area,Off Leash Dog Area,North Arm North,,,City of New Westminster or Province?????,N,6023.176072,P,307.684082262236,6023.17607221477
EIGHTH ST,600,300,Moody Park Off Leash Dog Area,Off Leash Dog Area,Kelvin,P-1,Civic-Recr,City of New Westminster,N,2430,C,252.623125744608,3017.23266170691
