NwID,FULLADDR1
661000,215 CARNARVON ST
8600000,711 FIFTH AVE
15660000,2010 NINTH AVE
4732000,814 SCOTT ST
11428000,922 FIRST ST
11599000,302 BLACKMAN ST
14378001,1026 SOUTH DYKE RD
11369000,810 FIRST ST
10670000,715 FOURTH ST
6485000,329 OLIVER ST
10142000,915 LONDON ST
10073000,1906 DUBLIN ST
4383000,223 ARCHER ST
15557000,2119 EDINBURGH ST
11668000,842 FOURTH ST
8077001,526 FOURTEENTH ST
10648000,209 SEVENTH AVE
12700599,179 DOCKSIDE CRT
4338000,438 ALBERTA ST
4334000,429 ALBERTA ST
6259000,317 ELEVENTH ST
7822000,1902 EIGHTH AVE
10480000,718 COLBORNE ST
15631000,2117 DUBLIN ST
10683000,219 DURHAM ST
9770001,1601 EIGHTH AVE
11755000,906 FIFTH ST
10754000,225 PRINCESS ST
3673000,312 BRAID ST
6008000,117 THIRD AVE
9554000,812 THIRTEENTH ST
11520000,230 NINTH AVE
8732000,1021 HOWAY ST
10155000,902 LONDON ST
6211000,811 THIRD AVE
8510000,313 REGINA ST
3700000,522 GARFIELD ST
4416000,310 E SIXTH AVE
1539000,329 HOLMES ST
11182000,82 MOTT CRES
1348000,51 DUFFERIN ST
5221000,826 CHESTNUT ST
4807000,928 SURREY ST
11740000,929 SIXTH ST
4398000,427 SHILES ST
652000,214 AGNES ST
12539000,248 DAWE ST
10487000,740 COLBORNE ST
13102003,409 EWEN AVE
9562000,1308 EDINBURGH ST
3001000,458 WILSON ST
15614000,2227 DUBLIN ST
2783000,474 E COLUMBIA ST
6617000,112 ST. PATRICK ST
7850000,1803 HAMILTON ST
2967000,402 WILSON ST
10575000,103 DURHAM ST
15664000,924 TWENTIETH ST
4065000,442 BUCHANAN AVE
3477004,323 KEARY ST
3943000,323 BLAIR AVE
4089000,434 ELMER ST
7511000,1921 MARINE WAY
3799003,345 CUMBERLAND ST
13964002,185 FAIRWEATHER LANE
11442000,239 EIGHTH AVE
5026000,119 E EIGHTH AVE
3926000,340 RICHMOND ST
13158502,334 JOHNSTON ST
11407000,107 SINCLAIR AVE
9383000,1020 TENTH AVE
13454000,1011 EWEN AVE
5806000,225 SEVENTH ST
4872000,901 KENT ST
5244000,319 E EIGHTH AVE
11478000,229 OSBORNE AVE
16110904,322 BRUNETTE AVE
10191000,822 DUBLIN ST
15671000,2025 LONDON ST
9322000,821 HENLEY ST
16275916,2305 EIGHTH AVE
9799000,1620 DUBLIN ST
3038000,94 BRAID ST
4391000,315 ARCHER ST
12842000,243 HOWES ST
9390000,1121 DUBLIN ST
15608001,2202 LONDON ST
14538000,211 HOLLY AVE
13027001,228 BOYNE ST
4867000,915 KENT ST
12700535,151 PHILLIPS ST
6310000,305 LOUELLEN ST
5737000,224 NINTH ST
10775000,307 PRINCESS ST
8373000,1712 SIXTH AVE
11508000,237 SANDRINGHAM AVE
8501000,318 SIXTH AVE
9183000,1315 SIXTH AVE
10184100,835 TENTH ST
9687000,1401 EIGHTH AVE
11541000,228 BLACKMAN ST
4626000,919 LAUREL ST
1440501,515 ST. GEORGE ST
10874000,630 FIFTH ST
14516000,210 HOLLY AVE
12497006,216 SUZUKI ST
4804000,920 SURREY ST
3361000,324 STRAND AVE
11464000,228 OSBORNE AVE
3947002,355 HOSPITAL ST
12310036,797 SOUTH DYKE RD
10495000,719 FIRST ST
4902000,606 ALLISON PL
6185001,319 ASH ST
9953000,1837 EDINBURGH ST
9656000,1437 DUBLIN ST
8120000,505 SHARPE ST
15567000,2222 DUBLIN ST
9763000,1508 TENTH AVE
9374000,924 TENTH ST
