Y,X,Sign_Code,Sign_ID,Traffic_Direction,Meter_Type,Shared_With,Sign_Definition
49.209539,-122.915922,PM-03,03P26,SB,Single,,2 HOUR METER
49.209792,-122.915957,PM-03,03P27,NB,Double,03P25,2 HOUR METER
49.209627,-122.916031,PM-03,03P28,SB,Double,03P30,2 HOUR METER
49.209886,-122.916073,PM-01,03P29,NB,Double,03P31,15 MINUTE METER
49.209627,-122.916031,PM-03,03P30,SB,Double,03P28,2 HOUR METER
49.209886,-122.916073,PM-01,03P31,NB,Double,03P29,15 MINUTE METER
49.209713,-122.91614,PM-03,03P32,SB,Double,03P34,2 HOUR METER
49.209972,-122.916182,PM-03,03P33,NB,Double,03P35,2 HOUR METER
49.209713,-122.91614,PM-03,03P34,SB,Double,03P32,2 HOUR METER
49.209972,-122.916182,PM-03,03P35,NB,Double,03P33,2 HOUR METER
49.209796,-122.916244,PM-03,03P36,SB,Double,03P38,2 HOUR METER
49.210063,-122.916295,PM-03,03P37,NB,Double,03P39,2 HOUR METER
49.209796,-122.916244,PM-03,03P38,SB,Double,03P36,2 HOUR METER
49.210063,-122.916295,PM-03,03P39,NB,Double,03P37,2 HOUR METER
49.210153,-122.916407,PM-03,03P41,NB,Single,,2 HOUR METER
49.2042,-122.906215,PM-03,04I01,WB,Double,04I03,2 HOUR METER
49.204297,-122.905583,PM-05,04I02,EB,Double,04I04,2 HOUR HANDICAPPED METER
49.2042,-122.906215,PM-03,04I03,WB,Double,04I01,2 HOUR METER
49.204125,-122.906354,PM-03,04I05,WB,Double,04I07,2 HOUR METER
49.204231,-122.905717,PM-03,04I06,EB,Double,04I08,2 HOUR METER
49.204125,-122.906354,PM-03,04I07,WB,Double,04I05,2 HOUR METER
49.204231,-122.905717,PM-03,04I08,EB,Double,04I06,2 HOUR METER
49.204053,-122.906485,PM-03,04I09,WB,Single,,2 HOUR METER
49.204077,-122.90601,PM-03,04I10,EB,Double,04I12,2 HOUR METER
49.204077,-122.90601,PM-03,04I12,EB,Double,04I10,2 HOUR METER
49.204009,-122.906139,PM-03,04I14,EB,Double,04I16,2 HOUR METER
49.204009,-122.906139,PM-03,04I16,EB,Double,04I14,2 HOUR METER
49.203946,-122.906255,PM-03,04I18,EB,Double,04I20,2 HOUR METER
49.203946,-122.906255,PM-03,04I20,EB,Double,04I18,2 HOUR METER
49.207028,-122.908771,PM-04,04M01,WB,Double,04M03,10 HOUR METER
49.207028,-122.908771,PM-04,04M03,WB,Double,04M01,10 HOUR METER
49.206958,-122.908897,PM-04,04M05,WB,Double,04M07,10 HOUR METER
49.206958,-122.908897,PM-04,04M07,WB,Double,04M05,10 HOUR METER
49.206888,-122.909029,PM-04,04M09,WB,Double,04M11,10 HOUR METER
49.206888,-122.909029,PM-04,04M11,WB,Double,04M09,10 HOUR METER
49.206818,-122.909158,PM-04,04M13,WB,Double,04M15,10 HOUR METER
49.206818,-122.909158,PM-04,04M15,WB,Double,04M13,10 HOUR METER
49.206747,-122.90929,PM-04,04M17,WB,Double,04M19,10 HOUR METER
49.206747,-122.90929,PM-04,04M19,WB,Double,04M17,10 HOUR METER
49.206678,-122.909421,PM-04,04M21,WB,Double,04M23,10 HOUR METER
49.206678,-122.909421,PM-04,04M23,WB,Double,04M21,10 HOUR METER
49.206607,-122.909553,PM-04,04M25,WB,Double,04M27,10 HOUR METER
49.206607,-122.909553,PM-04,04M27,WB,Double,04M25,10 HOUR METER
49.206536,-122.909683,PM-04,04M29,WB,Double,04M31,10 HOUR METER
49.206536,-122.909683,PM-04,04M31,WB,Double,04M29,10 HOUR METER
49.206466,-122.909814,PM-04,04M33,WB,Double,04M35,10 HOUR METER
49.206466,-122.909814,PM-04,04M35,WB,Double,04M33,10 HOUR METER
49.210518,-122.916869,PM-03,04P01,NB,Single,,2 HOUR METER
49.210385,-122.916984,PM-03,04P02,SB,Double,04P04,2 HOUR METER
49.210596,-122.916968,PM-03,04P03,NB,Double,04P05,2 HOUR METER
49.210385,-122.916984,PM-03,04P04,SB,Double,04P02,2 HOUR METER
49.210596,-122.916968,PM-03,04P05,NB,Double,04P03,2 HOUR METER
49.210521,-122.917156,PM-03,04P06,SB,Single,,2 HOUR METER
49.210683,-122.917078,PM-03,04P07,NB,Double,04P09,2 HOUR METER
49.210605,-122.917262,PM-03,04P08,SB,Double,04P10,2 HOUR METER
49.210683,-122.917078,PM-03,04P09,NB,Double,04P07,2 HOUR METER
49.210605,-122.917262,PM-03,04P10,SB,Double,04P08,2 HOUR METER
49.210768,-122.917185,PM-03,04P11,NB,Double,04P13,2 HOUR METER
49.21069,-122.917368,PM-03,04P12,SB,Double,04P14,2 HOUR METER
49.210768,-122.917185,PM-03,04P13,NB,Double,04P11,2 HOUR METER
49.21069,-122.917368,PM-03,04P14,SB,Double,04P12,2 HOUR METER
49.210852,-122.91729,PM-03,04P15,NB,Double,04P17,2 HOUR METER
49.210777,-122.917478,PM-03,04P16,SB,Double,04P18,2 HOUR METER
49.210852,-122.91729,PM-03,04P17,NB,Double,04P15,2 HOUR METER
49.210777,-122.917478,PM-03,04P18,SB,Double,04P16,2 HOUR METER
49.210939,-122.9174,PM-03,04P19,NB,Double,04P21,2 HOUR METER
49.210864,-122.917587,PM-03,04P20,SB,Double,04P22,2 HOUR METER
49.210939,-122.9174,PM-03,04P21,NB,Double,04P19,2 HOUR METER
49.210864,-122.917587,PM-03,04P22,SB,Double,04P20,2 HOUR METER
49.211021,-122.917505,PM-03,04P23,NB,Single,,2 HOUR METER
49.211448,-122.91832,PM-03,04P24,SB,Double,04P26,2 HOUR METER
49.211116,-122.917622,PM-03,04P25,NB,Double,04P27,2 HOUR METER
49.211448,-122.91832,PM-03,04P26,SB,Double,04P24,2 HOUR METER
49.211116,-122.917622,PM-03,04P27,NB,Double,04P25,2 HOUR METER
49.211197,-122.917726,PM-03,04P29,NB,Single,,2 HOUR METER
49.211345,-122.917909,PM-03,04P31,NB,Double,04P33,2 HOUR METER
49.211345,-122.917909,PM-03,04P33,NB,Double,04P31,2 HOUR METER
49.21158,-122.918207,PM-02,04P35,NB,Single,,30 MINUTE METER
49.211623,-122.91826,PM-02,04P37,NB,Double,04P39,30 MINUTE METER
49.211623,-122.91826,PM-02,04P39,NB,Double,04P37,30 MINUTE METER
49.204297,-122.908701,PM-03,05F01,WB,Double,05F03,2 HOUR METER
49.204384,-122.908205,PM-03,05F02,EB,Double,05F04,2 HOUR METER
49.204297,-122.908701,PM-03,05F03,WB,Double,05F01,2 HOUR METER
49.204384,-122.908205,PM-03,05F04,EB,Double,05F02,2 HOUR METER
49.204314,-122.908332,PM-03,05F06,EB,Double,05F08,2 HOUR METER
49.204314,-122.908332,PM-03,05F08,EB,Double,05F06,2 HOUR METER
49.204239,-122.908475,PM-03,05F10,EB,Double,05F12,2 HOUR METER
49.204239,-122.908475,PM-03,05F12,EB,Double,05F10,2 HOUR METER
49.203837,-122.906889,PM-03,05I01,WB,Double,05I03,2 HOUR METER
49.203726,-122.906664,PM-03,05I02,EB,Double,05I04,2 HOUR METER
49.203837,-122.906889,PM-03,05I03,WB,Double,05I01,2 HOUR METER
49.203726,-122.906664,PM-03,05I04,EB,Double,05I02,2 HOUR METER
49.203705,-122.907135,PM-03,05I05,WB,Double,05I07,2 HOUR METER
49.203656,-122.906794,PM-03,05I06,EB,Double,05I08,2 HOUR METER
49.203705,-122.907135,PM-03,05I07,WB,Double,05I05,2 HOUR METER
49.203656,-122.906794,PM-03,05I08,EB,Double,05I06,2 HOUR METER
49.203599,-122.907342,PM-01,05I09,WB,Single,,15 MINUTE METER
49.203612,-122.906876,PM-03,05I10,EB,Single,,2 HOUR METER
49.203535,-122.907474,PM-01,05I11,WB,Double,05I13,15 MINUTE METER
