OBJECTID,STATIONID,PAYAREA,SOURCE
1,M7-04,DOWNTOWN,AERIAL
2,M7-02,DOWNTOWN,AERIAL
3,M6-02,DOWNTOWN,AERIAL
4,N0-02,DOWNTOWN,AERIAL
5,A6-03,DOWNTOWN,AERIAL
6,A6-02,DOWNTOWN,AERIAL
7,A6-01,DOWNTOWN,AERIAL
8,J0-04,DOWNTOWN,AERIAL
9,J0-03,DOWNTOWN,AERIAL
10,J0-02,DOWNTOWN,AERIAL
11,Q0-01,DOWNTOWN,AERIAL
12,F9-01,DOWNTOWN,AERIAL
13,F7-01,DOWNTOWN,AERIAL
14,F6-03,DOWNTOWN,AERIAL
15,F6-01,DOWNTOWN,AERIAL
16,J0-01,DOWNTOWN,AERIAL
17,C0-04,DOWNTOWN,AERIAL
18,C0-05,DOWNTOWN,AERIAL
19,C0-02,DOWNTOWN,AERIAL
20,C0-03,DOWNTOWN,AERIAL
21,I7-01,DOWNTOWN,AERIAL
22,I6-01,DOWNTOWN,AERIAL
23,P0-02,DOWNTOWN,AERIAL
24,P0-01,DOWNTOWN,AERIAL
25,I5-01,DOWNTOWN,AERIAL
26,I4-01,DOWNTOWN,AERIAL
27,I3-03,DOWNTOWN,AERIAL
28,I3-01,DOWNTOWN,AERIAL
29,I2-02,DOWNTOWN,AERIAL
30,I3-02,DOWNTOWN,AERIAL
31,I4-02,DOWNTOWN,AERIAL
32,I5-02,DOWNTOWN,AERIAL
33,I6-02,DOWNTOWN,AERIAL
34,I6-04,DOWNTOWN,AERIAL
35,I7-06,DOWNTOWN,AERIAL
36,I7-04,DOWNTOWN,AERIAL
37,C0-01,DOWNTOWN,AERIAL
38,I7-02,DOWNTOWN,AERIAL
39,A2-01,SAPPERTON,AERIAL
40,A2-02,SAPPERTON,AERIAL
41,A2-03,SAPPERTON,AERIAL
42,A2-04,SAPPERTON,AERIAL
43,A3-01,SAPPERTON,AERIAL
44,A4-01,SAPPERTON,AERIAL
45,A4-02,SAPPERTON,AERIAL
46,A4-03,SAPPERTON,AERIAL
47,A4-04,SAPPERTON,AERIAL
48,A4-05,SAPPERTON,AERIAL
49,A4-06,SAPPERTON,AERIAL
50,A4-07,SAPPERTON,AERIAL
51,B2-01,SAPPERTON,AERIAL
52,B2-03,SAPPERTON,AERIAL
53,B3-02,SAPPERTON,AERIAL
54,B2-02,SAPPERTON,AERIAL
55,C2-02,SAPPERTON,AERIAL
56,C2-04,SAPPERTON,AERIAL
57,C3-02,SAPPERTON,AERIAL
58,P3-01,UPTOWN,AERIAL
59,P3-03,UPTOWN,AERIAL
60,P4-02,UPTOWN,AERIAL
61,P4-01,UPTOWN,AERIAL
62,P4-03,UPTOWN,AERIAL
63,P5-02,UPTOWN,AERIAL
64,P5-01,UPTOWN,AERIAL
65,P5-03,UPTOWN,AERIAL
66,P5-04,UPTOWN,AERIAL
67,P6-02,UPTOWN,AERIAL
68,P6-01,UPTOWN,AERIAL
69,P6-04,UPTOWN,AERIAL
70,P7-02,UPTOWN,AERIAL
71,P7-01,UPTOWN,AERIAL
72,P7-03,UPTOWN,AERIAL
73,U7-02,UPTOWN,AERIAL
74,U6-02,UPTOWN,AERIAL
75,N5-04,UPTOWN,AERIAL
76,N5-03,UPTOWN,AERIAL
77,V6-03,UPTOWN,AERIAL
78,V6-01,UPTOWN,AERIAL
79,V6-02,UPTOWN,AERIAL
80,V6-04,UPTOWN,AERIAL
81,N5-02,UPTOWN,AERIAL
82,N5-01,UPTOWN,AERIAL
83,W6-01,UPTOWN,AERIAL
401,P7-04,UPTOWN,AERIAL
402,AC1,ANVIL CENTER,AERIAL
403,AC1-2,ANVIL CENTER,AERIAL
404,AC2,ANVIL CENTER,AERIAL
405,AC2-2,ANVIL CENTER,AERIAL
406,AC3,ANVIL CENTER,AERIAL
407,P3-02,UPTOWN,AERIAL
