StrName,StrNum,OBJECTID,Name,Category,Neighbourhood,Zoning,Zone_Category,Owner,Surveyed,Site_Area,Relationship,SHAPE_Length,SHAPE_Area
THIRD AVE,51,1,Queens Park,City Park,Glenbrooke South,RS-1,Single Detached,City of New Westminster,Y,307767.34375,P,2632.49806930192,302928.408212712
SIXTH ST,1,2,Westminster Pier Park,City Park,Downtown,CD-27,Commercial,City of New Westminster,Y,38438.628906,P,1318.16514366641,38191.3792177531
EIGHTH ST,600,3,Moody Park,Community Park,Kelvin,P-1,Institutional,City of New Westminster,Y,96270.679688,P,1275.16622762582,96412.1555852985
E COLUMBIA ST,351,4,Sapperton Park,Community Park,Sapperton,RS-2,Single Detached,City of New Westminster,Y,20164.419922,P,600.596267204084,20094.1323110318
SEVENTH AVE,1900,5,Grimston Park,Community Park,Westend,NR-1,Single Detached,City of New Westminster,Y,26506.910156,P,796.839498090078,25931.6758180696
E COLUMBIA ST,60,6,Sapperton Landing Park,Regional Park,Glenbrooke South,RS-1,Single Detached,City of New Westminster,Y,35183.590332,P,2451.31140356569,61822.3985768597
JAMIESON CRT,78,7,Glenbrook Ravine,Community Park,Glenbrooke South,P-1,Institutional,City of New Westminster,Y,54158.851563,P,1350.86705234551,54232.6402879698
SIXTH AVE,830,8,Mercer Park,Community Park,Kelvin,P-2,Institutional,City of New Westminster,Y,24571.929688,P,647.353076644394,24530.6155720399
MCBRIDE BLVD,,9,Terry Hughes,Community Park,Glenbrooke North,P-1,Institutional,City of New Westminster,N,20604.943915,P,673.254703348488,20604.9439146886
ROYAL AVE,511,10,City Hall / Friendship Gardens,Community Park,Uptown,C-2,Commercial,City of New Westminster,Y,34332.691406,P,784.127691460718,34339.7590939903
TENTH ST,10,11,Waterfront Esplanade,Community Park,North Arm North,RM-6,Apartment (High Rise),City of New Westminster,Y,5292.779785,P,772.576327412492,4205.95843017397
TENTH ST,10,12,Waterfront Esplanade,Community Park,Downtown,RM-6,Apartment (High Rise),City of New Westminster,Y,26399.979858,P,1776.02910031589,25832.2011228424
