Name,Description,Category,Hours,Location,PC,Phone,Email,Website,X,Y
Fraserside Community Services - Subsidy Programs,"Provides subsidies for the following programs for low income New Westminster residents: Parks, Culture and Recreation subsidies (for New Westminster Parks, Recreation and Culture programs), Kidsport BC grants (subsidized registration fees for sports programs for children) and Camping Bureau (subsidized registration fees for children's summer camps).","Parks, Recreation and Community School Programming","Hours vary by program, please visit website for more details",2/F - 519 Seventh Street,V3L 3B7,(604)522-3722 ext 120,info@fraserside.bc.ca,http://www.fraserside.bc.ca/mental-health-and-counselling/community-desk/,-122.920455471798,49.2122174509471
New Westminster Community Schools,"Community Schools are committed to bringing programs and services to district schools in seven core programming and service areas: physical activity, arts and exploration, literacy, leadership, social responsibility, resources for children, youth and families, community engagement and health and wellness.","Parks, Recreation and Community School Programming",,2/F - 1001 Columbia Street,V3M 1C4,(604)517-6240,"District Community School Coordinators: Robin Stewart (rstewart@sd40.bc.ca), Andrea Owen (aowen@sd40.bc.ca)",http://district.sd40.bc.ca/services/community-schools,-122.916364333488,49.2004722905234
"New Westminster Parks, Culture and Recreation - Canada Games Pool","Indoor swimming and fitness facilities, including aquatics and fitness programming. There are free swims during certain periods of the week/month, please contact New Westminster Parks, Culture and Recreation or view the Active Living Guide for details. ","Parks, Recreation and Community School Programming","Facility is open on Monday-Thursday, 6:00 am - 9:55 pm, Friday, 6:00 am - 10:25 pm, Saturday, 8:00 am - 8:25 pm, Sunday, 8:00 am - 9:55 pm , hours for particular programs and services vary",65 East Sixth Avenue,V3L 4G6,(604)526-4281,,http://www.newwestpcr.ca/recreation/recreation_centres/canada_games_pool.php,-122.907238844176,49.2215815604621
"New Westminster Parks, Culture and Recreation - Centennial Community Centre","Offers various fitness, sports, culture, arts and other programming.","Parks, Recreation and Community School Programming","Monday-Friday, 9:00 am - 8:30 pm, Friday, 9:00 am - 8:00 pm, Saturday, 8:00 am - 1:00 pm, Sunday, 8:30 am - 12:00 pm",65 East Sixth Avenue,V3L 4G6,(604)777-5100,,http://www.newwestpcr.ca/recreation/recreation_centres/centennial_community_centre.php,-122.907238844176,49.2215815604621
"New Westminster Parks, Culture and Recreation - Century House",Offers various programs for persons 50+ years old.,"Parks, Recreation and Community School Programming","Monday-Friday, 9:00 am - 9:00 pm, Saturday, 9:00 am - 4:00 pm, Sunday, 12:00 pm - 4:00 pm (reduced hours during July & August)",620 Eighth Street,V3M 3S2,(604)519-1066,,http://www.newwestpcr.ca/recreation/recreation_centres/century_house.php,-122.926028614476,49.2117562492566
"New Westminster Parks, Culture and Recreation - Hume Park Outdoor Pool","Outdoor swimming facilities, including aquatics programming. There are free swims during certain periods of the week, please contact New Westminster Parks, Culture and Recreation or view the Active Living Guide for details.","Parks, Recreation and Community School Programming",Variable (weather-dependent) but usually open from late June to Labour Day from 1:15 pm - 8:00 pm,660 East Columbia Street,,(604)526-4281,,http://www.newwestpcr.ca/recreation/recreation_centres/canada_games_pool/outdoor_pools.php,-122.891745587675,49.2331878204155
"New Westminster Parks, Culture and Recreation - Moody Park Arena",Indoor ice skating rink that offers various ice sports related programs.,"Parks, Recreation and Community School Programming",Hours vary depending on season,701 Eighth Avenue,V3M 2R2,(604)525-5301,,http://www.newwestpcr.ca/recreation/recreation_centres/moody_park_arena.php,-122.926178371895,49.2155633242259
"New Westminster Parks, Culture and Recreation - Moody Park Outdoor Pool","Outdoor swimming facilities, including aquatics programming. There are free swims during certain periods of the week, please contact New Westminster Parks, Culture and Recreation or view the Active Living Guide for details .","Parks, Recreation and Community School Programming",Variable (weather-dependent) but usually open from late June to Labour Day from 1:15 pm - 8:00 pm,701 Tenth Street ,,(604)526-4281,,http://www.newwestpcr.ca/recreation/recreation_centres/canada_games_pool/outdoor_pools.php,-122.928163477578,49.2113182381197
"New Westminster Parks, Culture and Recreation - Museum and Archives (located at Anvil Centre)",Offers various cultural programs and exhibits at museum and archives.,"Parks, Recreation and Community School Programming","Monday-Wednesday, Friday-Sunday, 10:00 am - 5:00 pm, Thursday, 10:00 am - 8:00 pm",777 Columbia Street,V3M 1B6,(604)515-8330,anvilcentre@newwestcity.ca,http://www.newwestpcr.ca/culture/museum_and_archives.php,-122.91119907006,49.2017960462142
"New Westminster Parks, Culture and Recreation - Queens Park Arena",Indoor ice skating rink that offers various ice sports related programs (and other sports during summer months). Location is within Queens Park itself near 3rd Avenue entrance.,"Parks, Recreation and Community School Programming",Hours vary depending on season,600 First Street ,,(604)777-5111,,http://www.newwestpcr.ca/recreation/recreation_centres/queens_park_arena.php,-122.905772546723,49.2148269863151
"New Westminster Parks, Culture and Recreation - Queens Park Arenex",Indoor facility that includes a gymnasium and has various sports programs. Location is within Queens Park itself near 3rd Avenue entrance.,"Parks, Recreation and Community School Programming","Program hours vary, refer to Active Living Guide for more details",600 First Street ,,(604)777-5121,,http://www.newwestpcr.ca/recreation/recreation_centres/queens_park_arenex.php,-122.903452149245,49.2144728535827
"New Westminster Parks, Culture and Recreation - Queensborough Community Centre","Facility includes a fitness centre, gymnasium, a library, meeting rooms and more. Various programs offered.","Parks, Recreation and Community School Programming","Monday-Friday, 7:00 am - 9:30 pm, Saturday, 8:30 am - 5:30 pm, Sunday, 8:30 am - 8:30 pm",920 Ewen Avenue,V3M 5C8,(604)527-7388,,http://www.newwestpcr.ca/recreation/recreation_centres/queensborough_community_centre.php,-122.943616871855,49.1858839255447
"New Westminster Parks, Culture and Recreation - Youth Centre","Indoor facility with a gymnasium, fitness centre and various activities for youth (13-18 years old).","Parks, Recreation and Community School Programming","Monday-Thursday, 3:15 pm - 9:00 pm, Friday-Saturday, 3:15pm-11:00pm",620 Eighth Street,V3M 3S2,(604)515-3801,,http://www.newwestpcr.ca/recreation/youth_centre.php,-122.926028614476,49.2117562492566
