PARK,StructureName,X,Y
Queen's Park,,-122.908500975068,49.2165676841393
Grimston Park,"Basketball Hoop,Playground Swing,Playground ClimbNet,Playground Slide,Playground Slide,Playground PlayMod,Playground PlayMod,Playground Swing,Playground TeeterTot,Playground Slide,Playground PlayMod,Playground PlayMod,Playground PlayMod,Playground PlayMod",-122.944679800049,49.2015366296475
Hume Park,,-122.89113965922,49.2340395827248
Toronto Place Park,Playground Swing,-122.914570600619,49.20426485986
Simcoe Park,"Playground ClimbNet,Playground PlayMod,Playground Slide,Playground Slide,Playground Swing,Playground Swing,Playground SpringToy,Playground PlayMod,Basketball Hoop,Basketball Hoop",-122.917428500387,49.2041689803695
Simcoe Park,"Playground ClimbNet,Playground PlayMod,Playground Slide,Playground Slide,Playground Swing,Playground Swing,Playground SpringToy,Playground PlayMod,Basketball Hoop,Basketball Hoop",-122.917428500387,49.2041689803695
Port Royal Park,,-122.92319276036,49.1943596683974
Port Royal Park,,-122.923275799627,49.1942040704854
Ryall Park,,-122.941914084844,49.1856200745533
Ryall Park,,-122.942326805145,49.1854032232581
Ryall Park,,-122.942922308372,49.1853673434904
Ryall Park,,-122.942038543514,49.1850414973861
West Queensborough Park,,-122.956056064274,49.1771963226829
Riverside Park,,-122.93340278466,49.2049205010168
Riverside Park,,-122.9333822843,49.2047691208419
Riverside Park,,-122.933703723781,49.2047828715928
Quayside Park,,-122.922237100058,49.198228111568
Quayside Park,,-122.922250386769,49.1985559670694
Sapperton Park,"Water Play Element,Playground PlayMod,Playground Slide,Playground ClimbNet,Playground Slide,Playground PlayMod,Playground Swing,Playground ClimbNet,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element",-122.894763000363,49.2275783400163
Sapperton Park,"Water Play Element,Playground PlayMod,Playground Slide,Playground ClimbNet,Playground Slide,Playground PlayMod,Playground Swing,Playground ClimbNet,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element",-122.894763000363,49.2275783400163
Sapperton Park,"Water Play Element,Playground PlayMod,Playground Slide,Playground ClimbNet,Playground Slide,Playground PlayMod,Playground Swing,Playground ClimbNet,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element",-122.894763000363,49.2275783400163
Terry Hughes Park,,-122.913091634349,49.2211895312945
Terry Hughes Park,,-122.912920965591,49.2211299026406
Terry Hughes Park,,-122.912937184956,49.2209980630715
Moody Park,"Basketball Hoop,Basketball Hoop,Playground Slide,Playground Slide,Playground Slide,Playground ClimbNet,Playground TeeterTot,Playground Swing,Playground Swing,Playground Swing,Playground Swing,Playground ClimbNet,Playground PlayMod,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Water Play Element,Basketball Hoop,Water Play Element,Water Play Element,Water Play Element",-122.92716400049,49.2123904202444
Westminster Pier Park,,-122.905021017309,49.2034227033644
Westminster Pier Park,,-122.906523410106,49.2025890212207
Connaught Heights Park,"Playground Swing,Playground Swing,Playground Slide,Playground PlayMod,Playground PlayMod,Playground ClimbNet,Playground Slide,Playground SpringToy,Playground PlayMod",-122.954789999787,49.2032956904356
Quayside Park,,-122.922227060721,49.198417066526
Old Schoolhouse Park,,-122.93375206817,49.1908310540425
Old Schoolhouse Park,,-122.933698504026,49.1906967897646
Red Boat Park,,-122.927334224208,49.1931164549664
Sinclair Park,"Playground Slide,Playground PlayMod,Playground SpringToy,Playground SpringToy,Playground TeeterTot,Playground Swing",-122.918067999364,49.2214410801575
Sinclair Park,"Playground Slide,Playground PlayMod,Playground SpringToy,Playground SpringToy,Playground TeeterTot,Playground Swing",-122.918067999364,49.2214410801575
Sullivan Park,"Playground Swing,Playground PlayMod",-122.90988600045,49.2120546097347
Sullivan Park,"Playground Swing,Playground PlayMod",-122.90988600045,49.2120546097347
Sullivan Park,"Playground Swing,Playground PlayMod",-122.90988600045,49.2120546097347
Suhk Sagar Park,,-122.940096207935,49.1893008626584
Suhk Sagar Park,,-122.939977494174,49.1892800946954
Victory Heights Park,"Playground Swing,Playground PlayMod,Playground PlayMod,Playground SpringToy,Playground Swing,Basketball Hoop,Playground Slide",-122.904566399514,49.2303407401788
Victory Heights Park,"Playground Swing,Playground PlayMod,Playground PlayMod,Playground SpringToy,Playground Swing,Basketball Hoop,Playground Slide",-122.904566399514,49.2303407401788
