Item,Project_Address,Project_Type,Estimated_Construction_Costs,Project_Description,Status,Last_Month_Status,File,Project_Planner
1,527 McDonald Street ,Residential,n/a,Rezoning: rezone from RS-1 to RS-5 (small lot); retain existing house and construct new house.,Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,PF006980,David Guiney
2,716 Columbia Street,Mixed Use,"$600,000.00","SDP: Interior renovations of existing commercial space, creation of 7 residential units and façade renovations.",Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,SDP00173,Barry Waitt
3,250 Columbia Street,Commercial,"$2,000,000.00","SDP & DVP: Addition to existing building to include 5 residential units, expansion of Liquor Retail Store, rooftop terrace and commercial space along Front Street.  Height proposed at 56 ft;  Eric Pattison Architects",Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,SDP00178    DVP00515,Barry Waitt
4,188 Agnes St,Residential,"$3,500,000.00",Rezoning: Single Detached Dwelling District (RS-2) to Multiple Dwelling District (highrise) (RM-4).     18 storeys- 114 apartment and 7 townhouse units; Gomberoff Bell Lyon Architects.,Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,PF006915,Mike Watson
5,527 Carnarvon Street,Mixed Use,n/a,"Rezoning and SDP Central Business Districts (C-4) to a comprehensive Development District to allow for a mixed use commercial and multi-unit rental residential development.  Proposed 26 storeys - 5,000 sq. ft. commercial, 282 residential units.  ",Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,REZ00097/ SDP00196,Barry Waitt
6,210 Salter Street- Port Royal lot 5 ,Residential,"$35,000,000.00",DP: 21 storeys with 163 units; Ramsey Worden Architects. ,Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,DPQ00032,Jim Hurst
7,809 Fourth Avenue,Residential,n/a,HRA: Restoration of 3 houses and construction of 6 storey 64 unit multi-family residential,Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,HER00486,Julie Schueck
8,410 Columbia Street,Commercial,"$170,000.00",SDP: Minor changes to the rear exterior of the building; Chercover Massie & Associates,Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,SDP00168,Barry Waitt
9,200 Nelson's Crescent,Residential,n/a,"Brewery District Building 4; Proposed 177,700 square foot Multiple-Unit Development with 114 units.  Wesgroup.",Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,DPS00035,Rupinder Basi
10,188 Wood Street,Residential,n/a,"Rezoning, DP & HRA: From  Queensborough Neighbourbhood Residential District (RQ-1) to Queensborough Townhouse Districts (RT-3), 63 unit townhouse units + retention of hertiage house; DF Architecture.  ",Building Permit Issued / Under Construction,Building Permit Issued / Under Construction,REZ00063/ DPQ00057,Jim Hurst / Julie Schueck
