Cat,SubCat,Comments,Sign_Text,Arrow_Direction,Sign_ID,Street,Street_Address,X_Street,Corner,Distance_Along_Street,Distance_From_Curb,Sign_Code,Grade,Traffic_Direction,Structure,Situation,Condition,Speed,Date_,Confidence,TYPE_,Sign_Definition,X,Y
Regulatory Tabs,3 and 4 Way Tab,,,,36088,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.911493299555,49.2202464803136
Regulatory Tabs,3 and 4 Way Tab,,,,36222,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.94668849981,49.1827854699611
Regulatory Tabs,3 and 4 Way Tab,,,,36224,,,,,,,T-4Way,Engineering,WB,Wooden Post,Side,Dirty,0,20020516,High,Tabs,4 Way,-122.946848199377,49.1828799603591
Regulatory Tabs,3 and 4 Way Tab,,,,36226,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.946982500091,49.1827800497829
Regulatory Tabs,3 and 4 Way Tab,,,,36228,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.946814000294,49.1826717099031
Regulatory Tabs,3 and 4 Way Tab,,,,36235,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.946955899807,49.1862795700987
Regulatory Tabs,3 and 4 Way Tab,,,,36237,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.946868300397,49.1860823603942
Regulatory Tabs,3 and 4 Way Tab,,,,36239,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.946495199324,49.1862840396551
Regulatory Tabs,3 and 4 Way Tab,,,,36241,,,,,,,T-4Way,Engineering,WB,Wooden Post,Side,Good,0,20020516,High,Tabs,4 Way,-122.946563700412,49.1864251099728
Regulatory Tabs,3 and 4 Way Tab,,,,36246,,,,,,,T-3Way,Engineering,EB,Metal Post,Side,Good,0,20020516,High,Tabs,3 Way,-122.944287300475,49.1837253200827
Regulatory Tabs,3 and 4 Way Tab,,,,36248,,,,,,,T-3Way,Engineering,SB,Metal Post,Side,Good,0,20020516,High,Tabs,3 Way,-122.944445500379,49.1838427601492
Regulatory Tabs,3 and 4 Way Tab,,,,36263,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020517,High,Tabs,4 Way,-122.936825800153,49.190511539893
Regulatory Tabs,3 and 4 Way Tab,,,,36265,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020517,High,Tabs,4 Way,-122.937098300392,49.1903846099534
Regulatory Tabs,3 and 4 Way Tab,,,,36267,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020517,High,Tabs,4 Way,-122.936999199709,49.190158779721
Regulatory Tabs,3 and 4 Way Tab,,,,36422,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.952376799449,49.1986414997313
Regulatory Tabs,3 and 4 Way Tab,,,,36423,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.952240999869,49.1984927197675
Regulatory Tabs,3 and 4 Way Tab,,,,36424,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.952441799558,49.198371830147
Regulatory Tabs,3 and 4 Way Tab,,,,36425,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.952599200539,49.1985009001344
Regulatory Tabs,3 and 4 Way Tab,,,,36427,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.953128700552,49.1982375996266
Regulatory Tabs,3 and 4 Way Tab,,,,36428,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.952907599379,49.1982089603862
Regulatory Tabs,3 and 4 Way Tab,,,,36430,,,,,,,T-4Way,Engineering,EB,Wooden Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.953117100521,49.1980020896947
Regulatory Tabs,3 and 4 Way Tab,,,,36432,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020523,High,Tabs,4 Way,-122.953444899405,49.1980305602015
Regulatory Tabs,3 and 4 Way Tab,,,,36447,,,,,,,T-3Way,Engineering,NB,Metal Post,Side,Good,0,20020516,High,Tabs,3 Way,-122.957197500617,49.1817412003996
Regulatory Tabs,3 and 4 Way Tab,,,,36479,,,,,,,T-3Way,Engineering,EB,Metal Post,Median,Good,0,20020516,High,Tabs,3 Way,-122.948560999512,49.1899109000261
Regulatory Tabs,3 and 4 Way Tab,,,,36481,,,,,,,T-3Way,Engineering,NB,Wooden Post,Median,Good,0,20020516,High,Tabs,3 Way,-122.948340099379,49.1900661002248
Regulatory Tabs,3 and 4 Way Tab,,,,36484,,,,,,,T-3Way,Engineering,WB,Metal Post,Median,Good,0,20020516,High,Tabs,3 Way,-122.948482999988,49.1902223102025
Regulatory Tabs,3 and 4 Way Tab,,,,36545,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.905169199509,49.2214470000007
Regulatory Tabs,3 and 4 Way Tab,,,,36644,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.934445500213,49.2067599903759
Regulatory Tabs,3 and 4 Way Tab,,,,36645,,,,,,,T-4Way,Engineering,SB,Wooden Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.934637600001,49.2066307298273
Regulatory Tabs,3 and 4 Way Tab,,,,36647,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.934467399877,49.2065028201584
Regulatory Tabs,3 and 4 Way Tab,,,,36648,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.934290400517,49.2066206497031
Regulatory Tabs,3 and 4 Way Tab,,,,36663,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.925105300539,49.2083745600607
Regulatory Tabs,3 and 4 Way Tab,,,,36665,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.924935099856,49.2082357295904
Regulatory Tabs,3 and 4 Way Tab,,,,36669,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.925141500182,49.2080965597559
Regulatory Tabs,3 and 4 Way Tab,,,,36675,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.923150099941,49.206822280432
Regulatory Tabs,3 and 4 Way Tab,,,,36677,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Graffitii,0,20020527,High,Tabs,4 Way,-122.923196300081,49.2065512199867
Regulatory Tabs,3 and 4 Way Tab,,,,36678,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020527,High,Tabs,4 Way,-122.923388900147,49.2066719900781
Regulatory Tabs,3 and 4 Way Tab,,,,36766,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.90491639975,49.2213195603704
Regulatory Tabs,3 and 4 Way Tab,,,,36767,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.904674600401,49.2215067496828
Regulatory Tabs,3 and 4 Way Tab,,,,36769,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.904914899804,49.2216031800455
Regulatory Tabs,3 and 4 Way Tab,,,,36772,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.920908500063,49.2151632701782
Regulatory Tabs,3 and 4 Way Tab,,,,36773,,,,,,,T-4Way,Engineering,WB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.920661600495,49.2153103104271
Regulatory Tabs,3 and 4 Way Tab,,,,36775,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.920525999899,49.2151762397014
Regulatory Tabs,3 and 4 Way Tab,,,,36776,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.920741100375,49.2150422300768
Regulatory Tabs,3 and 4 Way Tab,,,,36799,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.911508099458,49.2200109603152
Regulatory Tabs,3 and 4 Way Tab,,,,36800,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020606,High,Tabs,4 Way,-122.911682899803,49.2201425303287
Regulatory Tabs,3 and 4 Way Tab,,,,36861,,,,,,,T-4Way,Engineering,NB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.91987509974,49.2109611801047
Regulatory Tabs,3 and 4 Way Tab,,,,36862,,,,,,,T-4Way,Engineering,EB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.920080899888,49.2108098699229
Regulatory Tabs,3 and 4 Way Tab,,,,36863,,,,,,,T-4Way,Engineering,SB,Metal Post,Side,Good,0,20020607,High,Tabs,4 Way,-122.920267399809,49.2109429698484
