BLDG_ID,MAPREF,STRNUM,STRNAM,BLDGNAM,NUM_RES,Ngbrhood,NgbrNam
3768,6963000,1221,CAMERON ST,PINE CREST,10,5,BROW OF THE HILL
3735,6909000,1210,CAMERON ST,CHAND APARTMENTS,41,5,BROW OF THE HILL
3769,6965000,1211,CAMERON ST,CAMERON MANOR,41,5,BROW OF THE HILL
3754,6935000,1321,CARIBOO ST,8 SUITES,8,5,BROW OF THE HILL
3687,6829000,410,EIGHTH ST,DUNCAN MANOR,11,5,BROW OF THE HILL
3030,5761000,230,EIGHTH ST,ROSEMOUNT MANOR,18,5,BROW OF THE HILL
3031,5763000,236,EIGHTH ST,DORIC MANOR,40,5,BROW OF THE HILL
3406,6412000,340,EIGHTH ST,CAMEO COURT,41,5,BROW OF THE HILL
4655,8674000,508,EIGHTH ST,LIBBY MANOR APARTMENT,42,5,BROW OF THE HILL
3285,6209000,310,EIGHTH ST,KENNEDY PLACE,51,5,BROW OF THE HILL
4653,8666000,520,EIGHTH ST,CEDAR GROVE APARTMENT,56,5,BROW OF THE HILL
3722,6889001,433,ELEVENTH ST,,3,5,BROW OF THE HILL
3780,6984000,430,ELEVENTH ST,PARK ASTORIA (FORMERLY CLINTON MANOR),35,5,BROW OF THE HILL
4696,8777000,516,ELEVENTH ST,DEL VUE COURT,35,5,BROW OF THE HILL
4699,8781000,520,ELEVENTH ST,WEST COAST APARTMENT,51,5,BROW OF THE HILL
3727,6894000,420,ELEVENTH ST,MON TRU MANOR,59,5,BROW OF THE HILL
4683,8763000,525,ELEVENTH ST,CHELSEA PLACE,73,5,BROW OF THE HILL
3755,6936000,1320,FIFTH AVE,WESTVIEW APARTMENTS,13,5,BROW OF THE HILL
3756,6937000,1314,FIFTH AVE,THE SOUTHVIEW,16,5,BROW OF THE HILL
3766,6959001,1222,FIFTH AVE,SUNSET APARTMENTS,21,5,BROW OF THE HILL
3765,6958000,1218,FIFTH AVE,MARINE VIEW MANOR,22,5,BROW OF THE HILL
3804,7017000,820,FIFTH AVE,OAK RIVER MANOR,26,5,BROW OF THE HILL
3720,6887000,1030,FIFTH AVE,THE CALYPSO,41,5,BROW OF THE HILL
