OBJECTID,RefAuto,CbNo,MainNo,Sew_Type,cbType,OutletDia,Inst_Yr,SymRot,Remarks,X,Y
2417643,4123,6189,47244723,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.908239925316,49.2071560039689
2417644,4124,6190,47244723,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.908505608292,49.2072549560651
2417645,4125,6191,47244723,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.908613836277,49.2071792015234
2417646,4126,6192,47254724,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.909069057071,49.2075694590807
2417647,4127,6193,47254724,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.909203449542,49.2075942730723
2417648,4128,6194,47254724,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.909366960356,49.2077233984862
2417649,4129,6195,47264725,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.910041834237,49.2085197260649
2417650,4130,6196,47274726,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.910143987603,49.2085673555884
2417651,4131,6197,47274726,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.910277602594,49.2086252883833
2417652,4132,6198,47264725,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.910181723625,49.2084471160909
2417653,4133,6199,47274726,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.910281166339,49.2085063841927
2417654,4134,6200,47274726,STM,,150,2014,,"2014 Sewer Separation Program; PP1; CB material: concrete, CB diameter: 600mm",-122.910349269164,49.2085854634051
2417655,4135,6201,47284727,STM,,150,2014,,"2014 Sewer Separation Program; PP2; CB material: concrete, CB diameter: 600mm",-122.910787879775,49.208936450243
2417656,4136,6202,47284727,STM,,150,2014,,"2014 Sewer Separation Program; PP2; CB material: concrete, CB diameter: 600mm",-122.911312416255,49.2093556964936
2417657,4137,6203,47284727,STM,,150,2014,,"2014 Sewer Separation Program; PP2; CB material: concrete, CB diameter: 600mm",-122.911226882617,49.2093785642808
2417658,4138,6204,47294728,STM,,150,2014,,"2014 Sewer Separation Program; PP2; CB material: concrete, CB diameter: 600mm",-122.911743747117,49.2097052357156
2417659,4139,6205,47304729,STM,,150,2014,,"2014 Sewer Separation Program; PP2; CB material: concrete, CB diameter: 600mm",-122.912297912715,49.2101366149218
2417660,4140,6206,47304729,STM,,150,2014,,"2014 Sewer Separation Program; PP2; CB material: concrete, CB diameter: 600mm",-122.912195113366,49.2101522785789
2417661,4141,6207,47314730,STM,,150,2014,,"2014 Sewer Separation Program; PP3; CB material: concrete, CB diameter: 600mm",-122.91312777615,49.2107953409306
2417662,4142,6208,47314730,STM,,150,2014,,"2014 Sewer Separation Program; PP3; CB material: concrete, CB diameter: 600mm",-122.913055472375,49.2108346921868
2417663,4143,6209,47334732,STM,,150,2014,,"2014 Sewer Separation Program; PP3; CB material: concrete, CB diameter: 600mm",-122.914197368175,49.2116468588938
2417664,4144,6210,47334732,STM,,150,2014,,"2014 Sewer Separation Program; PP3; CB material: concrete, CB diameter: 600mm",-122.914125590983,49.2116855698413
2417665,4145,6211,47344733,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.915077357916,49.2123570555726
2417666,4146,6212,47344733,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.915013746624,49.2123897147459
2417667,4147,6213,47364735,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.916133408263,49.2131893152896
2417668,4148,6214,47364735,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.916063538479,49.2132242256099
2417669,4149,6215,47364735,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.916314494426,49.2135319618448
2417670,4150,6216,47364735,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.916360642633,49.2135649800743
2417671,4151,6217,47364735,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.916830885753,49.2137452981414
2417672,4152,6218,47364735,STM,,150,2014,,"2014 Sewer Separation Program; PP4; CB material: concrete, CB diameter: 600mm",-122.916760156699,49.2137806859106
2417673,4153,6219,47394738,STM,,150,2014,,"2014 Sewer Separation Program; PP5; CB material: concrete, CB diameter: 600mm",-122.911361359758,49.2085345269765
2417674,4154,6220,47404727,STM,,150,2014,,"2014 Sewer Separation Program; PP5; CB material: concrete, CB diameter: 600mm",-122.910607399066,49.2089981884135
2417675,4155,6221,47404727,STM,,150,2014,,"2014 Sewer Separation Program; PP5; CB material: concrete, CB diameter: 600mm",-122.910556717765,49.2089587839878
2417676,4156,6222,47414729,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.912009163131,49.2101055036997
2417677,4157,6223,47414729,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.912065705026,49.2101520074254
2417678,4158,6224,47424741,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.911558013566,49.2105149098367
2417679,4159,6225,47424741,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.911316879613,49.2104672613149
2417680,4160,6226,47424741,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.911441946837,49.2105877529073
2417681,4161,6227,47424741,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.911477556876,49.2106169033486
2417682,4162,6228,47434742,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.912439242714,49.2112151231551
2417683,4163,6229,47434742,STM,,150,2014,,"2014 Sewer Separation Program; PP7; CB material: concrete, CB diameter: 600mm",-122.912331758747,49.2112939428893
2417684,4164,6230,47444732,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.914010045619,49.2116919406985
2417685,4165,6231,47444732,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.913935208603,49.2116368275123
2417686,4166,6232,47454744,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.913438585861,49.2120000153015
2417687,4167,6233,47454744,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.913184981576,49.211972576454
2417688,4168,6234,47454744,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.912978998228,49.212147022654
2417689,4172,6238,47474746,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.914365419625,49.2126417650556
2417690,4171,6237,47474746,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.91444553975,49.2125964153279
2417691,4170,6236,47464744,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.9135789535,49.2120165808802
2417692,4169,6235,47464744,STM,,150,2014,,"2014 Sewer Separation Program; PP8; CB material: concrete, CB diameter: 600mm",-122.913656286397,49.2119678977558
2417693,4173,6239,47484735,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.915923542862,49.2132246320292
2417694,4174,6240,47484735,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.915862763538,49.2131821156406
2417695,4175,6241,47484735,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.915437238214,49.2133724320616
2417696,4176,6242,47494748,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.915419908408,49.2134917211222
2417697,4177,6243,47494748,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.915336302806,49.2134245451626
2417698,4178,6244,47494748,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.915303302711,49.2134902872879
2417699,4179,6245,47504736,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.916805012333,49.2139198653588
2417700,4180,6246,47504736,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.916749936471,49.213876585353
2417701,4181,6247,47504736,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.916187857585,49.2142529750851
2417702,4182,6248,47504736,STM,,150,2014,,"2014 Sewer Separation Program; PP9; CB material: concrete, CB diameter: 600mm",-122.916133295011,49.2142083179824
2417703,4121,6187,,STM,,,2013,,55 and 85 Eighth Ave - Wanson Development; 103075-08; AB08D.dwg,-122.91519788464,49.2207745895726
2417704,4122,6188,,STM,,,2013,,55 and 85 Eighth Ave - Wanson Development; 103075-08; AB08D.dwg,-122.914177333279,49.2213306152895
2417705,4088,6154,,STM,,150,2012,,Area Drain; Rim Elev: 6.6m; 09216-00-CI-DLP-1041-1043.dwg; page: 1043,-122.904354535199,49.2041269575713
2417706,4089,6155,,STM,,200,2012,,Lawn Drain; Rim Elev: 7.49m; 09216-00-CI-DLP-1041-1043.dwg; page: 1043,-122.90425996151,49.2040049677344
2417707,4092,6158,,STM,,300,2012,,Lawn Drain; 09216-00-CI-DLP-1041-1043.dwg; page: 1043,-122.903916170756,49.2043263649305
2417708,4093,6159,,STM,,300,2012,,Lawn Drain; 09216-00-CI-DLP-1041-1043.dwg; page: 1043,-122.903587471171,49.2044309717098
