OBJECTID,RefAuto,Mhno,LocDescrip,Material,Diameter,Rim_EL,Inv_EL,Remarks,BckRmp,Sew_Type,Depth,Sump,Inst_Yr,SymRot,MatOut,DiaOut,MatOf,MatInl1,MatInl2,MatInl3,InvelOf,InvelIn1,InvelIn2,InvelIn3,DiaOf,DiaInl1,DiaInl2,DiaInl3,Dt_Dwg,ContrNam,Contract,FacOwner,X,Y
2420430,1602,4587,NE of intersection of Royal Ave & Granville St,,,,,This is a diversion chamber; 1745-05-2009,,CMB,,,,0,,,,,,,,,,,,,,,,,,,-122.901596188972,49.2107939139657
2420431,95,1095,ON BRAID ST AT INTERSECTION WITH KELLY ST,CONC,1050,38.11999893,34.61999893,MINOR CLEANING,NONE,CMB,3.5,,,0,VIT,200,,VIT,,,,34.61999893,,,,200,,,99024-6,PARAGON,,,-122.891358518678,49.2315541931036
2420432,216,1218,ON BRAID ST AT INTERSECTION WITH FADER,CONC,1050,35.70000076,33.75999832,GOOD CONDITION,NONE,CMB,1.94000006,,,0,VIT,300,,CIPP,,,,33.75999832,,,,200,,,99024-6,PARAGON,,,-122.890194712263,49.2315443673432
2420433,117,1118,OPPOSITE 121 BRAID,,,31.72999954,30.29000092,MINOR CLEANING.,,CMB,,,,0,VIT,200,,VIT,,,,30.29000092,,,,200,,,,,,,-122.889496327577,49.2315098792378
2420434,120,1121,LANE BEHIND 511 GARRETT,,,31.03000069,29.32999992,BROKEN RIM.,,CMB,,,,0,VIT,200,,VIT,VIT,VIT,,29.37999916,29.38999939,32.61999893,,200,200,200,,,,,-122.889477714761,49.2321568002349
2420435,119,1120,LANE BEHIND 514 FADER,,,31.18000031,29.76000023,MINOR CLEANING.,,CMB,,,,0,VIT,200,,VIT,VIT,,,29.81999969,29.78000069,,,200,200,,,,,,-122.889474143023,49.2322801217676
2420436,110,1110,505 FADER,,,35.04000092,33.63999939,MAJOR CLEANING.,,CMB,,,,0,VIT,200,,VIT,,,,33.68999863,,,,200,,,,,,,-122.890192233997,49.2319188374952
2420437,109,1109,513 FADER,,,34.13000107,32.63000107,GOOD CONDITION.,,CMB,,,,0,VIT,200,,VIT,VIT,VIT,,32.65000153,32.65000153,32.66999817,,200,200,200,,,,,-122.890181523918,49.2322888921226
2420438,99,1099,512 KELLY,,,35.36000061,33.63000107,GOOD CONDITION.,,CMB,,,,0,VIT,200,,VIT,,,,33.63999939,,,,200,,,,,,,-122.891348679695,49.2322200126782
2420439,96,1096,508 KELLY,,,37.04000092,35.09999847,MINOR CLEANING.,,CMB,,,,0,VIT,200,,VIT,VIT,,,35.27000046,35.15000153,,,100,200,,,,,,-122.891356560965,49.2319458447057
2420440,142,1143,WILSON & BRAID,,,18.46999931,17.13999939,MAJOR CLEANING.,,STM,,,,0,PVC,300,,PVC,VIT,,,17.27000046,17.27000046,,,300,100,,,,,,-122.887633679953,49.2316077499124
2420441,125,1126,GARRETT & BRAID,,,26.92000008,25.52000046,GOOD CONDITION.,,STM,,,,0,PVC,300,,PVC,PVC,,,25.59000015,25.54000092,,,200,200,,,,,,-122.888876867435,49.2316231649661
2420442,140,1141,507 WILSON,,,18.62999916,17.43000031,GOOD CONDITION.,,STM,,,,0,PVC,250,,PVC,PVC,,,17.46999931,17.46999931,,,100,100,,,,,,-122.887577621798,49.2320991961558
2420443,143,1144,WILSON & BRAID,,,18.20999908,16.90999985,MINOR CLEANING.,,STM,,,,0,PVC,300,,PVC,PVC,,,16.92000008,16.96999931,,,300,250,,,,,,-122.887591787051,49.2316072593931
2420444,133,1134,OPPOSITE 115 BRAID,,,22.70000076,21,MINOR CLEANING.,,CMB,,,,0,VIT,200,,VIT,,,,21.01000023,,,,200,,,,,,,-122.888203146072,49.2314938827626
2420445,118,1119,GARRETT & BRAID,,,27.42000008,25.82999992,GOOD CONDITION.,,CMB,,,,0,VIT,200,,VIT,,,,25.87999916,,,,200,,,,,,,-122.888914636208,49.231502664856
2420446,144,1145,WILSON & BRAID,,,18.12000084,16.45000076,GOOD CONDITION.,,CMB,,,,0,RC,380,,RC,,,,16.45999908,,,,380,,,,,,,-122.887583245804,49.231618315247
2420447,1254,4176,,,,,,,,CMB,,,,0,,,,,,,,,,,,,,,,,,,-122.911104762509,49.2101716830886
2420448,1262,4184,3RD ST & TOWNSEND PL,,,84.01999664,81.75,NEEDS LADDER.  GOOD CONDITION.,,,,,,0,VIT,150,,VIT,VIT,,,81.76000214,81.80999756,,,150,150,,,,,,-122.909825489293,49.2101333610228
