OBJECTID,Catchment,Comments,DATALOAD,Diameter,Estim_Year,Install_Year,Invert_DN,Invert_UP,Manhole_Down,Manhole_Up,Material,Pipe_Bursted,RefAuto,Relined,Sewer_ID,Sewer_Type,Slope,Total_Length,Original_Material,Original_Diameter,Original_Install_Year,SHAPE.len,_SEWERNAME
5423649,1,,20170309201124,700,1941,1941,0,0,5184,5186,CONC,No,11767,No,51865184,STM,0,,CONC,700,1941,5.09975339403779,STORM
5423650,4,,20170309201124,200,,,0,0,4218,4587,,No,11769,No,45874218,CMB,0,,,200,,26.1794002987081,COMBINED
5423651,4,,20170309201124,300,1941,1941,0,0,4219,4587,PVC,No,11768,No,45874219,STM,0,,PVC,300,1941,70.1058635208211,STORM
5423652,5,250mm PVC SDR 35 STM @ 3.40%; DWG: B-1572-D-100; 2009 Sewer Separation Program,20170309201124,250,,2009,,,5660,515,PVC,No,11772,No,5155660,STM,0.034,9.27999973,PVC,250,2009,9.28435015711924,STORM
5423653,5,300mm PVC SDR 35 STM @ 1.56%; DWG: B-1572-D-100; 2009 Sewer Separation Program,20170309201124,300,,2009,,,5660,5661,PVC,No,11771,No,56615660,STM,0.0156,31.87000084,PVC,300,2009,34.1659365547031,STORM
5423654,5,375mm PVC SDR 35 STM @ 1.84%; DWG: B-1572-D-100; 2009 Sewer Separation Program,20170309201124,375,,2009,,,1111,5660,PVC,No,11770,No,56601111,STM,0.0184,136.75,PVC,375,2009,135.966774869341,STORM
5423655,9, ,20170309201124,200,0,1979,0,0,9034,9035,PVC,No,10524,No,90359034,SAN,0,32.61000061,PVC,200,1979,32.6140153921592,SANITARY
5423656,9,,20170309201124,200,0,1979,0,0,9036,9034,PVC,No,10523,No,90349036,SAN,0,89.06999969,PVC,200,1979,89.0599629463206,SANITARY
5423657,9,Project no.: 1791-21-1979-001 (1815.tif),20170309201124,200,0,1979,0,0,9,9036,PVC,No,11665,No,90360009,SAN,0,91.12999725,PVC,200,1979,91.1322577356668,SANITARY
5423658,9,,20170309201124,200,0,1979,0,0,9038,9004,PVC,No,10521,No,90049038,SAN,0,112.08999634,PVC,200,1979,112.093633182264,SANITARY
5423659,9,Project no.: 1791-21-1979-001 (1816.tif),20170309201124,200,0,1979,0,0,10,9038,PVC,No,11663,No,90380010,SAN,0,71.31999969,PVC,200,1979,71.3230537764614,SANITARY
5423660,9,,20170309201124,200,0,1979,0,0,9030,9031,PVC,No,10519,No,90319030,SAN,0,25.89999962,PVC,200,1979,25.8989285492663,SANITARY
5423661,9, ,20170309201124,200,0,1979,0,0,9030,9032,PVC,No,10518,No,90329030,SAN,0,32,PVC,200,1979,32.0034560633692,SANITARY
5423662,9,,20170309201124,200,0,1979,0,0,9029,9030,PVC,No,10517,No,90309029,SAN,0,82.36000061,PVC,200,1979,82.353355730049,SANITARY
5423663,9,Project no.: 1791-21-1979-001 (1816.tif),20170309201124,200,0,1979,0,0,10,9029,PVC,No,11662,No,90290010,SAN,0,91.73999786,PVC,200,1979,91.7428166125283,SANITARY
5423664,9,,20170309201124,200,0,1992,0,0,9027,9104,PVC,No,10515,No,91049027,SAN,0,109.19999695,PVC,200,1992,109.720550653968,SANITARY
5423665,9,,20170309201124,200,0,1992,0,0,9022,9103,PVC,No,10512,No,91039022,SAN,0,96.34999847,PVC,200,1992,96.0966252107222,SANITARY
5423666,9,,20170309201124,200,0,1992,0,0,9022,9023,PVC,No,10511,No,90239022,SAN,0,39.65000153,PVC,200,1992,39.6515913961848,SANITARY
5423667,6,CAP 608 AT E END OF MAIN; INTERSECTS MAIN 66026600,20170309201124,150,,1998,,,,608,PVC,No,11211,No,6080000,STM,5,12.5,PVC,150,1998,12.4999559111222,STORM
5423668,4,NO INVERT DATA FOR MH 4480,20170309201124,200,,200006,65.45999908,,4014,4480,FF,No,11219,Yes,44804014,CMB,,2,PVC,200,2000,3.2461412045689,COMBINED
5423669,9,SLOPE VARIES ALONG MAIN,20170309201124,200,,1998,,,903,901,HDPE,No,11294,No,901903,FRC,,197,HDPE,200,1998,186.900871882433,FORCE
5423670,4, ,20170309201124,450,0,1986,0,0,4087,4084,CONC,No,9899,No,40844087,STM,0,45.11000061,CONC,450,1986,45.1016197048399,STORM
