CATEGORY,BLDG_ID,MAPREF,STRNUM,STRNAM,BLDGNAM,X,Y
School Public,6100,10550000,605,SECOND ST,Herbert Spencer Elementary School,-122.914045887006,49.2170790317343
School Public,224,730001,625,AGNES ST,Queen's Court/Royal City Alternate Program,-122.911198937686,49.2044838277861
School Public,218,700001,700,ROYAL AVE,Douglas College,-122.912726129529,49.2035020950617
School Public,219,700001,88,SEVENTH ST,Douglas College Student Society Building,-122.911938019103,49.2041993360182
School Public,1036,3111000,521,FADER ST,Hume Park Primary School,-122.890450362383,49.2329460151119
School Public,6556,11275000,91,COURTNEY CRES,F W Howay Elementary School,-122.912704119548,49.2261120114253
School Public,4797,8950000,1010,HAMILTON ST,Lord Kelvin Elementary School,-122.930162562174,49.2105511805947
School Public,4799,8950000,1010,HAMILTON ST,Lord Kelvin Elementary School,-122.929737698747,49.2107808805305
School Public,4796,8950000,1010,HAMILTON ST,Lord Kelvin Elementary School,-122.930474286287,49.2108373730608
School Public,8617,15690001,2201,LONDON ST,Connaught Heights Elementary School,-122.955059112424,49.2026992520058
School Public,142,555000,1001,COLUMBIA ST,Columbia Square Building E/Power/Rcap (Alt Prog),-122.915933619913,49.2004153297713
School Public,5982,10364000,701,PARK CRES,Glenbrook Middle School,-122.911317181196,49.2207009008993
School Public,7603,12890000,833,SALTER ST,Queensborough Middle School,-122.940933888512,49.1863200147538
School Public,8946,4578000,331,RICHMOND ST,Richard Mcbride Elementary School,-122.899562276098,49.226611873368
School Public,5980,10305000,751,MCBRIDE BLVD,Justice Institute Of BC,-122.910260151011,49.2222830827326
School Public,9340,10305000,715,MCBRIDE BLVD,Simulation Building,-122.908239198949,49.2227903600924
School Public,4798,8950000,1010,HAMILTON ST,Lord Kelvin Elementary School,-122.929981717135,49.2104234934137
School Public,3236,6145000,314,SIXTH ST,Home Learner Program,-122.915688099836,49.2091645973523
School Public,4185,7895000,1700,EIGHTH AVE,Lord Tweedsmuir Elementary School,-122.942350218636,49.2055697403554
School Public,7583,12845001,921,SALTER ST,Queen Elizabeth Elementary School,-122.943714662655,49.1848190420838
School Public,11759,789000,85,MERIVALE ST,Qayqayt Elementary School,-122.905071650869,49.207936474091
School Public,11939,11859000,835,EIGHTH ST,N W Sec School,-122.929002045392,49.2159621786693
