TYPE,PARK,ACTIVITIES,X,Y
Sports Field,Queen's Park,Soccer;Lacrosse;Softball,-122.904755987716,49.2153299288293
Sports Field,Queen's Park,Soccer;Football;Lacrosse;Softball;Baseball,-122.904923540325,49.2128549040998
Sports Field,Grimston Park,Softball,-122.943216826037,49.202451225154
Sports Field,Hume Park,Soccer;Rugby;Softball,-122.889667755523,49.2342819459702
Sports Field,Simcoe Park,,-122.916674534285,49.2036811531271
Sports Field,Ryall Park,Softball,-122.940756670768,49.1843090482337
Sports Field,Ryall Park,Soccer;Football,-122.940350002034,49.1858362158106
Sports Field,Centennial Community Center Grounds,Soccer;Ruby,-122.908985875294,49.2211385513635
Sports Field,Sapperton Park,Soccer;Football;Softball,-122.893390300206,49.2274064361353
Sports Field,Terry Hughes Park,Soccer;Softball,-122.912293856482,49.2215228426936
Sports Field,Mercer Stadium,Soccer;Football;Softball,-122.927633990791,49.2166863200295
Sports Field,Mercer Stadium,Soccer;Football,-122.928725155453,49.2175311216068
Sports Field,Mercer Stadium,Soccer;Football;Lacrosse;Softball,-122.927381598643,49.2176768915959
Sports Field,Moody Park,Soccer;Softball,-122.927294071465,49.2114651781702
Sports Field,Old Schoolhouse Park,Soccer;,-122.93438843453,49.1907038483957
Sports Field,Queen's Park,,-122.903455822347,49.2143776397879
Sports Field,Queen's Park,Soccer;Football;Lacrosse;Softball,-122.903597098241,49.2124948064457
