OBJECTID,Mid_Block,Street_Name,From_Street,To_Street,Volume,Yr,Mth,GRID
1,2379,COLUMBIA ST,ELLIOT ST,BLACKWOOD ST,20211,2006,12,G-4
2,1440,EIGHTH AVE,FOURTH ST,FIFTH ST,18238,2006,12,F-1
3,1932,THIRD AVE,EIGHTH ST,PEARCE ST,1378,2006,12,F-3
4,1085,SIXTH AVE,FIFTH ST,SIXTH ST,11136,2006,12,F-2
5,1393,FRONT ST,FOURTH ST,SIXTH ST,8861,2006,12,F-4
6,2024,ROYAL AVE,FOURTH ST,SIXTH ST,18509,2006,12,F-3
7,2110,TENTH AVE,FOURTH ST,FIFTH ST,22751,2006,12,F-1
8,1760,SEVENTH AVE,TWENTY-SECOND ST,TWENTY-THIRD ST,2247,2007,05,C-2
9,1504,EWEN AVE,PEMBINA ST,BOYNE ST,4038,2007,05,C-4
10,2143,EIGHTH AVE,TWENTY-SECOND ST,TWENTY-THIRD ST,3236,2007,05,C-1
11,2332,EWEN AVE,HOWES ST,HAMPTON ST,5986,2007,05,B-3
12,1018,E COLUMBIA ST,PRIVATE D-WAY,SHERBROOKE ST,13451,2007,06,I-2
13,1363,FIFTH ST,SIXTH AVE,FIFTH AVE,1859,2008,03,F-2
14,1381,QUAYSIDE DR,RELIANCE CT,LAGUNA CT,3435,2008,03,E-3
15,1943,QUEENS AVE,EIGHTH ST,NINTH ST,3243,2008,03,F-3
16,2415,FIFTH ST,FIFTH AVE,FOURTH AVE,1214,2008,03,F-2
17,1353,PARK CR,JACK MAHONY PL,EIGHTH AVE,2210,2008,03,G-2
18,2299,SOUTH DYKE RD,SPAGNOL ST,PHILLIPS ST,402,2008,04,A-4
19,2352,BOYD ST,HOWES ST,GIFFORD ST,5764,2008,04,B-3
20,2373,SALTER ST,VISCOUNT PL,CARTER ST,872,2008,04,C-4
21,2405,E TENTH AVE,MASSEY ST,CHILLIWACK ST,19909,2008,04,H-1
22,1315,CUMBERLAND ST,CARROL ST,HARVEY ST,8973,2008,04,H-2
23,1815,E EIGHTH AVE,SCOTT ST,CHILLIWACK ST,20112,2008,04,H-1
24,2067,E COLUMBIA ST,HOLMES ST,EOP,23875,2008,04,J-1
25,1684,THIRD AVE,TENTH ST,MOWAT ST,1661,2008,10,E-3
26,1708,LONDON ST,TENTH ST,HENLEY ST,717,2008,10,E-1
