Cat,SubCat,Comments,Sign_Text,Arrow_Direction,Sign_ID,Street,Street_Address,X_Street,Corner,Distance_Along_Street,Distance_From_Curb,Sign_Code,Grade,Traffic_Direction,Structure,Situation,Condition,Speed,Date_,Confidence,TYPE_,Sign_Definition,X,Y
Warning Signs,Warning Signs Misc,,,,30156,,,,,,,WC-02,Engineering,NB,Lamp Standard,Side,Good,0,20020610,High,Warning,Pedestrian Crosswalk Ahead,-122.892486100604,49.2334855001546
Warning Signs,Warning Signs Misc,,,,35711,,,,,,,WC-02,Engineering,EB,Lamp Standard,Side,Good,0,20020724,High,Warning,Pedestrian Crosswalk Ahead,-122.919220000077,49.1989748497592
Warning Signs,Warning Signs Misc,,,,35712,,,,,,,WC-02,Engineering,WB,Metal Post,Side,Good,0,20020724,High,Warning,Pedestrian Crosswalk Ahead,-122.917907200181,49.1991233802545
Warning Signs,Warning Signs Misc,,,,35717,,,,,,,WC-02,Engineering,WB,Metal Post,Side,Good,0,20020724,High,Warning,Pedestrian Crosswalk Ahead,-122.920961699401,49.1993552599618
Warning Signs,Warning Signs Misc,,,,35776,,,,,,,WC-02,Engineering,EB,Lamp Standard,Side,Good,0,20020724,High,Warning,Pedestrian Crosswalk Ahead,-122.921969999501,49.1997171997024
Warning Signs,Playground Ahead,,,,35779,,,,,,,WC-03,Engineering,EB,Metal Post,Side,Good,0,20020517,High,Warning,Playground Ahead,-122.941672799385,49.1848535996587
Warning Signs,School Area,,,,36242,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020516,Medium,Warning,School Area,-122.944981899969,49.184389660354
Warning Signs,School Area,,,,36243,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020516,High,Warning,School Area,-122.944467200303,49.183639960091
Warning Signs,School Area,Blue Sign,30 km/h,,36250,,,,,,,WC-01,Engineering,WB,Billboard,Side,Good,30,20020517,High,Warning,School Area,-122.943541299661,49.1842621102774
Warning Signs,School Area,,,,36252,,,,,,,WC-01,Diamond,WB,Lamp Standard,Side,Good,0,20020517,High,Warning,School Area,-122.9430368004,49.1844633695997
Warning Signs,Warning Signs Misc,,,,36292,,,,,,,WC-02,Engineering,SB,Metal Post,Side,Good,0,20020517,Medium,Warning,Pedestrian Crosswalk Ahead,-122.943988600505,49.1865240896489
Warning Signs,School Area,,,,36340,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020522,High,Warning,School Area,-122.956078799481,49.2017606399964
Warning Signs,School Area,Blue Sign,,,36342,,,,,,,WC-01,Engineering,EB,Billboard,Side,Good,0,20020522,High,Warning,School Area,-122.955812799403,49.2020427400134
Warning Signs,School Area,Blue Sign,,,36344,,,,,,,WC-01,Engineering,WB,Billboard,Side,Good,0,20020522,High,Warning,School Area,-122.953968099541,49.2031313197715
Warning Signs,School Area,,,,36346,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020522,High,Warning,School Area,-122.953883500184,49.2031757201022
Warning Signs,School Area,,,,36352,,,,,,,WC-01,Diamond,EB,Metal Post,Side,Good,0,20020522,High,Warning,School Area,-122.956906400293,49.2023700001384
Warning Signs,School Area,,,,36354,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020522,High,Warning,School Area,-122.955553000229,49.2033797403174
Warning Signs,School Area,,,,36356,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020522,High,Warning,School Area,-122.95431260065,49.2040067602255
Warning Signs,School Area,,,,36393,,,,,,,WC-01,Diamond,SB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.942778300628,49.2063637398578
Warning Signs,School Area,,,,36395,,,,,,,WC-01,Diamond,WB,Metal Post,Side,Good,0,20020523,High,Warning,School Area,-122.941150499351,49.2068499001829
Warning Signs,School Area,Blue Sign,30 km/h,,36397,,,,,,,WC-01,Engineering,WB,Billboard,Side,Good,30,20020523,High,Warning,School Area,-122.941627399904,49.2064425096546
Warning Signs,School Area,Blue Sign,30 km/h,,36398,,,,,,,WC-01,Engineering,EB,Billboard,Side,Good,30,20020523,High,Warning,School Area,-122.943604899772,49.2052595403879
