Feature,OBJECTID,RefAuto,MainNo,FacOwner,Outlets,PortSiz,Material,Depth,ServDate,HydElev,PeakPress,NormPress,ResiPress,FireFlow,PaintDat,Supplier,Inst_Yr,ReplCost,Remarks,ReplYear,StrNam1,StrNam2,ConSize,MainSize,Steamer,InspDate,InspBy,PressNum,Source,Comment,DrawingNo,Contractor,ContractNo,SymRot,X,Y
Water Hydrant,443679,1040,220,,2,6,TC1,,2013,,,80,,,,,2013,,,,FIFTH ST,TENTH AVE,,6,1,,JC,550-093A,,New Location,,,,,-122.926424771897,49.2194468621293
Water Hydrant,443680,1046,5041,,2,,,,,,,86,,,,TCI,2013,,2013 Watermain Replacement Program,,211,Ninth Ave,,6,1,20140313,JC,550-099A,,,S12-0073/B-15,Hyland,,,-122.920741944992,49.2206886350147
Water Hydrant,443681,1045,5041,,2,,,,,,,86,,,,TCI,2013,,2013 Watermain Replacement Program,,Ninth Ave,Fourth St,,6,1,20140313,JC,550-095A,,,S12-0073/B-14,Hyland,,,-122.923466033196,49.219223210688
Water Hydrant,443682,1047,5032,,2,,,,,,,64,,,,TCI,2013,,2013 Watermain Replacement Program,,915,Laurel Ave-West Lane,,6,1,20140313,JC,650-007A,,,S12-0073/B-11,Hyland,,,-122.904435722784,49.2303175830289
Water Hydrant,443683,1043,5013,,2,,,,,,,84,,,,TCI,2013,,2013 Watermain Replacement Program,,Pearce St,Third Ave,,6,1,20140313,JC,504W-038A,,,S12-0073/B-06,Hyland,,,-122.919330514541,49.2060121063253
Water Hydrant,443684,1044,5012,,2,,,,,,,76,,,,TCI,2013,,2013 Watermain Replacement Program,,Bole St,Behind 1020 6th Ave,,6,1,20140313,JC,504W-051A,,,S12-0073/B-05,Hyland,,,-122.927501550709,49.2086735874942
Water Hydrant,443685,1042,5008,,2,,,,,,,86,,,,TCI,2013,,2013 Watermain Replacement Program,,22nd St,Seventh Ave,,6,1,20140313,JC,425+-027A,,,S12-0073/B-02,Hyland,,,-122.950411158266,49.1994713125136
Water Hydrant,443686,1041,5009,,2,,,,,,,110,,,,TCI,2013,,2013 Watermain Replacement Program,,Kamloops St,Stewardson Way,,6,4,20140313,JC,350E-047A,,,S12-0073/B-03,Hyland,,,-122.930113863764,49.2036854896946
Water Hydrant,443687,1051,5002,,2,4,,,,,,116,,,,,2012,,Westminster Pier Park,,Front St,,,6,1,,,350E-011B,,Pier Park,09216-00-CI-DLP-1042,WorleyParsons,,,-122.904871864839,49.2035550229136
Water Hydrant,443688,1048,5006,,2,,,,,,,116,,,,,2012,,Westminster Pier Park,,Front St,,,6,1,,,350E-011A,,Pier Park,09216-00-CI-DLP-1041,WorleyParsons,,,-122.90677027772,49.2025037968702
Water Hydrant,443689,646,3589,C,2,6,,,,,,110,,,,TC,,,,,EWEN AVE (SW CORNER),STANLEY ST,6,6,1,20050314,JC,350W-045A,,,,,,,-122.932152824363,49.1921878024137
Water Hydrant,443690,969,1371,,,,TC,,2007,,,64,,,,,2007,,,,THIRD ST,MANITOBA ST,,,,,,504W-020A,,,,,,,-122.907357019345,49.2083215578086
Water Hydrant,443691,262,1885,C,2,6,,,,,,92,,,,TC,,,,,WILSON ST           ,MAJOR ST            ,6,6,1,20050506,,410-023,,DWG 146.39; sheet 10 of 12,146.39,Dayton & Knight Ltd.,1810-25-20,,-122.887770950329,49.2297258082651
Water Hydrant,443692,90,1078,C,2,6,,,,,,80,,,,TC,,,,,THIRD AVE,FOURTH ST,6,6,1,20050406,,550-144,,DWG 146.40; sheet 3 of 13,146.40,Dayton & Knight Ltd.,1810-25-20,,-122.912052358715,49.2101556385572
Water Hydrant,443693,518,229,C,2,6,,,,,,94,,,,TC,,,,,OPP. 303            ,BLACKMAN ST         ,6,6,1,20050322,,550-098,,DWG 146.40; sheet 13 of 13,146.40,Dayton & Knight Ltd.,1810-25-20,,-122.922551422655,49.2207358947871
Water Hydrant,443694,342,1723,C,2,6,,,,,,96,,,,TC,,,,,KEARY ST            ,RICHMOND ST         ,6,6,1,20050203,,504E-048,,DWG 146.40; sheet 9 of 13,146.40,Dayton & Knight Ltd.,1810-25-20,,-122.898509511153,49.2256688849143
Water Hydrant,443695,295,1723,C,2,6,,,,,,120,,,,TC,,,,,353                 ,KEARY ST            ,6,6,1,20050203,,504E-047,,DWG 146.40; sheet 9 of 13,146.40,Dayton & Knight Ltd.,1810-25-20,,-122.896151033718,49.2256384851407
Water Hydrant,443696,287,1722,C,2,6,,,,,,74,,,,TC,,,,,EAST COLUMBIA ST    ,KEARY ST            ,6,6,1,20050503,,410-012,,DWG 146.40; sheet 10 of 13,146.40,Dayton & Knight Ltd.,1810-25-20,,-122.893081089328,49.225601351369
Water Hydrant,443697,229,1867,C,2,6,,,,,,96,,,,TC,,,,,519                 ,WILSON ST           ,6,6,0,20050506,,410-026,,,146.40,Dayton & Knight Ltd.,,,-122.887487566665,49.2327330373878
Water Hydrant,443698,971,4592,,,6,,,,,,,,,,TC,2007,,250 Salter St.; Hydrant comes with Tie Rods; 250Hx250Hx150F Tee; 150 FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-104,,SALTER ST,,6,8,1,,,350W-087,,,AC36-01-104,InterCAD,,226,-122.925371320681,49.1922671438324
Water Hydrant,443699,975,4578,,,6,,,,,,,,,,TC,2007,,Hydrant comes with Tie Rods; 250Hx250Hx150F Tee; 150 FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-101,,SALTER ST,FURNESS ST,6,8,1,,,350W-088,,,AC36-01-101,InterCAD,,302,-122.925111207678,49.1926561236395
Water Hydrant,443700,974,4583,,,6,,,,,,,,,,TC,2007,,Hydrant comes with Tie Rods; 200Hx200Hx150F Tee; 150FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-102,,SALTER ST,HOLLY AVE,6,8,1,,,350W-086,,,AC36-01-102,InterCAD,,122,-122.926110173208,49.1920135947359
Water Hydrant,443701,973,4582,,,6,,,,,,,,,,TC,2007,,249 Holly Ave.; Hydrant comes with Tie Rods; 200Hx200Hx150F Tee; 150FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-102,,HOLLY AVE,,6,8,1,,,350W-085,,,AC36-01-102,InterCAD,,123,-122.927113274975,49.1930474251228
Water Hydrant,443702,972,4581,,,6,,,,,,,,,,TC,2007,,Hydrant comes with tie rods; 200H x200Fx150F tee; 150 FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-102,,EWEN AVE,HOLLY AVE,6,8,1,,,350W-084,,,AC36-01-102,InterCAD,,123,-122.927935215996,49.1938945160345
Water Hydrant,443703,976,4578,,,6,,,,,,,,,,TC,2007,,Hydrant comes with Tie Rods; 250Hx250Hx150F Tee; 250FxH Gate Valve; 150 FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-101,,EWEN AVE,FURNESS ST,6,8,1,,,350W-090,,,AC36-01-101,InterCAD,,303,-122.926801216338,49.1943982034214
Water Hydrant,443704,977,4578,,,6,,,,,,,,,,TC,2007,,247 Furness St.; Hydrant comes with Tie Rods; 250Hx250Hx150F Tee; 150 FxH Gate Valve; Project no.: 1725-20-04; Drawing no.: AC36-01-101,,FURNESS ST,,6,8,1,,,350W-089,,,AC36-01-101,InterCAD,,303,-122.926014106262,49.1935866970012
Water Hydrant,443705,118,4604,C,2,6,,,,,,72,,,,TC,0,,Replacement hydrant assembly - Dwg# 146.042.300 SHT PP1,2008, 4 AVE              ,12 ST               ,6,6,1,20050628,,504W-058A,,renamed from 350E-050,,,,,-122.926900700782,49.2048467781558
Water Hydrant,443706,446,4604,C,2,6,CI              ,,,,,124,,,,TC,,,Replacement hydrant assembly - Dwg# 146.042.300 SHT PP1,2008,12 ST               ,CAMERON ST          ,6,6,1,20050225,,504W-056A,,,,,,,-122.927595610559,49.2053612772472
Water Hydrant,443707,141,4606,C,2,6,,,,,,116,,,,TC,,,Replacement hydrant assembly - Dwg# 146.042.300 SHT PP2,2008, 5 AVE              ,12 ST               ,6,6,1,20050225,,504W-057,,,146.042.300,Dayton & Knight,,,-122.928627605364,49.2061808233375
Water Hydrant,443708,373,378,C,2,6,,,,,,58,,,,TC,0,,Replacement hydrant assembly - Dwg# 146.042.300 SHT PP8,2008,OPP. 63             ,MOTT CR             ,6,6,1,20050201,,550-182,,Replacement hydrant assembly,146.042.00,Dayton & Knight,,,-122.912833651238,49.2248994157022
Water Hydrant,443709,979,4609,C,2,6,,,,,,,,,,,2008,,Hydrant number is temporary - Engineering Ops will provide the number,,BRAID ST,GARRETT STREET,6,6,,,,410-027A,,,,DAYTON & KNIGHT,,,-122.888811456334,49.2314671413723
Water Hydrant,443710,91,1093,C,2,6,,,,,,88,,,,TC,,,,,TOWNSEND PL         ,THIRD ST,6,6,1,20050411,,550-149,,DWG 146.40; sheet 2 of 13,146.40,Dayton & Knight Ltd.,1810-25-20,,-122.909865314248,49.2103869441117
Water Hydrant,443711,990,4702,C,2,6,,,,,,108,,,,TC,2009,,235 Campbell St; 2009 Watermain replacement program,,CAMPBELL ST,,6,6,1,20101003,,350W-022A,,,PP1,Dayton & Knight Ltd,,303,-122.939446303027,49.1876969429825
Water Hydrant,443712,991,,C,2,6,,,,,,108,,,,TC,,,160 Pembina St,,PEMBINA ST,,6,6,1,20101005,,350W-037A,,,,,,209,-122.934348182303,49.1875454387324
Water Hydrant,443713,992,4747,C,2,6,,,,,,110,,,,TC,2010,,2010 Watermain Replacement Program; NWIT-10-05,,PEMBINA ST,,6,6,1,,,350W-036A,,,PP2,Dayton & Knight Ltd,,123,-122.935668971242,49.1889671307866
Water Hydrant,443714,993,709,C,2,6,,,,,,56,,,,TCI,2011,,,,SIXTH ST,BRANTFORD ST,6,6,,,,550-081A,,,,,,,-122.918038716466,49.2111754556245
Water Hydrant,443715,994,709,C,2,6,TC 1,,,,,62,,,,CORE BROS,2011,,,,SEVENTH ST,BRANTFORD ST,6,6,,,,550-082A,,,,,,,-122.919314322025,49.2104885794175
Water Hydrant,443716,995,4615,C,2,6,TC 1,,,,,90,,,,SANDPIPER,2011,,,,TWELFTH ST,EDINBURGH ST,6,6,,,,550-047A,,,,,,,-122.934879204525,49.2111158991098
Water Hydrant,443717,996,2039,C,2,6,TC 1,,,,,110,,,,CORE BROS,2011,,,,316 BOYNE ST,,6,6,,,,350W-029A,,,,,,,-122.939098199442,49.190850715518
Water Hydrant,443718,997,602,C,2,6,TC 1,,,,,138,,,,,2011,,,,OPP 1408 FIFTH AVE,,6,6,,,,425+-014A,,,,,,,-122.932539728903,49.2042856635271
Water Hydrant,443719,998,1035,C,2,6,TC 1,,,,,70,,,,CORE BROS,2011,,,,SIXTH ST,ROBSON ST,6,6,,,,504W-027A,,,,,,,-122.913451168785,49.207533787047
Water Hydrant,443720,1023,3446,,,,,,,,,,,,,,,,,,329,MCGILLIVRAY PL,,,,,,350W-018A,,,,,,,-122.941947812219,49.1894426865994
Water Hydrant,443721,1024,3429,,,,,,,,,,,,,,,,,,CARTER ST,SOUTH DYKE RD,,,,,,350W-041A,,,,,,,-122.94023753822,49.1830357419441
Water Hydrant,443722,1018,3346,,,,,,,,,,,,,,,,,,BRAID ST,CANFOR AVE,,,,,,410-052A,,,,,,,-122.878487533372,49.2296432209567
Water Hydrant,443723,1019,3350,,,,,,,,,,,,,,,,,,STELLA-JONES,ACROSS OFFICE,,,,,,410-000A,,,,,,,-122.877233149973,49.2284081236027
Water Hydrant,443724,1016,4721,,,,,,,,,,,,,,,,,,KNOX ST,EAST COLUMBIA ST,,,,,,410-007A,,,,,,,-122.892857747061,49.2284813494638
Water Hydrant,443725,,,,,,,,,,,,,,,,,,,,,,,,,,,410-12A,,,,,,,-122.895112480905,49.2256263243305
Water Hydrant,443726,1004,4670,,,,,,,,,,,,,,,,,,EAST ROYAL AVE,ROSS DR,,,,,,504W-080,,,24541401,,,,-122.898442953471,49.2135741948578
Water Hydrant,443727,1009,4688,,,,,,,,,,,,,,,,,,FRANCIS WAY,MEMORIAL DR,,,,,,504W-085,,,24541402,,,,-122.900424217073,49.216252023366
Water Hydrant,443728,1008,4690,,,,,,,,,,,,,,,,,,240,FRANCIS WAY,,,,,,504W-084,,,24541402,,,,-122.899802986397,49.215494074562
Water Hydrant,443729,1007,4691,,,,,,,,,,,,,,,,,,240,FRANCIS WAY,,,,,,504W-083,,,24541402,,,,-122.898684877803,49.2149946959192
Water Hydrant,443730,1006,4692,,,,,,,,,,,,,,,,,,FRANCIS WAY,EAST ROYAL AVE,,,,,,504W-082,,,24541402,,,,-122.897631301185,49.2145399397362
Water Hydrant,443731,1005,4672,,,,,,,,,,,,,,,,,,FRANCIS WAY,EAST ROYAL AVE,,,,,,504W-081,,,24541401,,,,-122.897282810224,49.2143169134629
Water Hydrant,443732,1010,4681,,,,,,,,,,,,,,,,,,MEMORIAL DR,ROSS DR,,,,,,504W-086,,,24541403,,,,-122.901448616813,49.2157350625091
Water Hydrant,443733,1011,4680,,,,,,,,,,,,,,,,,,260,ROSS DR,,,,,,504W-087,,,24541403,,,,-122.900897123319,49.2149075132413
Water Hydrant,443734,1012,4679,,,,,,,,,,,,,,,,,,230,ROSS DR,,,,,,504W-088,,,24541403,,,,-122.899779945154,49.2140834729002
Water Hydrant,443735,1003,4667,C,,6,,,,,,,,,,TC,2005,,,,MCBRIDE BLVD,ROSS DR,6,6,,,,504W-079,,,24541401,,,,-122.898445888394,49.2127239478325
Water Hydrant,443736,1015,4673,,,,,,,,,,,,,,,,,,5,MCBRIDE BLVD,,,,,,504W-091,,,24541407,,,,-122.898459560602,49.211780353436
Water Hydrant,443737,1014,4674,,,,,,,,,,,,,,,,,,9,EAST COLUMBIA ST,,,,,,504W-090,,,24541410,,,,-122.897393596516,49.2122698731621
Water Hydrant,443738,1013,4675,,,,,,,,,,,,,,,,,,14,EAST ROYAL AVE,,,,,,504W-089,,,24541409,,,,-122.897107623443,49.2128722750358
Water Hydrant,443739,1025,662,,,,,,,,,,,,,,,,,,525,TWELFTH ST,,,,,,504W-042A,,,,,,,-122.922881682131,49.2104426899454
Water Hydrant,443740,920,,C,2,6,TC 1,,,,,90,,,,TC,2011,,,,LONDON ST,20 ST,,6,1,20111128,678,550-020A,,,,,,39,-122.950926440284,49.2046975682987
Water Hydrant,443741,999,17,C,2,6,,,,,,102,,,,TC,,,,,DUBLIN ST,20 ST,6,6,1,20050307,,550-017A,,,,,,,-122.950121349466,49.2040557715158
Water Hydrant,443742,1000,2146,C,,6,,,,,,,,,,TC,2011,,,,814,ROYAL AVE,6,6,,,,350E-028A,,,,,,,-122.915804070189,49.2028815521858
Water Hydrant,443743,1002,,C,2,6,,,,,,,,,,TC,2011,,,,813,AGNES ST,6,6,,,,350E-040C,,,,,,,-122.914642734324,49.2023390324755
Water Hydrant,443744,1001,2140,C,2,6,,,,,,,,,,TC,2011,,,,838,AGNES ST,6,6,,,,350E-040B,,,,,,,-122.915078824674,49.2019234453715
Water Hydrant,443745,448,2140,C,2,6,CI              ,,,,,100,,,,TC,,,,,833,AGNES ST            ,6,6,1,20050617,,350E-040A,,,,,,,-122.915715897625,49.2017614118825
