OBJECTID,PRV_ID,X,Y
1,PRV11,-122.895657939609,49.2164567336373
2,PRV2,-122.882912976742,49.2311442135724
3,PRV1,-122.882500312468,49.231221693507
4,PRV13,-122.893147087144,49.2317266812107
5,PRV5,-122.919338925093,49.2233203469106
6,PRV3,-122.892507644218,49.2223418780849
7,PRV4,-122.895475908762,49.2166579607898
8,PRV12,-122.899224628618,49.2141398822738
9,PRV10,-122.946009767458,49.1988737402592
10,PRV9,-122.94781043818,49.2021413742964
11,PRV8,-122.943384702261,49.2092990168587
12,PRV7,-122.938773656473,49.2055459433714
13,PRV6,-122.92462672523,49.2110723514713
