website,kml_name,email,address2,Address,city,prov,pcode,Name,Descriptn,id,category,company,phone,fax,social_networks,summary,catname,X,Y
,The Art of Law Gallery,,,711 Columbia Street,New Westminster,BC,V3M 1B1,The Art of Law Gallery,"The Art of Law Gallery presents art works by local artists related to social, cultural, environment and human rights to advance social justice and collective consciousness.",51,1,,,,-1,"The Art of Law Gallery exhibits visual arts dealing with social, cultural and environmental issues.",Creative Industries,-122.910581222695,49.2022723655135
http://www.marneyroseedge.com,,edge@marneyroseedge.com,,,,,,Marney-Rose Edge Fine Art,"I'm an artist and I bring beauty and inspiration to your life through the imagery of my paintings.  I share my knowledge through instruction, privately and in groups with workshops.  Art stimulates the mind, the economy and enriches our lives.  Let me start a conversation with you through my artistic endeavors. I paint in watercolor and acrylic on paper and canvas specializing in florals and pet portraits. The possibilities are endless when you incorporate art in your life.",54,1,,778-875-0258,,-1,I'm an artist and I bring beauty and inspiration to your life through the imagery of my paintings.,Creative Industries,-122.916418853495,49.2171218092483
http://www.ammara.ca,,info@ammara.ca,,40 Sixth Street,New Westminster,BC,V3L 2Z2,Ammara Dance Company,"Dance and music are a great way to keep active while connecting with and learning about other cultures. Ammara Dance Co. is home to some of the finest instructors and performers in the Lower Mainland. Middle Eastern Dance is our specialty, including: Raks Sharqi (Belly Dance) Egyptian regional folkloric, American Tribal Style, and Turkish Romany. Other classes include Salsa, Caribbean Soca, Brazilian Capoeira, and even American Broadway-style Burlesque. If music is more your stye, check out a Caribbean Steel Drum class, or try one of our Middle Eastern or African Drum workshops. There are always new workshops happening and new classes being added - check our website for info. There is something here for everyone!",55,1,,,,-1,"Ammara Dance Company offers classes and performances in a variety of ethnic dance and music, including Middle Eastern, Caribbean, Latin, Brazilian, African, Bulgarian and more.",Creative Industries,-122.908658529023,49.2035960144871
http://www.vancouverpaddlewheeler.com/,,info@vancouverpaddlewwheeler.com,,788 Quayside Drive,New Westminster,BC,V3M 6Z6,Vancouver Paddlewheeler Riverboat Tours,"Welcome to Paddlewheeler Riverboat Tours. Celebrating 24 years providing top quality cruises on our authentic sternwheeler, exploring BC's Famous Fraser River. Based in the beautiful historic city of New Westminster, offering cruises ranging from full day to 2-1/2 hour discovery cruises watching the river at work & play; bridges from massive brand new to 110 years old & ever present wildlife. Relaxing evening sunset dinner cruises or exploring the natural wilderness of Pitt lake, one of the largest fresh water tidal lakes in the world. We specialize in weddings & all corporate & private functions. Easily accessible & open year round for special events, Christmas cruises & private functions.",62,1,,604-525-4465,604-525-5944,-1,"Board the MV Native, an authentic paddlewheeler, for an adventure on the mighty Fraser River! With live narration of facts and fiction about the Fraser and its history, you'll encounter all the activity of a busy working river",Creative Industries,-122.910203543823,49.2005159870295
http://www.musicboxnw.ca,,info@musicboxnw.ca,,211 810 Quayside Drive,New Westminster,BC,V3M 6C9,Music Box Music and Theatre Academy,"Located in the River Market in Downtown New Westminster, Music Box offers out-of-the-box music and theatre classes to all ages and abilities. Music Box students can carve their own path and create music for fun and recreation, or more seriously with prep for exams and auditions. Our Private and Group lessons are taught by enthusiastic professionals with the hearts of teachers; committed to sharing the joy of making, playing and creating music and theatre. Adding music to people's lives is awesome.",79,1,,604-553-1176,,-1,"Located in the River Market in Downtown New Westminster, Music Box offers out-of-the-box music and theatre classes",Creative Industries,-122.911626317956,49.2001216391227
http://www.vivalogue.com,,lynn@vivalogue.com,,,,,,Vivalogue,"Vivalogue provides comprehensive publishing services, with print runs from just one copy to 1000s including  design, editing, proof-reading and printing. Self-publishing packages for authors. Commercial publishing packages for organizations. One-off or short run books for gifts or private distribution",82,1,,604-522-6222,,-1,"Comprehensive print and online publishing services for individuals, businesses and non-profit organizations: editing, book design, proof-reading, printing; book publishing, marketing, promotion, distribution; press releases, newsletters and corporate identity.",Creative Industries,-122.907859205233,49.2127683287819
http://www.styluscollege.com,,info@styluscollege.com,,60 Eighth Street,New Westminster,BC,V3M 3P1,Stylus College of Music and Sound Technology,"From the creative to the technical science, our dedication to Music Production and Sound Design has led Stylus College to become one of Canada's leading music education centers.  Our facilities offer hands-on access to well-equipped studios with state of the art software and hardware.  Combined with industry professionals as instructors, and our affiliations to other industry entities and organizations, Stylus College of Music & Sound Technology will thoroughly prepare our students for the challenges they will encounter in the Music and Visual Media industries.",83,1,,604-523-2969,,-1,"Our college is a creative community where staff and students share a common passion: Media Production. We are committed to the delivery of high-quality programs in Music Production, Sound Design and the Business of Music and Visual Media industries.",Creative Industries,-122.913075293197,49.2021264424316
http://www.kidsinmotiondance.com,,jess@kidsinmotiondance.com,,465B East Columbia Street,New Westminster,BC,V3L 3X6,Kids In Motion: Creative Arts Studio,"Kids in Motion offers high quality dance training, in a non-traditional dance studio setting. We are focused on enriching our student's lives through dance, music and play. Our mission is to stimulate the imaginations of our students and engage them in physical activity, laying the foundation for a healthy lifestyle. We firmly believe that dancing and the creative arts can foster confidence, social skills and a joyful childhood and adolescents. There are a variety of classes offered for toddlers, children, teens and adults in the morning, evening and on weekends. There is something for everyone!",84,1,,778-554-1146,,-1,"Kids in Motion offers high quality dance training, in a non-traditional dance studio setting. There are a variety of classes offered for toddlers, children, teens and adults in the morning, evening and on weekends. We firmly believe that dancing can foster confidence, social skills and a joyful childhood and adolescents.",Creative Industries,-122.893133224294,49.2309778141998
,Melodies in Mind Productions,,,,,,,Melodies in Mind Productions,"You can find represented artists at www.melodiesinmindproductions.com and contact the owner at melodiesinmind@gmail.com, Melodies in Mind is a radio show that promotes local musicians and the business sprang from that.",86,1,,,,-1,"The business represents musicians and provides booking and promotion services for events and venues. The owner is a poet and a radio dj, and so his additional skills may also be used. For the musician the business offers media creation, consultations, and possibly representation.",Creative Industries,-122.913668899716,49.2047066558527
,Ryan Fletcher,,,,,,,Ryan Fletcher,"you can peruse the material at http://www.unconformed.com, references can be made available upon request. Can also write to spec for some creative writing projects that may need assistance.",87,1,,,,-1,"I write and perform short stories and poems. Have also produced a poetry cd and am in the process of creating an illustrated book of poems. Have a lot of stage experience, talent, and an excellent sense of humor. Can also be hired as an emcee. Have emceed regular events.",Creative Industries,-122.913668899716,49.2047066558527
,JG Freedman Fine Art,mail@jgfreedman.com,,,,,,JG Freedman Fine Art,"After moving to Vancouver from Los Angeles in 1970 to avoid Vietnam, Joseph Gregory Freedman found work on B.C.'s tugboats. Inspired by the spectacular nature of the Pacific coast, he also began to paint. While he had his first one-man show in 1972, his art would be a great love but a secondary pursuit for the next 31 years. At the age of 51, after retiring from Vancouver's SeaBus as a distinguished captain, painting became his second, full-time career. The realization of a life's dream, it was still a challenging decision. We had a beautiful heritage home in North Vancouver, and we were house-proud. Retiring early meant giving that up, but Marilyn (my wife) said, ""forget the house and paint"". So I did. His second one-man show, in 2002, was celebrated nationally, receiving accolades from CBC, The Arts Report and a feature article in NUVO magazine; his paintings since have found their way to buyers throughout North America. Humour lurks beneath the darker themes of Freedman's fascinating canvases. The Georgia Straight Really accessible work . . .  the kind of art you feel relaxed with. Susan Westmorland, The Arts Report, CBC Radio 1 The West Coast's answer to [Canada's foremost magic realist painter] Alex Colville. Vancouver Sun columnist, Denny Boyd Freedman doesn't follow fashion, he doesn't copy anybody.  That's very special in Canadian art today. Canadian artist and educator, Gordon Smith. Freedman is represented in Vancouver by Granville Fine Art   www.granvillefineart.com",91,1,,604-777-9667,,-1,"JG (Greg) Freedman is an internationally known, award winning oil painter who has had many gallery and museum showings of his realist and magic realist paintings.",Creative Industries,-122.895938285657,49.2178030632545
,Razzberry Art and Design,,,625 Second Street,New Westminster,BC,V3L 2M6,Razzberry Art and Design,"Look for Jill's collaborative murals with children at Sapperton Landing Park where you will find colourful mosaic tiles celebrating the theme ""Fish in the City"" and on the exteriors of several of our city's schools where vibrant painted panels enliven our school environments. Jill has worked with hundreds of schoolchildren on projects that promote civic literacy - an understanding of the many influences that have shaped our community. Her interest in history and heritage led her to write and illustrate ""My New Westminster: A Neighbourhood History"". This hands-on civic literacy resource for children, now in its second printing, was published by the City of New Westminster and in use in elementary classrooms throughout the city. As a visual arts educator, Jill's core belief in working with children and adults is in the value of expressing personal and cultural identity through art. To that end, in addition to pursuing her own aims as a painter, she is dedicated to promoting public art that is created BY the community FOR the community.",94,1,,604-521-5871,,-1,"Jill Doyle is an visual artist, educator, and author who has lived and worked in New Westminster for over 25 years. Her contributions to the city's cultural landscape include numerous public art projects involving children's artwork and the publication of ""My New Westminster"", a local history resource for elementary students.",Creative Industries,-122.915112578895,49.2177730142925
http://www.VancouverCircusSchool.ca,,info@VancouverCircusSchool.ca,,810 Quayside Drive,New Westminster,BC,V3M6B9,Vancouver Circus School,"The Vancouver Circus School offers non-competitive classes in all aspects of circus arts including aerial silks, trampoline, props, clowning, swinging trapeze, acrobalance and more!  Founded by long-term residents of New Westminster, Aaron & Travis Johnson, the school offers a unique blend of training and performance opportunities.  Visitors to the New Westminster facility can observe dynamic classes in progress, or take in one of several annual free performances.",96,1,,604-544-5024,,-1,"The Vancouver Circus School offers non-competitive classes in all aspects of circus arts including aerial silks, trampoline, props, clowning, swinging trapeze, acrobalance and more!",Creative Industries,-122.911626317956,49.2001216391227
