website,kml_name,email,address2,Address,city,prov,pcode,Name,Descriptn,id,category,company,phone,fax,social_networks,summary,catname,X,Y
http://www.stbarnabasparish.ca,,stbarna@telus.net,,1010 Fifth Avenue,New Westminster,BC,V3M 1Y5,St. Barnabas' Anglican Church,"In 1891 St. Barnabas opened its doors.  Now, more than 122 years later, we are an inclusive and caring community.  Our regular worship service is Sunday at 10am, and all are welcome, from the youngest to the oldest of our neighbours.  We also meet on Tuesdays at noon, for Eucharist, and Tuesday through Friday for a short, quiet service of Morning Prayer, at 9:15.  We also gather for a community meal, Thursdays at 11, and host an emergency food cupboard on Friday mornings.  Our Thrift Store boasts the best prices on earth!  We also celebrate numerous community cultural and educational events throughout the year.  Most of all, we strive to be the Light on the Hill, a place of love, kindness, generosity and joy!  Please come and visit!",57,3,,604-526-6646,,-1,"St. Barnabas Anglican Church is a lovely historical church, the light on the brow of the hill.  It is a place of community, of friendship and of spirit, where all are welcome, to worship, share a bowl of soup, or a cup of tea.",Heritage,-122.925496417187,49.2076762251436
http://www.newwestpcr.ca/culture/museum_and_archives/1865_irving_house.php,,museum@newwestcity.ca,,302 Royal Avenue,New Westminster,BC,V3L1H7,Irving House,"Located in the heart of the Royal City, Irving House is one of the oldest community heritage sites in BC. Step back to the 1800s as you enter the colonial home of Captain William Irving, King of the Fraser River. Over 140 years of memories live within Irving House ""the handsomest, the best and most home-like house of which British Columbia can yet boast..."" was how Irving House was described in the British Columbian newspaper in April 1865. With 14 furnished rooms to enjoy, Irving House is a must-see for everyone interested in New Westminster's past and anyone interested in the Victorian period, heritage architecture or BC's earliest stories. During your visit you will admire the ornate ceiling plasterwork, the glow of original wallpaper and the elaborate fireplaces. You can easily imagine the festivities and celebrations that took place in the parlour and formal dining room. Let our costumed guides step you back in time!",74,3,,604-527-4640,,-1,"Located in the heart of the Royal City, Irving House is one of the oldest community heritage sites in BC. Step back to the 1800s as you enter the colonial home of Captain William Irving, King of the Fraser River.",Heritage,-122.906471052641,49.2077635836508
http://www.newwestpcr.ca/culture/samson_v_maritime_museum.php,,museum@newwestcity.ca,,900 Quayside Drive,New Westminster,BC,V3M6G1,Samson 5 Maritime Museum,"The Samson V, launched in 1937, is the last surviving wooden steam-powered sternwheeler built for the federal Department of Public Works for use as a snag-boat on the Fraser River. At 418 gross tons and 115 on deck, she was the fifth in a series of similar vessels dating back to 1884 that cleared debris, maintained aids to navigation and government docks, performed surveys and served other functions as needed. The Samson V was the last steam-powered sternwheeler to operate in Canada and representative of a long-standing federal government involvement in maintaining the waterways of western Canada. The Historic Sites and Monuments Board of Canada has declared the operation of sternwheeler snag-boats by the Department of Public works on the rivers of British Columbia an event of national historic significance and in the future intends to commemorate this by means of a plaque installed on or near the Samson V, the last representative example of these vessels. The Samson V was retired in 1980 and sold to the City of New Westminster for one dollar on the understanding that the vessel would be preserved as a museum and that it occupy a unique place in the Province's and City's maritime heritage. The Samson V remains the only completely intact and floating wooden sternwheeler in North America.",76,3,,604-527-4640,,-1,"The Samson V, launched in 1937, is the last surviving wooden steam-powered sternwheeler on the Fraser River. She was the fifth in a series of similar vessels dating back to 1884 that cleared debris, maintained aids to navigation and government docks, performed surveys and served other functions as needed.",Heritage,-122.913526680244,49.1997362794004
,Earl Noah,,,700 Royal Avenue,New Westminster,BC,V3M5Z5,Earl Noah,I have a long personal and professional interest in the evolving urban historical geography of New Westminster. I have conducted numerous field trips in most districts of New Westminster. I am also a member of the New Westminster Historical Society.,80,3,,604-527-5436,,-1,I am a Geography Instructor at Douglas College. My area of expertise is the urban historical geography of New Westminster.  I have conducted various walking tours around New Westminster.,Heritage,-122.912349429927,49.2034802559986
http://www.nwpl.ca,,reference@nwpl.ca,,716 Sixth Avenue,New Westminster,BC,V3M 2B3,New Westminster Public Library,"The New Westminster Public Library is a tax-supported service that endeavours to meet the informational, educational, cultural, and recreational needs of New Westminster residents. The Library gathers, organizes, integrates and disseminates past and present ideas, facts, and creative insights to enable individuals, regardless of age, background, or position, to meet the requirements of a changing society. Library Goals: To match Library facilities, resources and services to the particular needs and interests of New Westminster residents. To provide informational, educational, cultural, and recreational materials in diverse forms for the enrichment, self-development and enjoyment of New Westminster residents, and to organize these materials for optimum use. To provide a knowledgeable, well-trained and responsive staff in sufficient numbers to maintain a high level of service. To make New Westminster residents aware of their Library's resources and services. To co-operate actively with other libraries and community agencies in order to share resources and broaden the scope of the Library's services without duplication of effort.\n\nTo be a responsible public employer in dealings with the staff of the Library.",136,3,,604-527-4660,,-1,"The New Westminster Public Library endeavours to meet the informational, educational, cultural, and recreational needs of residents. The Library gathers, organizes, integrates and disseminates past and present ideas, facts, and creative insights to enable individuals, regardless of age, background, or position, to meet the requirements of a changing society.",Heritage,-122.922374840611,49.2117829072822
http://www.nwpl.ca,,reference@nwpl.ca,,920 Ewen Avenue,New Westminster,BC,V3M 5C8,New Westminster Public Library (Queensborough Branch),"The New Westminster Public Library is a tax-supported service that endeavours to meet the informational, educational, cultural, and recreational needs of New Westminster residents. The Library gathers, organizes, integrates and disseminates past and present ideas, facts, and creative insights to enable individuals, regardless of age, background, or position, to meet the requirements of a changing society. Library Goals: To match Library facilities, resources and services to the particular needs and interests of New Westminster residents. To provide informational, educational, cultural, and recreational materials in diverse forms for the enrichment, self-development and enjoyment of New Westminster residents, and to organize these materials for optimum use. To provide a knowledgeable, well-trained and responsive staff in sufficient numbers to maintain a high level of service. To make New Westminster residents aware of their Library's resources and services. To co-operate actively with other libraries and community agencies in order to share resources and broaden the scope of the Library's services without duplication of effort. To be a responsible public employer in dealings with the staff of the Library.",137,3,,604-636-4450,,-1,"The New Westminster Public Library endeavours to meet the informational, educational, cultural, and recreational needs of residents. The Library gathers, organizes, integrates and disseminates past and present ideas, facts, and creative insights to enable individuals, regardless of age, background, or position, to meet the requirements of a changing society.",Heritage,-122.943599918994,49.185829036783
,Alan & Edith Webster Residence,,,827 Sixteenth Street,New Westminster,BC,V3M 2W5,Alan & Edith Webster Residence,"The Alan & Edith Webster Residence is situated at the corner of Edinburgh and Sixteenth Streets in the historic West End neighbourhood in New Westminster. This historic dwelling is notable for its Period Revival architecture with complex steeply-pitched rooflines, built-in flower boxes and tall internal red-brick chimney. Built in 1938, the Alan & Edith Webster Residence is significant for its Period Revival architecture. The period between the two World Wars was a time of entrenched traditionalism in residential architecture in North America. Houses were expected to display historical motifs as a reflection of the owners’ good taste, harkening back to a romantic representation of traditional domestic values and an idyllic suburban lifestyle. This house displays only a cautious embrace of modernism, and includes Period Revival elements, such as complex steeply-pitched rooflines, built-in flower boxes, and a mixture of diamond leaded casement windows and multi-paned double-hung windows that demonstrate a vestigial influence of the British Arts and Crafts style. An efficient and rational floor plan with smaller rooms arranged around a central living room, reflected the reality that most families, during this period of austerity, could no longer afford domestic help. Further value is attained for this residence’s association with first owners Alan Webster and his wife, Edith. Alan Webster, who studied at the University of British Columbia, was employed as an Engineer with the Canadian Government. This house was constructed by J. Northey & Son at a cost of $4,000.",149,3,,,,-1,"Built in 1938, the Alan & Edith Webster Residence is significant for its Period Revival architecture. The period between the two World Wars was a time of entrenched traditionalism in residential architecture in North America.",Heritage,-122.941961925089,49.2083963001026
,Alfred & Beatrice Parsons Residence,,,120 Sixth Avenue,New Westminster,BC,V3L 2M2,Alfred & Beatrice Parsons Residence,"The Alfred & Beatrice Parsons Residence is a one-storey wood-frame Arts and Crafts bungalow located on the south side of Sixth Avenue in the historic Queen's Park neighbourhood in New Westminster. This well-kept house is notable for its front-gabled porch with square piers resting on tapered columns, scroll-cut rafter tails, and stained glass windows. Built in 1911, the Alfred & Beatrice Parsons Residence is significant for its association with the Edwardian-era development of the Queen’s Park neighbourhood, the most affluent and desirable residential area of New Westminster. Located uphill from the Fraser River and the downtown core, Queen’s Park began to develop in the 1880s. The historic character of Queen’s Park is based on its consistent streetscapes of fine restored homes, augmented by mature landscaping. The Alfred & Beatrice Parsons Residence is further valued for its Arts and Crafts architecture, as seen by its half-timbering, scroll-cut rafter tails, triangular eave brackets and tapered piers. Wooden lapped siding and shingle siding provide contrasting texture to the wall surfaces. This house additionally exhibits a number of stained glass leaded windows with an Arts and Crafts motif. The first owners of this residence were Alfred M. Parsons (1883-1905) and his wife Beatrice May (née Clapp, 1887-1947). Alfred, who was a native of Chilliwack, worked as a carpenter and constructed this house himself at a cost of $1,500.",150,3,,,,-1,"Built in 1911, the Alfred & Beatrice Parsons Residence is significant for its association with the Edwardian-era development of the Queen's Park neighbourhood, the most affluent and desirable residential area of New Westminster.",Heritage,-122.912913933132,49.2168178781991
,Alfred H. Soloman Residence,,,218 Burr Street,New Westminster,BC,V3M 1N1,Alfred H. Soloman Residence,"The Alfred H. Soloman Residence, constructed in 1908, is significant as a typical example of speculative-built rental housing, constructed during a time of rapid residential development.",151,3,,,,-1,"The Alfred H. Soloman Residence, constructed in 1908, is significant as a typical example of speculative-built rental housing, constructed during a time of rapid residential development.",Heritage,-122.918353842234,49.2053348695006
,Armitage House,,,340 Fifth Street,New Westminster,BC,V3L 2X4,Armitage House,"The Armitage House is important in particular for its representation of 1930’s New Westminster and for its architectural style. Built circa 1938, the Armitage House is an excellent example of an English Cottage-style home common to the region and to the country in the 1920s and 30s, but now much less familiar. It is strongly reminiscent of the catalogue houses that were offered in North America by the Sears Modern Homes Program (1908-1940). The design of this house is interesting for being remarkably similar to the 'Yates Model 3711', which the Sears catalogue described as 'a mellow house, pleasantly flavored with English-cottage characteristics.' The English Cottage design was popular with the emerging middle class (to which the Armitages belonged) as it was both attractive and affordable. It espoused the Arts and Crafts movement through its design elements, such as an asymmetrical façade, a window pattern that reflects the interior room functions, orientation of the house to take advantage of natural lighting, minimal use of picturesque detail, and the overall design emphasis of function showing through design. This house is significant for having very few changes in the original exterior design elements, making it easily readable as a 1930’s catalogue English Cottage home. The location of the house on the edge of comfortable Queen’s Park speaks to an upwardly-mobile family, and the house itself is a physical connection to the George Armitage family. George was important to New Westminster as the long-time manager of the Valley Lumber Company.",152,3,,,,-1,"The Armitage House is a two-storey house built in the English Cottage style, situated on a corner residential lot in the historic Queen’s Park. It has a cross-gabled roof and wide, horizontal beveled wood siding. The modest front porch has a distinctive curved roof supported on paired decorative wood brackets.",Heritage,-122.915526446236,49.2106085751984
