website,kml_name,email,address2,Address,city,prov,pcode,Name,Descriptn,id,category,company,phone,fax,social_networks,summary,catname,X,Y
http://www.melodiousmandolins.com,,lmms@shaw.ca,,,,,,Melodious Mandolins,"We play music from Italy, Scandinavia, Russia, the British Isles, Canada and various other countries, with our program geared to music which will be familiar and allow the audience to sing along.  If there is a special event highlighting one particular country we can tailor our mix to highlight it.  We provide information about the mandolin and about each song we play so it can be educational, and we can also provide someone to give instruction on the mandolin.",81,5,,604-525-1516,,-1,We are an ensemble of mandolin players providing performances of music from around the world mainly for the benefit of care facilities and other non-profit organizations.,Organizations,-122.893950384403,49.230025069931
http://www.shiloh-6ave.net,,shiloh6@telus.net,,1111 Sixth Avenue,New Westminster,BC,V3M 2B7,Shiloh-Sixth Avenue United Church,"The music is great (the acoustics in the church are phenomenal!) and the atmosphere is laid-back. We support the Food Bank and the Hospitality Project, Community Kitchens and lots of other groups. We include several artists in different media and are often willing to try something different. We explore faith and spirituality in many different ways. There are programs for children, youth and adults.",88,5,,604-522-3443,604-526-3433,-1,"We're building a kind, inclusive church where people from all walks of life are finding deep meaning and creating authentic community. You're invited.",Organizations,-122.929765385713,49.2082757095347
http://www.thestagenewwest.ca,,info@thestagenewwest.ca,,#230-50 Lorne Street,New Westminster,BC,V3M 6G3,The Stage New Westminster,"The Stage New Westminster is passionately dedication to providing infants, children, youth, and young adults with opportunities to discover their own roles, not only on the stage, but also in life.  Using the performing arts (music, dance, & theatre) we encourage whole person development. The arts are a perfect vehicle for instilling empathy, motivation, social awareness, self awareness, healthy & active living, cooperation, self esteem, compassion and a life-long love of learning in students of all ages.  Not only will these skills help young people develop into dynamic, interesting and educated performers on stage, they will also help them build the life skills necessary to perform as future leaders of our communities in a variety of career fields.",89,5,,604-518-1291,,-1,"Providing top quality performing arts education and performance opportunities for children and youth.  Classes in music, movement, dance & theatre for infants to 18 years old.  All classes emphasize whole person development and support building skills for the stage and for life.",Organizations,-122.911425827203,49.2030944329622
http://www.nwphoto.org,,info@nwphoto.org,,,,,,New Westminster Photography Club,"The NWPC is a member of the Canadian Association for Photographic Art (CAPA) and has been continuously active in the city of New Westminster for over 65 years. Members strive to encourage, share and learn from one another in a supportive environment, as well as introduce members of the community to examine and enjoy the inspiration behind a wealth of visual creativity. The constructive evaluation of and appreciation for an eclectic range of photographic images is part of the NWPC's fundamental purpose, and includes participation in external and in-house digital and print competitions, the benefit of regular ongoing sharing and learning sessions held at Centennial Lodge in Queens Park, and a variety of outdoor and indoor venue outings throughout the year. NWPC events are open to all, and interested parties are always welcome to attend and become involved in fostering a rich and valuable creative medium.",111,5,,,,-1,New Westminster Photography Club strives to foster wider appreciation of the medium of photography among the residents of local communities. The NWPC welcomes people of all skill levels who are interested in any aspect of photography as both an aesthetic art form and powerful visual method of human communication.,Organizations,-122.906623210624,49.2049256911616
http://www.mymothersstory.org,,info@mymothersstory.org,,,,,,Mothership Stories Society,"The extraordinary lives of ordinary women. Online Archive, workshops, performances, books and more celebrating the history and experiences of our mothers - good, bad, or indifferent. An enriching assignment for individuals, the resulting stories bring families together, educate communities, and collectively tell the history of the 20th century through women's eyes.",116,5,,,,-1,"Producers of My Mother's Story, encouraging people around the world to write and share the story of their mothers' lives. Dedicated to telling women's history one mother at a time.",Organizations,-122.89825459876,49.2258866231406
,Ancient and Honourable Hyack Anvil Battery,anvilbattery@senseofhistory.com,,,,,,Ancient and Honourable Hyack Anvil Battery,"Communities have always found ways to welcome visitors and to mark special days. In early British Columbia, such occasions were often marked by firing cannons, ringing bells, and three hearty cheers. But another form of recognition was used in BC and other places as well the firing of anvils! The firing of anvils as a form of salute has a long history. In BC they frequently welcomed the arrival of a new stern wheel steamboat. Here and in other places they marked special days and festivities. The process involves placing a little gunpowder between two anvils and igniting it. In the resulting explosion, the top anvil flies upward, a lot of smoke surrounds the park, and the noise is similar to cannon fire. In the late 1800s, a group of men in New Westminster fired an anvil salute to the sovereign when other more recognized means were not available. That annual salute, continued from that time until today, is now carried out by the renowned Ancient and Honourable Hyack Anvil Battery, to mark Victoria Day in honour of the reigning monarch and the memory of Queen Victoria. The salute has also been fired on special occasions such as a visit by Royalty, and the shots are always carried out in a formal, dignified manner as befits a proper salute. Don't miss this proud group in scarlet uniforms reminiscent of an early fire brigade, as they proudly continue an important part of the local cultural heritage and history.",184,5,,,,-1,The Ancient and Honourable Hyack Anvil Battery traces its roots to the 1880s and the community's desire to salute and honour the reigning monarch. Watch for regal and vice regal salutes during the year with the highlight being the traditional 21 gun salute on Victoria Day.,Organizations,-122.910505351483,49.2242501371928
,New Westminster Historical Society,nwhistsoc@senseofhistory.com,,,,,,New Westminster Historical Society,"The New Westminster Historical Society, since it started in 1976, has held a wide variety of presentations and talks, mostly connected to some aspect of the history of the City of New Westminster. The majority of the presentations are illustrated, and many have items on display that augment or explain the topic.\nMembership in the group is open to anyone interested in history, but all meetings are free and open to the public. The group meets once a month on the 3rd Wednesday, starting at 7:30 pm in the New Westminster Public Library auditorium in uptown New Westminster, and there is no need to pre-register. A monthly newsletter includes programming information as well as stories, photos, and other related materials and information. Membership, which includes the newsletter plus four additional special issues each year, is $10 and the newsletters can be received by email or regular post. For anyone, young or old, who enjoys hearing about local history in a comfortable, welcoming setting, with topics connected to a myriad of community items, the New Westminster Historical Society is definitely a group to look into.",185,5,,604-526-6113,,-1,The New Westminster Historical Society began in the spring of 1976 and has met monthly primarily at the New Westminster Public Library auditorium ever since. The meetings at the Library do not have a business component just a presentation that usually centers on the history and heritage of New Westminster.,Organizations,-122.895839920919,49.2147775570176
http://rcfm.ca/,,,,511 Royal Avenue,New Westminster,BC,V3L 1H9,Royal City Farmers Market (Summer),"The Royal City Farmers Market offers farm-fresh produce, plants, quality crafts from local artists and artisans, gourmet prepared foods, community information, live entertainment, and more. In the summer, it is located at 511 Royal Avenue. In the winter, it is at the New Westminster Quay.",308,5,,778-928-7236,,-1,"The Royal City Farmers Market offers farm-fresh produce, plants, quality crafts from local artists and artisans.",Organizations,-122.910389208091,49.2072224746056
http://rcfm.ca/,,,,810 Quayside Drive,New Westminster,BC,V3M 6B9,Royal City Farmers Market (Winter),"The Royal City Farmers Market offers farm-fresh produce, plants, quality crafts from local artists and artisans, gourmet prepared foods, community information, live entertainment, and more. In the summer, it is located at 511 Royal Avenue. In the winter, it is at the New Westminster Quay.",309,5,,,,-1,"The Royal City Farmers Market offers farm-fresh produce, plants, quality crafts from local artists and artisans,",Organizations,-122.911395648902,49.2000602907309
http://rclas.com/,,secretary@rclas.com,,Box #5 720 Sixth Street,New Westminster,BC,V3L 3C5,Royal City Literary Arts Society,"Royal City Literary Arts Society (RCLAS) Our Slogan:  Wordplay At Work RCLAS Mission Statement: Our organization is Inclusive of ALL writers and all people connected with writing - including novelists, poets, songwriters, technical writers, memoir writers, essayists, article writers, editors, proofreaders, publishers, graphic artists, layout and design artists, etc. If you are involved in writing, you should be involved with us. The purpose of The Royal City Literary Arts Society is to foster and garner written and spoken word in ALL forms; to provide readings, events, features, performances, open-mics, workshops and critiquing opportunities for writers, songwriters and spoken word artists; to stimulate, encourage and facilitate the development of both emerging and established writers in ALL genres. RCLAS Member Benefits: Member Profile Page Workshops  Contests member discount  Mentoring Programs Events Discounts References/Resources for Writers\Newsletters\Event Listings\International Publisher Listing\Help with book launches setup, procuring venue etc\Writer Retreats member discount 25%\Member Shmooz Nights\RCLAS. Board: President Candice James, Vice President Manolis Aligizakis, Treasurer Ken Ader, Secretary Deborah Kelly, Director at Large Janet Kvammen, Director at Large Renee Saklikar. Founding Members:Candice James, Janet Kvammen, Ken Ader, Gavin Hainsworth, Renee Saklikar. Board Advisors: Sylvia Taylor. RCLAS Contact Info: Email secretary@rclas.com Website http://rclas.com/ Membership Dues - $28 annually.",320,5,,,,-1,"Royal City Literary Arts Society  Our Slogan: Wordplay At Work. Our organization is Inclusive of ALL writers and all people connected with writing - including novelists, poets, songwriters, technical writers, memoir writers, essayists, article writers, editors, proofreaders, publishers, graphic artists, layout and design artists, etc.",Organizations,-122.92283212834,49.2149334825214
