website,kml_name,email,address2,Address,city,prov,pcode,Name,Descriptn,id,category,company,phone,fax,social_networks,summary,catname,X,Y
,Holy Trinity Cathedral,,,514 Carnarvon Street,New Westminster,BC,V3L 1C4,Holy Trinity Cathedral,"Founded in 1859, the Anglican Parish of Holy Trinity Cathedral has continuously served the needs of the community of New Westminster.  Since 1863 the Church has served as the Chapel for the Royal Westminster Regiment.  Both the parish hall and the Church have hosted choral, dance, and theatrical works.  The hall is home to a wide range of community groups from AA to youth groups.  It is frequently used for funeral, wedding, and other receptions.  For the past 20 years the parish has hosted a weekly breakfast and is a member of the New Westminster Homeless Coalition.  For many decades the Regimental Band and the Cathedral Choir have put on a December Christmas Concert.  The Cathedral houses many important works of art including a painting by Joe Plaskett and the earliest stained glass windows made by Henry Bloomfield and sons.  Furnishings in the Cathedral include pieces of 19th century embroidery, a lectern given by Sir James Douglas, and candles sticks and a credence table donated following the great fire of 1898 by Westminster Abbey.",59,8,,,,-1,"Founded in 1859, the Anglican Parish of Holy Trinity Cathedral has continuously served the needs of the community of New Westminster.",Venues,-122.907381730307,49.2045664899746
http://www.thecolumbia.ca,,bookings@thecolumbia.ca,,530 Columbia Street,New Westminster,BC,V3L 1B1,The Columbia,"The Columbia is a Historic space in New Westminster that first opened in 1927. It has recently been restored to it's glory and is elegant and breath taking. It houses two venues available to everyone for any event. Our smaller room is a banquet style room. Seating is cabaret style and can seat up to 200. It is equipped with a stage, dance floor, full bar and kitchen.  Our large room is a four tier grand room that seats 300 people cabaret style. It has a large theatrical stage, lighting and sound. There is a large dance floor and 24ft screen with projector. This room can accommodate any event.",92,8,,604-522-4500,,-1,Two beautiful venues available to every person and group. Every type of event can be successful at The Columbia,Venues,-122.906858327227,49.2033179713815
,Lafflines Comedy Club,,,530 Columbia Street,New Westminster,BC,V3L 1B1,Lafflines Comedy Club,"Lafflines Comedy Club is Vancouver's longest running comedy club and they deliver every week. Join them for parties, birthdays, fundraisers or a night out, Lafflines has been entertaining for years. They even do private events.",93,8,,,,-1,Lafflines Comedy Club is Vancouver's longest running comedy club,Venues,-122.906858327227,49.2033179713815
http://www.bullysstudios.blogspot.com,,bullysstudios@gmail.com,,67 Sixth Street,New Westminster,BC,V3L 2Z6,Bully's Studios Inc,We provide a space for musicians of all styles and levels of ability to rehearse. We also have a recording studio which has been putting out lots of records every year. We put on Art shows and All Ages music shows for everyone to enjoy.\nWe have a mini music store. Something for everyone. Come hang out.,113,8,,604-523-0459,,-1,We provide a space for musicians of all styles and levels of ability to rehearse. We also have a recording studio which has been putting out lots of records every year.,Venues,-122.909465652191,49.2047930246253
http://rivermarket.ca/,,events@rivermarket.ca,,810 Quayside Drive,New Westminster,BC,V3M 6B9,River Market,"Feast and fun come together everyday at River Market, where the hungry and curious gather to eat, shop, and play. This 75,000 sq. ft. marketplace on the Fraser River is a venue with an amazing view and food for local art events. There are four types of spaces available to rent. Food Lab: a 100 sq. ft. room with a large window for customer interaction and a double-bowl sink. Uses include cooking demonstrations and product sampling. Conference room: 600 sq. ft. room with tables, chairs, and whiteboard. Uses include art workshops and classes. Market Hall: 2100 sq. ft. hall for craft and art fairs, theatre rehearsals, dance recitals, speaker series, receptions, dinners, and fundraisers. Community Square: 2025sq. ft. open space for art exhibits, craft and art fairs, craft and art workshops, theatre rehearsals, dance recitals, speaker series, receptions, dinners, and fundraisers.",120,8,,604-520-3881,,-1,"Feast and fun come together everyday at River Market, where the hungry and curious gather to eat, shop, and play. This 75,000sf marketplace on the Fraser River is a venue with an amazing view and food for local art events.",Venues,-122.911626317956,49.2001216391227
http://www.masseytheatre.com,,info@masseytheatre.com,,735 Eighth Avenue,New Westminster,BC,V3M 2R2,Massey Theatre,"THE MASSEY THEATRE is a professionally operated 1260 seat theatre facility at the geographic centre of the GVRD. Since 1949 Massey Theatre's lights have shone on Broadway touring companies, and stars of dance, music and theatre. When in New Westminster be sure to find out what's on at Massey Theatre. It could be a popular international artist, lively dance performance, symphony concert or stunning musical theatre production by the renowned Royal City Musical Theatre Company. The theatre is available for rental. THE PLASKETT GALLERY is also part of the theatre facility, providing exhibitions of regional visual  arts. The Gallery is open to the public five days a week and during performances. MASSEY TICKET CENTRE is a convenient, friendly and professional ticketing service providing an accessible, local ticket centre committed to serving the community. We offer exceptional customer care and superior performance support.  The Massey Ticket Centre is open for ticket sales and information from 12pm to 6pm, Tuesdays to Saturdays and on the web. For information on Massey Theatre events go to www.masseytheatre.com or call 604-521-5050",267,8,,604-517-5900,604-517-5901,-1,"MASSEY THEATRE is a 1260 seat theatre at the centre of Metro Vancouver. Since 1949, our lights have shone on stars of dance, comedy, music and theatre. Discover international concerts, dance performances, symphony concerts or spectacular musical theatre productions on our large, professionally operated stage.",Venues,-122.927493983458,49.2156113386654
http://www.masseytheatre.com,,info@masseytheatre.com,,735 Eighth Avenue,New Westminster,BC,V3M 2R2,Plaskett Gallery,"THE PLASKETT GALLERY is part of the Massey Theatre facility, providing exhibitions of regional visual arts. Viewing of exhibits is limited to noon to six Tuesday through Saturday and when the Massey Theatre is open for a production.  Artists are invited to submit for consideration for exhibits of two months. The following information about the venue will hopefully assist you in preparing your submission or exhibition. There are five areas suitable for exhibiting artwork: All sizes are approximate. The gallery will comfortably hold between 20 or 25, pieces. We will require an artist statement about the artwork that is to be exhibited. We also require high resolution jpegs of your artwork that can be used on our newsletters, emails and website, media releases, etc. This information will be used to promote the exhibition in the various media. This should be submitted at least six (3) months in advance of your exhibition or as soon as possible. One month previous to the mounting of the exhibit we will require a list of the artwork to be shown. The list is to include artist name, title of artwork, medium, and sale prices. This will enable us to prepare labels for the walls.",268,8,,604-517-5900,604-517-5901,-1,"THE PLASKETT GALLERY is part of the Massey Theatre facility, providing exhibitions of regional visual arts. The Gallery is open to the public five days a week and during performances.",Venues,-122.927493983458,49.2156113386654
,ARTLIM Studio,,,312 Ash Street,New Westminster,BC,V3M 5X7,ARTLIM Studio,,297,8,,604-540-9728,,-1,ARTLIM Studio is a gallery in New Westminster.,Venues,-122.917975777229,49.2074709841063
http://www.brickandmortarliving.com/,,,,42 Begbie Street,New Westminster,BC,V3M 1E6,Brick & Mortar Living,,298,8,,604-553-0289,,-1,Brick & Mortar Living is a small shop in downtown New Westminster that sells local designs and unique gifts. It also serves as a visual art venue.,Venues,-122.911437196703,49.2022533810701
http://www.douglas.bc.ca/visitors/artsevents.html,,artsevents@douglascollege.ca,,,,,,Amelia Douglas Gallery,The Amelia Douglas Gallery at Douglas College is free and open to the public during campus operating hours. Artists may contact the Art Exhibit Committee through the College website to arrange to submit works for consideration.,313,8,,604-527-5723,,-1,"The Amelia Douglas Gallery at Douglas College exhibits six or seven visual arts shows each year, featuring mixed media, ceramics, painting, drawing, pottery, photography, textiles and glass works by BC artists.",Venues,-122.912858298913,49.2035497852019
http://www.douglas.bc.ca/visitors/artsevents/venues/facilities/performingarts.html,,roombookings_nw@douglascollege.ca,Room 4100,700 Royal Avenue,New Westminster,BC,V3L 5B2,Laura C. Muir Performing Arts Theatre,"The Muir Theatre is wheelchair accessible. Parking is available at Douglas College. To book the venue, please submit a completed application form to the Douglas College Facilities department: http://www.douglas.bc.ca/__shared/assets/lauraform_aug19_201065926.pdf.",315,8,,604-527-5613,,-1,"The 350-seat Laura C. Muir Performing Arts Theatre is home to Douglas College's Music, Stagecraft and Event Technology, and Theatre departments. It is a fully-equipped fly house used for student productions and College events, and is available for rental. Please call for rental information.",Venues,-122.912858298913,49.2035497852019
http://www.douglas.bc.ca/services/aboriginal/services.html,,seaweedd@douglascollege.ca,Room 4650,700 Royal Avenue,New Westminster,BC,V3L 5B2,"Aboriginal Gathering Place, Douglas College","Opened in April 2011, the Aboriginal Gathering Place at Douglas College is a venue for traditional ceremonies, and hosts potlucks and meetings.  The main room features traditional art, including a four-metre Coast Salish welcoming figure that faces the Fraser River, by Susan Point, and four directional poles, by George Hemeon. When not holding events, the Gathering Place is a quiet space to study, meditate and meet fellow students. The space is available to everyone at Douglas College and to the larger community to use respectfully. The Aboriginal Student Services Centre at the New Westminster campus of Douglas College is on the traditional territory of the QayQayt First Nation. The Qayqayt First Nation (also Qiqayt, pronounced Kee-Kite), is one of the smallest First Nations in Canada and the only one without a land base.  The Qayqayt reserve used to exist on the banks of the Fraser River, around New Westminster. The Qayqayt People historically spoke the Halq'emÃ©ylem (Upriver dialect), of Halkomelem (also Hulâ€™qâ€™umiâ€™numâ€™/Henqeminem), a Coast Salish language.",316,8,,604-527-5565,,-1,"The Aboriginal Gathering Place at Douglas College is a venue for traditional ceremonies, and hosts potlucks and meetings.  The main room features traditional art, including a four-metre Coast Salish welcoming figure that faces the Fraser River, by Susan Point, and four directional poles, by George Hemeon.",Venues,-122.912858298913,49.2035497852019
,Carpenters' Hall,,,1206 Kingston Street,New Westminster,BC,V3M 4J8,Carpenters' Hall,,354,8,,604-524-9151,,-1,,Venues,-122.933875127582,49.209698519563
http://www.glenbrookpark.com,,info@glenbrookpark.com,,76 Jamieson Court,New Westminster,BC,V3L 5R6,Glenbrook Park Amenities Centre,"Glenbrook Park banquet hall provides a venue for wedding receptions, conventions and meetings. The venue features seating for over 200 guests, acres of beautiful gardens and more.",355,8,,604-520-0876,,-1,"Glenbrook Park banquet hall provides a venue for wedding receptions, conventions and meetings. The venue features seating for over 200 guests, acres of beautiful gardens and more.",Venues,-122.89634519228,49.2159001728881
http://theheritagegrill.com,,bands@theheritagegrill.com,,447 Columbia Street,New Westminster,BC,V3L 1A9,Heritage Grill,The Heritage Grill is a restaurant and live music/performance venue in downtown New Westminster.,356,8,,,,-1,The Heritage Grill is a restaurant and live music/performance venue in downtown New Westminster.,Venues,-122.906645035055,49.2042713008876
,Java Jazz CafÃ© and Bistro,,,412 Sixth Street,New Westminster,BC,V3L 3B1,Java Jazz CafÃ© and Bistro,Java Jazz is a live jazz venue and restaurant.,357,8,,604-521-2929,,-1,Java Jazz is a live jazz venue and restaurant.,Venues,-122.917490906795,49.2104750658224
http://www.laperlaballroom.com,,info@laperlaballroom.com,,810 Quayside Drive,New Westminster,BC,V3M 6B9,La Perla Ballroom,"La Perla Ballroom offers an elegant space for conferences, weddings, banquets and more.",358,8,,604-931-7161,,-1,"La Perla Ballroom offers an elegant space for conferences, weddings, banquets and more.",Venues,-122.911626317956,49.2001216391227
http://www.nwpr.bc.ca,,,,920 Ewen Avenue,New Westminster,BC,V3M 5C8,Queensborough Community Centre,The Queensborough Community Centre offers a variety of spaces for rent.,359,8,,604-525-7388,,-1,The Queensborough Community Centre offers a variety of spaces for rent.,Venues,-122.943064339744,49.1857916385909
http://www.romahall.com/index.html,,rinolinda@shaw.ca,,940 Ewen Avenue,New Westminster,BC,V3M 5C8,Roma Hall,"Roma Hall offers a large hall that can accommodate about 250 guests, and a smaller hall that can accommodate about 65 guests. On-site catering is available for banquets, weddings or special events.",360,8,,,,-1,Roma Hall offers a large hall that can accommodate about 250 guests.,Venues,-122.946008368932,49.1861821002516
,Sapperton Pensioners' Hall,,,318 Keary Street,New Westminster,BC,V3L 3L3,Sapperton Pensioners' Hall,Sapperton Pensioners' Hall offers two 100-capacity floors for special events.,361,8,,,,-1,Sapperton Pensioners' Hall offers two 100-capacity floors for special events.,Venues,-122.893810508147,49.2252934335062
http://www.themetrohall.com/index.html,,,,759 Carnarvon Street,New Westminster,BC,V3M 1E6,The Metro,"The Metro is a banquet hall available for wedding receptions, product launches, arts and cultural events, workshops, seminars and conferences, pre-screenings, celebrations, theme parties, movie site rentals, photoshoots, and other events.",363,8,,604-527-1122,,-1,"The Metro is a banquet hall available for wedding receptions, product launches, arts and cultural events.",Venues,-122.912420759855,49.2025554736207
,Five Stones Church,,,612 Columbia Street,New Westminster,BC,V3M 1A5,Five Stones Church,,365,8,,,,-1,"If you were to ask, “What is Five Stones Church about?” we would answer you with three words.  GOSPEL.  DISCIPLES.  INFLUENCE.  That’s it.  Three stand-alone words yet linked in a strategic sequence.",Venues,-122.907919444106,49.2027431229733
http://www.olivet.bc.ca/,,office@olivet.bc.ca,,613 Queens Avenue,New Westminster,BC,V3M 1L1,Olivet Baptist Church,"There are many regular meeting activities during fall, winter and spring, and a number of special interest groups that meet regularly: Mom's group (a mom's and tot's program) is held each Wednesday morning; Seniors' luncheons with an interesting program are held once a month; the Doris Penner Group, which concentrates upon missions, meets monthly on Saturday; youth programs meet at the church on Friday evening.",367,8,,,,-1,Olivet Baptist Church is a Christian community that worships in the heart of New Westminster.  We do this by being a community of men and women who commit ourselves to each other before the Lord to become the people of God in the community of New Westminster and wherever God calls us to live and serve.,Venues,-122.914136702027,49.2067800541139
http://vagabondplayers.ca,,inquiries@vagabondplayers.ca,,,,,,The Bernie Legge Theatre,,362,8,,,,-1,The Bernie Legge Theatre is the home of the Vagabond Players.,Venues,-122.903107937523,49.2141948773902
http://anvilcentre.com/,,anvilcentre@newwestcity.ca,,777 Columbia Street,New Westminster,BC,V3M 1B6,Anvil Centre,"Anvil Centre is a modern and vibrant gathering place conveniently located in the historic cultural district of the City of New Westminster—and the geographical centre of Metro Vancouver.If you’re looking for a boutique venue that ignites the imagination, inspires ideas, and stimulates the senses, Anvil Centre is the place where commerce, culture, and community meet.Anvil Centre features 18,000 square feet of dedicated conference space, a 364-seat theatre, multipurpose studios, and smaller meeting rooms. With four floors of configurable, multifaceted spaces equipped with the latest in building amenities, Anvil Centre offers endless possibilities for conferences, meetings, events, and community programs.Anvil Centre is also host to community-based arts, dance, and heritage programs, as well as public arts performances. The New Westminster New Media Gallery, New Westminster Museum and Archives, and Canadian Lacrosse Hall of Fame, which all call Anvil Centre home, invite visitors to connect, experience, explore, and discover.",,8,,,,-1,Anvil Centre is a modern and vibrant gathering place conveniently located in the historic cultural district of the City of New Westminster—and the geographical centre of Metro Vancouver.,Venues,-122.911421627677,49.2017218097669
